DP_NODE_ID,ORIGINATING_LINK_ID,DEST_LINK_ID,RAMP,BIF,CA,FILENAME,SIDE,SIGN_DEST,JV_ORIGIN,ISO_COUNTRY_CODE,GMS_SVG,GMS_TEMPLATE,LATITUDE,LONGITUDE,MDPS,MDPS_APPROX,TUNNEL_ORIGIN_LINK,TUNNEL_DEST_LINK,ORIGIN_BEARING,DEST_BEARING,DP2_NODE_ID
848053413,776746346,776941641,Y,N,N,L11.SVG,R,776941641,776746346,IDN,GMS_ID.SVG,SON_A,-6.25571,106.90815,N,N/A,N,N,113.7553,112.36931,
848053413,776746346,777352578,Y,N,N,L11.SVG,L,777352578,776746346,IDN,GMS_ID.SVG,SON_A,-6.25571,106.90815,N,N/A,N,N,113.7553,90.00001,
847495653,776794386,777465978,Y,N,N,L42.SVG,L,777465978,-2,IDN,GMS_ID.SVG,SON_A,-6.27525,107.05064,N,N/A,N,N,113.75609,101.37636,
847495653,776794386,777609764,N,N,Y,L42.SVG,R,-1,-2,IDN,GMS_ID.SVG,,-6.27525,107.05064,N,N/A,N,N,113.75609,112.62563,
847594940,776795355,777585674,N,N,Y,L41.SVG,R,777585674,-2,IDN,GMS_ID.SVG,SON_A,-6.41583,106.89781,N,N/A,N,N,186.05068,184.88591,
847594940,776795355,777620422,Y,N,N,L41.SVG,L,777620422,-2,IDN,GMS_ID.SVG,SON_A,-6.41583,106.89781,N,N/A,N,N,186.05068,175.62874,
847388816,776823330,777387874,N,N,Y,L21.SVG,R,777387874,-2,IDN,GMS_ID.SVG,SON_A,-6.9616,107.60341,N,N/A,N,N,84.76722,85.84726,
847388816,776823330,926587479,Y,N,N,L21.SVG,L,926587479,-2,IDN,GMS_ID.SVG,SON_A,-6.9616,107.60341,N,N/A,N,N,84.76722,78.73028,
848054162,776850560,828062686,Y,N,N,L21.SVG,L,828062686,-1,IDN,GMS_ID.SVG,SON_A,-6.18133,106.87574,N,N/A,N,N,186.30363,135.16704,
848054162,776850560,988722457,N,N,Y,L21.SVG,R,-2,-1,IDN,GMS_ID.SVG,,-6.18133,106.87574,N,N/A,N,N,186.30363,182.89394,
847356089,776855912,776863223,Y,Y,Y,B22.SVG,L,776863223,776855912,IDN,GMS_ID.SVG,EXIT_A_L,-6.24341,106.87726,N,N/A,N,N,183.4828,157.5009,
847356089,776855912,776923263,N,Y,Y,B22.SVG,R,776923263,776855912,IDN,GMS_ID.SVG,EXIT_A_R,-6.24341,106.87726,N,N/A,N,N,183.4828,181.23798,
847643975,776861950,815762919,N,Y,Y,B22.SVG,R,815762919,776861950,IDN,GMS_ID.SVG,EXIT_A_R,-6.24587,106.87281,N,N/A,N,N,104.11674,102.73828,
847643975,776861950,836241592,Y,Y,Y,B22.SVG,L,836241592,776861950,IDN,GMS_ID.SVG,EXIT_A_L,-6.24587,106.87281,N,N/A,N,N,104.11674,71.46248,
848117735,776863223,812820690,Y,Y,Y,B21.SVG,L,812820690,776863223,IDN,GMS_ID.SVG,EXIT_A_L,-6.24592,106.87819,N,N/A,N,N,138.53579,132.68041,
848117735,776863223,851781517,Y,Y,Y,B21.SVG,R,851781517,776863223,IDN,GMS_ID.SVG,EXIT_A_R,-6.24592,106.87819,N,N/A,N,N,138.53579,145.87175,
847775529,776864431,827501386,N,Y,Y,B53LB32.SVG,R,827501386,776864431,IDN,GMS_ID.SVG,EXIT_A_R,-6.25081,106.95702,Y,Y,N/A,N/A,161.6673,160.87538,847488250
847775529,776864431,919896385,Y,N,Y,B53LB32.SVG,M,919896385,-1,IDN,GMS_ID.SVG,EXIT_A_R,-6.25286,106.95789,Y,Y,N/A,N/A,161.6673,152.00028,847488250
847775529,776864431,925919169,Y,N,Y,B53LB32.SVG,L,925919169,-1,IDN,GMS_ID.SVG,EXIT_A_L,-6.25286,106.95789,Y,Y,N/A,N/A,161.6673,152.00028,847488250
848098240,776868438,776997231,N,N,Y,L41.SVG,R,776997231,-2,IDN,GMS_ID.SVG,SON_A,-6.48149,106.87475,N,N/A,N,N,206.58977,207.5771,
848098240,776868438,799538088,Y,N,N,L41.SVG,L,799538088,-2,IDN,GMS_ID.SVG,SON_A,-6.48149,106.87475,N,N/A,N,N,206.58977,201.09424,
847606374,776872362,777318130,N,N,N,L42.SVG,R,-1,776872362,IDN,GMS_ID.SVG,,-6.21906,106.81194,N,N/A,N,N,329.18523,325.40935,
847606374,776872362,844752307,Y,N,N,L42.SVG,L,-1,776872362,IDN,GMS_ID.SVG,,-6.21906,106.81194,N,N/A,N,N,329.18523,301.75864,
847982131,776885332,777042074,N,N,Y,L21.SVG,R,777042074,-2,IDN,GMS_ID.SVG,SON_A,-6.08694,106.14124,N,N/A,N,N,108.17927,109.47579,
847982131,776885332,787909336,Y,N,N,L21.SVG,L,787909336,-2,IDN,GMS_ID.SVG,SON_A,-6.08694,106.14124,N,N/A,N,N,108.17927,106.2762,
847811022,776892832,777172172,Y,N,N,L21.SVG,L,777172172,-2,IDN,GMS_ID.SVG,SON_A,-6.29834,106.95332,N,N/A,N,N,46.09975,37.83059,
847811022,776892832,777299337,N,N,Y,L21.SVG,R,777299337,-2,IDN,GMS_ID.SVG,SON_A,-6.29834,106.95332,N,N/A,N,N,46.09975,47.88625,
848007250,776896909,802997981,Y,N,N,L21.SVG,L,802997981,-1,IDN,GMS_ID.SVG,SON_A,-6.11341,106.68626,N,N/A,N,N,240.25496,180,
848007250,776896909,819484538,N,N,Y,L21.SVG,R,819484538,-1,IDN,GMS_ID.SVG,SON_A,-6.11341,106.68626,N,N/A,N,N,240.25496,240.11412,
847940737,776899035,802856089,N,N,Y,L21.SVG,R,802856089,-2,IDN,GMS_ID.SVG,SON_A,-6.22434,106.95284,N,N/A,N,N,186.20541,189.40754,
847940737,776899035,836143733,Y,N,N,L21.SVG,L,836143733,-2,IDN,GMS_ID.SVG,SON_A,-6.22434,106.95284,N,N/A,N,N,186.20541,174.59155,
848039121,776903860,776951022,Y,N,Y,L11.SVG,L,-1,776903860,IDN,GMS_ID.SVG,,-7.2432,112.71086,N,N/A,N,N,31.94583,14.17176,
848039121,776903860,836159806,Y,N,Y,L11.SVG,R,-1,776903860,IDN,GMS_ID.SVG,,-7.2432,112.71086,N,N/A,N,N,31.94583,37.31795,
847483918,776908883,779030884,Y,N,N,L21.SVG,L,779030884,-1,IDN,GMS_ID.SVG,SON_A,-6.12549,106.77693,N,N/A,N,N,332.23817,316.63258,
847483918,776908883,835992235,N,N,Y,L21.SVG,R,835992235,-1,IDN,GMS_ID.SVG,SON_A,-6.12549,106.77693,N,N/A,N,N,332.23817,334.45102,
847662674,776926023,776978225,Y,N,N,L32.SVG,L,776978225,-1,IDN,GMS_ID.SVG,SON_A,-6.30744,106.87576,N,N/A,N,N,75.65222,72.74661,
847662674,776926023,818173194,N,N,Y,L32.SVG,R,-1,-1,IDN,GMS_ID.SVG,,-6.30744,106.87576,N,N/A,N,N,75.65222,75.02219,
847447879,776940338,777364043,Y,Y,N,B13.SVG,L,777364043,776940338,IDN,GMS_ID.SVG,EXIT_B_L,-6.55902,106.84531,N,N/A,N,N,198.77115,171.52426,
847447879,776940338,777581449,N,Y,Y,B13.SVG,R,777581449,776940338,IDN,GMS_ID.SVG,EXIT_A_R,-6.55902,106.84531,N,N/A,N,N,198.77115,198.55537,
847643525,776964273,776776477,Y,N,N,L41.SVG,L,776776477,776964273,IDN,GMS_ID.SVG,SON_A,-6.4593,106.88573,N,N/A,N,N,26.75915,8.82518,
847643525,776964273,776822576,N,N,Y,L41.SVG,R,-1,776964273,IDN,GMS_ID.SVG,,-6.4593,106.88573,N,N/A,N,N,26.75915,26.41941,
847443625,776964386,777067888,Y,N,N,L21.SVG,L,777067888,776964386,IDN,GMS_ID.SVG,SON_A,-6.21536,106.80973,N,N/A,N,N,146.78861,108.53653,
847443625,776964386,826946296,N,N,Y,L21.SVG,R,826946296,776964386,IDN,GMS_ID.SVG,SON_A,-6.21536,106.80973,N,N/A,N,N,146.78861,146.06787,
847432896,776986095,777389413,N,Y,N,B22.SVG,L,777389413,-1,IDN,GMS_ID.SVG,EXIT_A_L,-6.17496,106.84724,N,N/A,N,N,269.99999,248.08338,
847432896,776986095,826682934,N,Y,N,B22.SVG,R,826682934,-1,IDN,GMS_ID.SVG,EXIT_A_R,-6.17496,106.84724,N,N/A,N,N,269.99999,268.62809,
847624418,776987615,776796307,Y,N,Y,L11.SVG,L,776796307,776987615,IDN,GMS_ID.SVG,EXIT_A_L,-7.24543,112.70959,N,N/A,N,N,15.63157,353.34326,
847624418,776987615,777688625,Y,N,Y,L11.SVG,R,777688625,776987615,IDN,GMS_ID.SVG,EXIT_A_R,-7.24543,112.70959,N,N/A,N,N,15.63157,22.53079,
847986381,776999296,802856088,N,N,Y,L21.SVG,R,802856088,-1,IDN,GMS_ID.SVG,SON_A,-6.22672,106.95229,N,N/A,N,N,10.43094,10.33734,
847986381,776999296,928308434,Y,N,N,L21.SVG,L,928308434,-1,IDN,GMS_ID.SVG,SON_A,-6.22672,106.95229,N,N/A,N,N,10.43094,3.16112,
847621023,777012741,777263814,Y,N,N,L11.SVG,L,-1,-1,IDN,GMS_ID.SVG,,-6.3106,106.92383,N,N/A,N,N,80.27817,79.53027,
847621023,777012741,777434945,N,N,N,L11.SVG,R,777434945,-1,IDN,GMS_ID.SVG,SON_A,-6.3106,106.92383,N,N/A,N,N,80.27817,127.0372,
847427602,777024754,777724195,N,Y,N,B12.SVG,R,-1,-1,IDN,GMS_ID.SVG,,-6.23376,106.86754,N,N/A,N,N,172.19255,170.92292,
847427602,777024754,844925682,N,Y,N,B12.SVG,L,-1,-1,IDN,GMS_ID.SVG,,-6.23376,106.86754,N,N/A,N,N,172.19255,88.55943,
847998624,777028643,777060617,N,N,N,L21.SVG,R,-1,777028643,IDN,GMS_ID.SVG,,-6.21523,106.87325,N,N/A,N,N,267.19079,267.49573,
847998624,777028643,782329484,Y,N,N,L21.SVG,L,-1,777028643,IDN,GMS_ID.SVG,,-6.21523,106.87325,N,N/A,N,N,267.19079,236.15386,
