No,meshstr,node,x_coord,y_coord,boundary
1,F49F016037,138,405075.257814,81589.730527,8
1,F49F017037,390,405074.811411,81589.183428,0
2,F49F020042,302,407687.382488,80389.716538,8
2,F49F021042,228,407687.336376,80389.716553,2
3,F49F009038,505,405918.737347,83743.144583,6
3,F49F009039,992,405918.737351,83743.189772,4
4,F49F009038,511,405918.752743,83962.144780,6
4,F49F009039,981,405918.752701,83962.251237,4
5,F50F012001,3789,410868.431061,82795.677069,6
5,F50F012002,176,410868.435819,82795.555418,4
6,G48F018009,54,370973.908474,95387.991003,8
6,G48F019009,31,370974.206509,95387.830323,0
7,H51F025002,928,432536.877555,107691.642322,8
7,H51F026002,226,432536.589743,107691.643983,2
8,H50F019048,127,431982.637437,109491.133091,8
8,H50F020048,733,431982.684803,109490.878369,0
9,H50F018047,53,431454.131905,109790.862705,8
9,H50F019047,248,431454.064735,109790.425473,0
10,H51F019003,1776,433366.578321,109670.538525,6
10,H51F019004,816,433366.792007,109670.602713,0
11,H51F017003,476,433366.379969,110216.951519,0
11,H51F017004,465,433366.624323,110217.280673,4
12,H51F017003,478,433366.334819,110153.332107,6
12,H51F017004,486,433366.618931,110153.348990,0
13,H51F017003,469,433366.327007,110209.164426,6
13,H51F017004,403,433366.623633,110209.121090,0
14,H51F016004,484,433815.730022,110619.609770,6
14,H51F016005,960,433815.940008,110619.596487,0
15,H51F016004,487,433815.720478,110503.450246,6
15,H51F016005,965,433815.914758,110503.446815,0
16,H51F016004,483,433815.732375,110648.220787,6
16,H51F016005,961,433815.926129,110648.219777,0
17,H51F016004,489,433815.722920,110533.177897,6
17,H51F016005,963,433815.920573,110533.223881,0
18,H51F016004,500,433815.724705,110556.310541,6
18,H51F016005,962,433815.914704,110556.320911,0
19,H51F016004,622,433815.722179,110524.163723,6
19,H51F016005,668,433815.722184,110524.215521,4
20,H51F016004,486,433815.721755,110518.996787,6
20,H51F016005,964,433815.919483,110519.041769,0
21,H51F015004,288,433815.460085,110803.842760,0
21,H51F015005,253,433815.745181,433815.745181,4
22,L51F019042,555,450924.538115,167252.301735,6
22,L51F019043,77,450924.538109,167252.268559,4
