lonlat;field;value
'MULTILINESTRING((101.55464 3.03615,101.55474 3.03635))';one_way;1
'MULTILINESTRING((101.55543 3.03622,101.55532 3.03602))';one_way;1
'MULTILINESTRING((101.57965 3.02876,101.57979 3.02865))';one_way;1
'MULTILINESTRING((101.57979 3.02865,101.57994 3.02858,101.58004 3.02857,101.5803 3.02866))';one_way;1
'MULTILINESTRING((101.76379 2.73914,101.76366 2.73941,101.76352 2.73959,101.76329 2.73976,101.76307 2.73988))';one_way;1
'MULTILINESTRING((101.67134 3.05536,101.67144 3.05542))';one_way;1
'MULTILINESTRING((101.67144 3.05542,101.67176 3.05557))';one_way;1
'MULTILINESTRING((101.67176 3.05557,101.67298 3.05613))';one_way;1
'MULTILINESTRING((101.67298 3.05613,101.67392 3.05658))';one_way;1
'MULTILINESTRING((101.67392 3.05658,101.67457 3.05686))';one_way;1
'MULTILINESTRING((101.67457 3.05686,101.67475 3.05695,101.67488 3.05693))';one_way;1
'MULTILINESTRING((101.67005 3.05477,101.67102 3.05521))';one_way;1
'MULTILINESTRING((101.67102 3.05521,101.67134 3.05536))';one_way;1
'MULTILINESTRING((101.69873 3.17441,101.69911 3.17451))';one_way;1
'MULTILINESTRING((101.69911 3.17451,101.69954 3.17475,101.69969 3.1749,101.69979 3.17509,101.69997 3.17582))';one_way;1
'MULTILINESTRING((114.98019 4.97116,114.98141 4.97037,114.98413 4.96867,114.98727 4.96672))';one_way;1
'MULTILINESTRING((114.98727 4.96672,114.98759 4.96649,114.98926 4.96535,114.99306 4.96286))';one_way;1
'MULTILINESTRING((114.99306 4.96286,114.99385 4.96237,114.99353 4.96138))';one_way;1
'MULTILINESTRING((114.99306 4.96286,114.9934 4.96269,114.99366 4.96267,114.9939 4.96275,114.99411 4.96303))';one_way;1
'MULTILINESTRING((114.99334 4.96151,114.99347 4.96194,114.99345 4.96224,114.99327 4.96252,114.993 4.96275))';one_way;1
'MULTILINESTRING((114.4405 4.64724,114.4407 4.64737,114.44095 4.64746,114.44122 4.64755,114.44164 4.64769,114.44192 4.64778,114.4422 4.64788,114.44262 4.64807,114.44311 4.64829))';one_way;1
'MULTILINESTRING((114.44311 4.64829,114.44364 4.64852,114.44454 4.64892,114.44543 4.64931))';one_way;1
'MULTILINESTRING((114.44543 4.64931,114.44571 4.64943,114.446 4.64953,114.44642 4.64967,114.44671 4.64974,114.447 4.64981,114.4473 4.64987,114.44761 4.64992,114.44792 4.64996,114.44823 4.64999,114.44853 4.65001,114.44895 4.65002,114.44954 4.65003))';one_way;1
'MULTILINESTRING((101.75469 3.19816,101.75524 3.19786,101.7554 3.19775,101.75553 3.19762,101.75582 3.19729,101.75616 3.1968,101.7564 3.19638,101.75651 3.1959,101.75662 3.19455,101.75675 3.19362,101.75688 3.19307,101.75705 3.19279,101.75775 3.19252,101.75659 3.18994))';one_way;1
'MULTILINESTRING((101.79824 2.88494,101.79816 2.88486))';one_way;1
'MULTILINESTRING((101.79816 2.88486,101.79721 2.88389,101.79663 2.88316,101.79642 2.88286,101.7961 2.88247))';one_way;1
'MULTILINESTRING((101.7961 2.88247,101.79605 2.88239))';one_way;1
'MULTILINESTRING((101.79605 2.88239,101.79586 2.88187,101.79576 2.88155,101.79567 2.88114,101.79567 2.88086,101.79576 2.88039,101.79589 2.88003,101.79618 2.87923,101.79627 2.87887,101.79631 2.87844,101.79631 2.87795,101.79638 2.87771,101.79647 2.87752,101.79657 2.8773,101.79673 2.87711,101.79711 2.87683))';one_way;1
'MULTILINESTRING((101.79711 2.87683,101.79721 2.87674))';one_way;1
'MULTILINESTRING((101.79721 2.87674,101.79737 2.87668,101.7984 2.87629,101.79887 2.87601,101.8003 2.87488))';one_way;1
'MULTILINESTRING((101.60017 3.01568,101.60032 3.01545,101.60034 3.01534,101.60034 3.01521,101.60019 3.01489))';one_way;1
'MULTILINESTRING((101.60019 3.01489,101.6 3.01452))';one_way;1
'MULTILINESTRING((101.71544 3.02,101.7156 3.01989,101.71653 3.0183))';one_way;1
'MULTILINESTRING((101.71653 3.0183,101.71705 3.01736))';one_way;1
'MULTILINESTRING((101.71705 3.01736,101.71763 3.01637,101.71791 3.01611))';one_way;1
'MULTILINESTRING((101.71313 2.94288,101.71334 2.943))';one_way;1
'MULTILINESTRING((101.71334 2.943,101.71352 2.94315,101.71368 2.94343))';one_way;1
'MULTILINESTRING((101.9746 2.68342,101.97433 2.68358,101.9741 2.68384))';one_way;1
'MULTILINESTRING((101.9741 2.68384,101.97358 2.68458,101.97274 2.6856,101.9726 2.68577,101.97223 2.68607,101.97124 2.68682,101.971 2.68703,101.97083 2.68721,101.97065 2.68752))';one_way;1
'MULTILINESTRING((101.97065 2.68752,101.97055 2.68801,101.97045 2.68851,101.97029 2.68925,101.97013 2.68996))';one_way;1
'MULTILINESTRING((101.97013 2.68996,101.96994 2.69088))';one_way;1
'MULTILINESTRING((101.96994 2.69088,101.96982 2.69145,101.96973 2.69171))';one_way;1
'MULTILINESTRING((100.30527 5.41906,100.30522 5.41909))';one_way;1
'MULTILINESTRING((100.30218 5.45211,100.30222 5.45196))';one_way;1
'MULTILINESTRING((100.30093 5.46398,100.30108 5.46392))';one_way;1
'MULTILINESTRING((100.30316 5.46295,100.30297 5.46299))';one_way;1
