#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
1;8;16;2;Y;;null;110302;;3604;471
2;2;16;2;Y;;null;130105;;2F66;508
2;6;44;2;Y;;null;130301;;349F;742
4;3;65;2;Y;;null;120102;;10A4;1256
4;2;33;2;Y;;null;120101;;1002;1090
1;5;1;2;Y;;null;110101;;335E;447
4;3;92;2;Y;;null;120102;;4107;1251
2;3;49;2;Y;;null;130102;;2F5C;566
1;4;10;2;Y;;null;110102;;2F94;162
1;2;8;2;Y;;null;110200;;3438;25
2;15;2;2;Y;;null;130405;;34B2;863
2;6;49;2;Y;;null;130301;;226B;731
1;5;13;2;Y;;null;110101;;310F;314
3;9;2;2;Y;;null;230211;;2FB4;988
1;5;165;2;Y;;null;110101;;333F;257
4;2;131;2;Y;;null;120101;;1031;1213
1;5;71;2;Y;;null;110101;;356B;390
9;4;5;2;Y;;null;150101;;6069;1527
1;8;3;2;Y;;null;110302;;3430;485
2;4;24;2;Y;;null;130106;;2F42;649
1;2;29;2;Y;;null;110200;;3310;89
2;7;3;2;Y;;null;130401;;34CF;766
5;9;11;2;Y;;null;180209;;8010;1388
4;3;66;2;Y;;null;120102;;1087;1241
1;2;84;2;Y;;null;110200;;330F;46
5;12;2;2;Y;;null;180201;;2245;1408
9;4;90;2;Y;;null;150101;;6017;1585
4;2;37;2;Y;;null;120101;;406D;1212
2;2;10;2;Y;;null;130105;;411E;507
9;4;65;2;Y;;null;150101;;6056;1565
2;6;62;2;Y;;null;130301;;350F;717
2;14;23;2;Y;;null;130406;;348F;836
1;7;4;2;Y;;null;110304;;340C;463
4;2;214;2;Y;;null;120101;;3618;1136
4;2;164;2;Y;;null;120101;;408B;1127
2;6;28;2;Y;;null;130301;;34A7;749
2;3;50;2;Y;;null;130102;;2F1D;530
1;4;38;2;Y;;null;110102;;306D;184
4;2;98;2;Y;;null;120101;;10B0;1181
9;2;8;2;Y;;null;210204;;34C4;1479
1;5;30;2;Y;;null;110101;;3124;364
4;3;26;2;Y;;null;120102;;10A5;1260
4;2;89;2;Y;;null;120101;;1029;1175
4;2;80;2;Y;;null;120101;;105E;1156
1;4;11;2;Y;;null;110102;;3034;186
4;3;43;2;Y;;null;120102;;4101;1303
2;4;4;2;Y;;null;130106;;2F70;648
9;4;88;2;Y;;null;150101;;6041;1567
4;3;46;2;Y;;null;120102;;1098;1358
2;14;7;2;Y;;null;130406;;34DB;838
7;3;0;1;N;;null;230125;;;1449
1;5;135;2;Y;;null;110101;;354D;283
9;4;38;2;Y;;null;150101;;603A;1602
2;2;0;1;N;;null;130105;;;489
1;5;126;2;Y;;null;110101;;3555;352
4;3;130;2;Y;;null;120102;;3617;1226
2;3;63;2;Y;;null;130102;;2F23;582
9;7;3;2;Y;;null;210214;;7003;1627
1;5;79;2;Y;;null;110101;;3475;385
1;5;211;2;Y;;null;110101;;3467;245
4;2;49;2;Y;;null;120101;;10A8;1095
4;2;54;2;Y;;null;120101;;10B3;1123
2;14;16;2;Y;;null;130406;;3514;837
9;6;1;2;Y;;null;200405;;361B;1616
1;4;54;2;Y;;null;110102;;3329;187
