#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
15;N;1;8;0;1;null;5800;0;0;28;0;0
145;N;6;15;0;1;null;7997;13;0;0;0;0
221;N;7;20;0;1;null;7990;0;0;0;0;0
7;N;1;6;0;1;null;5800;0;0;13;0;0
236;N;8;14;0;1;null;0;0;0;0;0;9510
117;N;5;18;0;1;null;0;0;0;0;0;9564
49;Y;2;8;9;2;null;5540;0;5506;0;0;0
53;N;3;0;0;0;null;0;0;0;0;0;0
136;N;6;11;0;1;null;5813;36;0;0;0;0
229;N;8;7;0;1;null;0;0;0;0;0;9502
206;N;7;12;0;1;null;9221;0;0;0;0;0
223;N;8;1;0;1;null;0;0;0;0;0;9514
128;N;6;8;0;1;null;7998;0;0;0;0;0
30;N;2;3;0;1;null;5512;0;0;0;0;0
60;N;3;7;0;1;null;7897;0;0;0;0;0
113;N;5;14;0;1;null;9567;46;0;0;0;0
201;N;7;9;4;2;null;9583;26;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9548
157;Y;7;1;6;2;null;3578;0;4028;0;0;0
55;N;3;2;0;1;null;9999;0;0;0;0;0
145;N;6;15;0;1;null;7997;9;0;0;0;0
28;Y;2;1;0;1;null;5511;0;251;0;0;0
32;N;2;4;1;2;0;0;0;0;0;0;0
29;Y;2;2;0;1;null;7538;0;251;0;0;0
224;N;8;2;0;1;null;9714;0;0;0;0;0
6;N;1;5;0;1;null;5800;0;0;11;0;0
108;N;5;9;0;1;null;0;0;0;0;0;9551
223;N;8;1;0;1;null;8699;0;0;0;0;0
86;Y;5;2;13;2;null;9537;0;24479;0;0;0
155;Y;7;1;4;2;null;3578;0;2196;0;0;0
90;N;5;4;0;1;null;0;0;0;0;0;9541
149;N;6;19;0;1;null;0;0;0;0;0;9577
76;Y;5;2;3;2;null;9537;0;24371;0;0;0
207;N;7;13;0;1;null;9530;0;0;0;0;0
31;N;2;4;0;1;null;0;0;0;0;0;0
145;N;6;15;0;1;null;7997;7;0;0;0;0
57;N;3;4;0;1;null;4100;0;0;0;0;0
1;N;1;0;0;0;null;0;0;0;0;0;0
68;N;4;3;0;1;null;7013;20;0;0;0;0
182;Y;7;2;12;2;null;6000;0;4033;0;0;0
136;N;6;11;0;1;null;5813;34;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9569
110;N;5;11;0;1;null;6512;0;0;0;0;0
180;Y;7;2;10;2;null;6000;0;4031;0;0;0
10;Y;1;7;2;2;null;5800;0;1498;27;0;0
112;N;5;13;0;1;null;9567;44;0;0;0;0
213;N;7;19;0;1;null;0;0;0;0;0;0
192;N;7;4;0;1;null;7994;0;0;0;0;0
56;N;3;3;0;1;null;4170;0;0;0;0;0
100;Y;5;8;2;2;null;5400;0;42;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9563
92;N;5;5;1;2;0;0;0;0;0;0;0
131;N;6;10;1;2;0;0;0;0;0;0;0
225;N;8;3;0;1;null;9998;0;0;0;0;0
94;N;5;5;3;2;null;9987;71;0;0;0;0
118;N;5;19;0;1;null;0;0;0;0;0;9566
221;N;7;20;0;1;null;0;0;0;0;0;9578
71;N;5;0;0;0;null;0;0;0;0;0;0
108;N;5;9;0;1;null;0;0;0;0;0;9552
100;Y;5;8;2;2;null;5400;0;10035;0;0;0
34;N;2;4;3;2;null;7538;2;0;0;0;0
122;N;6;2;0;1;null;9718;0;0;0;0;0
210;N;7;16;0;1;null;8211;0;0;0;0;0
-1;N;9;0;0;0;1;0;0;0;0;0;0
51;N;2;8;11;2;null;5540;0;0;0;0;0
185;Y;7;2;15;2;null;6000;0;5492;0;0;0
208;N;7;14;0;1;null;9589;0;0;0;0;0
33;N;2;4;2;2;null;0;0;0;0;0;9519
68;N;4;3;0;1;null;7013;22;0;0;0;0
48;Y;2;8;8;2;null;5540;0;4027;0;0;0
3;N;1;2;0;1;null;5800;0;0;3;0;0
168;Y;7;1;17;2;null;3578;0;22411;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9550
145;N;6;15;0;1;null;7997;11;0;0;0;0
145;N;6;15;0;1;null;7997;75;0;0;0;0
193;N;7;5;0;1;null;9993;0;0;0;0;0
227;N;8;5;0;1;null;4444;0;0;0;0;0
81;Y;5;2;8;2;null;9537;0;24467;0;0;0
202;N;7;9;5;2;null;9583;27;0;0;0;0
230;N;8;8;0;1;null;0;0;0;0;0;9503
141;N;6;12;4;2;null;7947;61;0;0;0;0
239;N;8;17;0;1;null;0;0;0;0;0;9516
63;N;3;10;0;1;null;9593;0;0;0;0;0
136;N;6;11;0;1;null;5813;40;0;0;0;0
156;Y;7;1;5;2;null;3578;0;4026;0;0;0
169;N;7;1;18;2;null;3578;0;0;0;0;0
66;N;4;1;0;1;null;5999;0;0;0;0;0
88;N;5;2;15;2;null;9537;0;0;0;0;0
93;N;5;5;2;2;null;9987;70;0;0;0;0
162;Y;7;1;11;2;null;3578;0;4033;0;0;0
219;N;7;19;6;2;null;9992;0;0;0;7;0
8;N;1;7;0;1;null;0;0;0;0;0;0
88;N;5;2;15;2;null;9537;49;0;0;0;0
85;Y;5;2;12;2;null;9537;0;24478;0;0;0
145;N;6;15;0;1;null;7997;76;0;0;0;0
161;Y;7;1;10;2;null;3578;0;4032;0;0;0
116;N;5;17;0;1;null;0;0;0;0;0;9561
120;N;6;0;0;0;null;0;0;0;0;0;0
237;N;8;15;0;1;null;0;0;0;0;0;9512
16;N;1;9;0;1;null;5800;0;0;41;0;0
19;N;1;12;0;1;null;5800;0;0;47;0;0
134;N;6;10;4;2;null;8410;69;0;0;0;0
187;Y;7;2;17;2;null;6000;0;20022;0;0;0
23;N;1;16;0;1;null;5800;0;0;88;0;0
75;Y;5;2;2;2;null;9537;0;24368;0;0;0
158;Y;7;1;7;2;null;3578;0;4029;0;0;0
209;N;7;15;0;1;null;9590;0;0;0;0;0
27;N;2;0;0;0;null;0;0;0;0;0;0
96;N;5;6;0;1;null;9535;0;0;0;0;0
114;N;5;15;0;1;null;9568;0;0;0;0;0
148;N;6;18;0;1;null;0;0;0;0;0;9570
233;N;8;11;0;1;null;0;0;0;0;0;9507
178;Y;7;2;8;2;null;6000;0;4029;0;0;0
191;N;7;3;0;1;null;9121;0;0;0;0;0
50;Y;2;8;10;2;null;5540;0;20028;0;0;0
130;N;6;10;0;1;null;0;0;0;0;0;0
22;N;1;15;0;1;null;5800;0;0;76;0;0
224;N;8;2;0;1;null;9714;52;0;0;0;0
64;N;3;11;0;1;null;0;0;0;0;0;0
146;N;6;16;0;1;null;0;0;0;0;0;9576
164;Y;7;1;13;2;null;3578;0;4035;0;0;0
241;N;8;19;0;1;null;0;0;0;0;0;9555
105;Y;5;8;7;2;null;5400;0;9281;0;0;0
68;N;4;3;0;1;null;7013;0;0;0;0;0
67;N;4;2;0;1;null;7011;17;0;0;0;0
175;Y;7;2;5;2;null;6000;0;2196;0;0;0
189;Y;7;2;19;2;null;6000;0;22411;0;0;0
173;Y;7;2;3;2;null;6000;0;1165;0;0;0
228;N;8;6;0;1;null;0;0;0;0;0;9500
13;Y;1;7;5;2;null;5800;0;23010;27;0;0
172;Y;7;2;2;2;null;6000;0;1106;0;0;0
214;N;7;19;1;2;0;0;0;0;0;0;0
11;Y;1;7;3;2;null;5800;0;1566;27;0;0
112;N;5;13;0;1;null;9567;0;0;0;0;0
78;Y;5;2;5;2;null;9537;0;24384;0;0;0
36;N;2;4;5;2;null;7538;0;0;0;0;0
138;N;6;12;1;2;0;0;0;0;0;0;0
67;N;4;2;0;1;null;7011;18;0;0;0;0
240;N;8;18;0;1;null;0;0;0;0;0;9529
133;N;6;10;3;2;null;8410;68;0;0;0;0
154;Y;7;1;3;2;null;3578;0;1165;0;0;0
145;N;6;15;0;1;null;7997;12;0;0;0;0
174;Y;7;2;4;2;null;6000;0;2195;0;0;0
2;N;1;1;0;1;0;0;0;0;0;0;0
204;N;7;10;0;1;null;9583;24;0;0;0;0
84;Y;5;2;11;2;null;9537;0;24474;0;0;0
139;N;6;12;2;2;null;7947;59;0;0;0;0
200;N;7;9;3;2;null;9583;25;0;0;0;0
221;N;7;20;0;1;null;0;0;0;0;0;9542
97;N;5;7;0;1;null;9545;0;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9553
199;N;7;9;2;2;null;9583;23;0;0;0;0
40;N;2;8;0;1;null;0;0;0;0;0;0
57;N;3;4;0;1;null;4100;29;0;0;0;0
201;N;7;9;4;2;null;0;0;0;0;0;9513
186;Y;7;2;16;2;null;6000;0;5493;0;0;0
64;N;3;11;0;1;null;9710;0;0;0;0;0
196;N;7;8;0;1;null;8231;0;0;0;0;0
197;N;7;9;0;1;null;0;0;0;0;0;0
99;N;5;8;1;2;0;0;0;0;0;0;0
221;N;7;20;0;1;null;0;0;0;0;0;0
88;N;5;2;15;2;null;9537;48;0;0;0;0
103;Y;5;8;5;2;null;5400;0;4024;0;0;0
119;N;5;20;0;1;null;0;0;0;0;0;9547
223;N;8;1;0;1;null;9724;0;0;0;0;0
47;Y;2;8;7;2;null;5540;0;4020;0;0;0
72;N;5;1;0;1;null;9995;0;0;0;0;0
112;N;5;13;0;1;null;9567;45;0;0;0;0
132;N;6;10;2;2;null;8410;66;0;0;0;0
136;N;6;11;0;1;null;5813;39;0;0;0;0
108;N;5;9;0;1;null;9986;77;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9549
159;Y;7;1;8;2;null;3578;0;4030;0;0;0
210;N;7;16;0;1;null;8200;0;0;0;0;0
20;N;1;13;0;1;null;5800;0;0;53;0;0
145;N;6;15;0;1;null;7997;15;0;0;0;0
43;Y;2;8;3;2;null;5540;0;10;0;0;0
54;N;3;1;0;1;null;4581;0;0;0;0;0
179;Y;7;2;9;2;null;6000;0;4030;0;0;0
44;Y;2;8;4;2;null;5540;0;932;0;0;0
136;N;6;11;0;1;null;5813;0;0;0;0;0
140;N;6;12;3;2;null;7947;60;0;0;0;0
221;N;7;20;0;1;null;9994;0;0;0;0;0
136;N;6;11;0;1;null;5813;37;0;0;0;0
215;N;7;19;2;2;null;9992;0;0;0;1;0
137;N;6;12;0;1;null;0;0;0;0;0;0
25;N;1;18;0;1;null;9996;0;0;0;0;0
64;N;3;11;0;1;null;9522;0;0;0;0;0
115;N;5;16;0;1;null;0;0;0;0;0;9558
90;N;5;4;0;1;null;0;0;0;0;0;0
122;N;6;2;0;1;null;9718;56;0;0;0;0
170;N;7;2;0;1;null;0;0;0;0;0;0
145;N;6;15;0;1;null;7997;72;0;0;0;0
194;N;7;6;0;1;null;9525;0;0;0;0;0
12;Y;1;7;4;2;null;5800;0;23009;27;0;0
17;N;1;10;0;1;null;5800;0;0;43;0;0
98;N;5;8;0;1;null;0;0;0;0;0;0
24;N;1;17;0;1;null;5800;0;0;95;0;0
123;N;6;3;0;1;null;9718;58;0;0;0;0
226;N;8;4;0;1;null;9715;0;0;0;0;0
129;N;6;9;0;1;null;4493;0;0;0;0;0
144;N;6;14;0;1;null;7012;0;0;0;0;0
136;N;6;11;0;1;null;5813;38;0;0;0;0
190;N;7;2;20;2;null;6000;0;0;0;0;0
90;N;5;4;0;1;null;0;0;0;0;0;9539
109;N;5;10;0;1;null;9560;0;0;0;0;0
69;N;4;4;0;1;null;7999;0;0;0;0;0
70;N;4;5;0;1;null;7389;0;0;0;0;0
74;N;5;2;1;2;0;0;0;0;0;0;0
68;N;4;3;0;1;null;7013;19;0;0;0;0
224;N;8;2;0;1;null;9714;53;0;0;0;0
238;N;8;16;0;1;null;0;0;0;0;0;9515
95;N;5;5;4;2;null;9987;0;0;0;0;0
152;N;7;1;1;2;0;0;0;0;0;0;0
67;N;4;2;0;1;null;7011;0;0;0;0;0
91;N;5;5;0;1;null;0;0;0;0;0;0
160;Y;7;1;9;2;null;3578;0;4031;0;0;0
45;Y;2;8;5;2;null;5540;0;4017;0;0;0
111;N;5;12;0;1;null;9988;0;0;0;0;0
26;N;1;19;0;1;null;5800;0;0;0;0;0
205;N;7;11;0;1;null;9565;0;0;0;0;0
224;N;8;2;0;1;null;9714;54;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9562
122;N;6;2;0;1;null;9718;57;0;0;0;0
4;N;1;3;0;1;null;5800;0;0;9;0;0
65;N;4;0;0;0;null;0;0;0;0;0;0
146;N;6;16;0;1;null;7940;0;0;0;0;0
198;N;7;9;1;2;0;0;0;0;0;0;0
88;N;5;2;15;2;null;9537;47;0;0;0;0
37;N;2;5;0;1;null;5571;0;0;0;0;0
108;N;5;9;0;1;null;9986;0;0;0;0;0
136;N;6;11;0;1;null;5813;41;0;0;0;0
136;N;6;11;0;1;null;5813;42;0;0;0;0
223;N;8;1;0;1;null;0;0;0;0;0;9501
43;Y;2;8;3;2;null;5540;0;10101;0;0;0
145;N;6;15;0;1;null;7997;14;0;0;0;0
61;N;3;8;0;1;null;9989;0;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;9557
33;N;2;4;2;2;null;7538;1;0;0;0;0
143;N;6;13;0;1;null;7929;0;0;0;0;0
195;N;7;7;0;1;null;8060;0;0;0;0;0
68;N;4;3;0;1;null;7013;21;0;0;0;0
111;N;5;12;0;1;null;0;0;0;0;0;0
235;N;8;13;0;1;null;0;0;0;0;0;9509
90;N;5;4;0;1;null;0;0;0;0;0;9538
121;N;6;1;0;1;null;7996;0;0;0;0;0
73;N;5;2;0;1;null;0;0;0;0;0;0
142;N;6;12;5;2;null;7947;0;0;0;0;0
212;N;7;18;0;1;null;9591;32;0;0;0;0
218;N;7;19;5;2;null;9992;0;0;0;6;0
176;Y;7;2;6;2;null;6000;0;4026;0;0;0
221;N;7;20;0;1;null;9211;0;0;0;0;0
183;Y;7;2;13;2;null;6000;0;4034;0;0;0
101;Y;5;8;3;2;null;5400;0;1779;0;0;0
80;Y;5;2;7;2;null;9537;0;24466;0;0;0
127;N;6;7;0;1;null;7992;0;0;0;0;0
150;N;7;0;0;0;null;0;0;0;0;0;0
166;Y;7;1;15;2;null;3578;0;5493;0;0;0
167;Y;7;1;16;2;null;3578;0;20022;0;0;0
242;N;8;20;0;1;null;0;0;0;0;0;9581
107;N;5;8;9;2;null;5400;0;0;0;0;0
165;Y;7;1;14;2;null;3578;0;5492;0;0;0
14;N;1;7;6;2;null;5800;0;0;27;0;0
135;N;6;10;5;2;null;8410;0;0;0;0;0
147;N;6;17;0;1;null;2084;0;0;0;0;0
153;Y;7;1;2;2;null;3578;0;1106;0;0;0
82;Y;5;2;9;2;null;9537;0;24468;0;0;0
126;N;6;6;0;1;null;7832;0;0;0;0;0
145;N;6;15;0;1;null;0;0;0;0;0;9574
59;N;3;6;0;1;null;4482;62;0;0;0;0
177;Y;7;2;7;2;null;6000;0;4028;0;0;0
52;N;2;9;0;1;null;7510;0;0;0;0;0
87;Y;5;2;14;2;null;9537;0;24481;0;0;0
