#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
113;N;5;1;0;1;null;9995;0;0;0;0;0
316;Y;6;2;60;2;null;6000;0;20289;0;0;0
156;N;5;5;0;1;null;9545;0;0;0;0;0
170;N;5;12;0;1;null;0;0;0;0;0;0
230;Y;6;1;42;2;null;3578;0;7289;0;0;0
6;N;1;5;0;1;null;5800;0;0;8;0;0
298;Y;6;2;42;2;null;6000;0;7297;0;0;0
105;N;4;13;0;1;null;5813;0;0;0;0;0
296;Y;6;2;40;2;null;6000;0;7291;0;0;0
307;Y;6;2;51;2;null;6000;0;7319;0;0;0
57;Y;2;2;0;1;null;5511;0;251;0;0;0
81;N;3;4;0;1;null;4482;0;0;0;0;0
273;Y;6;2;17;2;null;6000;0;7237;0;0;0
7;N;1;6;0;1;null;5800;0;0;9;0;0
165;N;5;7;7;2;null;5400;0;0;0;0;0
5;N;1;4;0;1;null;5800;0;0;5;0;0
161;Y;5;7;3;2;null;5400;0;9314;0;0;0
164;Y;5;7;6;2;null;5400;0;25397;0;0;0
172;Y;5;12;2;2;null;9567;0;7769;0;0;0
75;Y;2;9;6;2;null;7510;0;2012;0;0;0
135;Y;5;2;21;2;null;9537;0;6064;0;0;0
147;Y;5;3;2;2;null;9987;0;2410;0;0;0
241;Y;6;1;53;2;null;3578;0;7310;0;0;0
39;Y;1;19;3;2;null;5800;0;1546;85;0;0
85;N;4;0;0;0;null;0;0;0;0;0;0
291;Y;6;2;35;2;null;6000;0;7272;0;0;0
106;N;4;14;0;1;null;7947;0;0;0;0;0
167;N;5;9;0;1;null;9560;0;0;0;0;0
209;Y;6;1;21;2;null;3578;0;7240;0;0;0
229;Y;6;1;41;2;null;3578;0;7282;0;0;0
326;N;6;9;0;1;null;9525;0;0;0;0;0
160;Y;5;7;2;2;null;5400;0;42;0;0;0
122;Y;5;2;8;2;null;9537;0;4437;0;0;0
294;Y;6;2;38;2;null;6000;0;7289;0;0;0
329;N;6;12;0;1;null;8231;0;0;0;0;0
110;N;4;18;0;1;null;7999;0;0;0;0;0
237;Y;6;1;49;2;null;3578;0;7302;0;0;0
138;Y;5;2;24;2;null;9537;0;8255;0;0;0
84;N;3;7;0;1;null;4013;0;0;0;0;0
118;Y;5;2;4;2;null;9537;0;4292;0;0;0
200;Y;6;1;12;2;null;3578;0;7226;0;0;0
211;Y;6;1;23;2;null;3578;0;7248;0;0;0
93;N;4;8;0;1;null;5999;0;0;0;0;0
285;Y;6;2;29;2;null;6000;0;7264;0;0;0
1;N;1;0;0;0;null;0;0;0;0;0;0
162;Y;5;7;4;2;null;5400;0;10035;0;0;0
310;Y;6;2;54;2;null;6000;0;7325;0;0;0
134;Y;5;2;20;2;null;9537;0;6063;0;0;0
92;N;4;7;0;1;null;7992;0;0;0;0;0
327;N;6;10;0;1;null;8200;0;0;0;0;0
274;Y;6;2;18;2;null;6000;0;7239;0;0;0
186;N;5;14;0;1;null;6512;0;0;0;0;0
278;Y;6;2;22;2;null;6000;0;7253;0;0;0
301;Y;6;2;45;2;null;6000;0;7308;0;0;0
288;Y;6;2;32;2;null;6000;0;7267;0;0;0
293;Y;6;2;37;2;null;6000;0;7282;0;0;0
240;Y;6;1;52;2;null;3578;0;7308;0;0;0
308;Y;6;2;52;2;null;6000;0;7322;0;0;0
189;N;6;1;1;2;0;0;0;0;0;0;0
275;Y;6;2;19;2;null;6000;0;7242;0;0;0
48;Y;1;21;3;2;null;9996;0;1396;0;0;0
337;N;6;15;0;1;null;9221;0;0;0;0;0
96;Y;4;9;2;2;null;7011;0;6808;0;0;0
176;Y;5;12;6;2;null;9567;0;9718;0;0;0
236;Y;6;1;48;2;null;3578;0;7301;0;0;0
287;Y;6;2;31;2;null;6000;0;7266;0;0;0
178;Y;5;12;8;2;null;9567;0;9720;0;0;0
82;N;3;5;0;1;null;7897;0;0;0;0;0
150;Y;5;3;5;2;null;9987;0;20287;0;0;0
323;N;6;6;0;1;null;9211;0;0;0;0;0
341;N;7;0;0;0;null;0;0;0;0;0;0
309;Y;6;2;53;2;null;6000;0;7323;0;0;0
43;N;1;19;7;2;null;5800;0;0;85;0;0
91;N;4;6;0;1;null;7832;0;0;0;0;0
242;Y;6;1;54;2;null;3578;0;7312;0;0;0
304;Y;6;2;48;2;null;6000;0;7314;0;0;0
25;N;1;15;9;2;null;5800;0;0;58;0;0
271;Y;6;2;15;2;null;6000;0;7234;0;0;0
37;N;1;19;1;2;0;0;0;0;0;0;0
50;Y;1;21;5;2;null;9996;0;1873;0;0;0
196;Y;6;1;8;2;null;3578;0;6812;0;0;0
36;N;1;19;0;1;null;0;0;0;0;0;0
20;Y;1;15;4;2;null;5800;0;1578;58;0;0
226;Y;6;1;38;2;null;3578;0;7271;0;0;0
270;Y;6;2;14;2;null;6000;0;7232;0;0;0
319;N;6;2;63;2;null;6000;0;0;0;0;0
72;Y;2;9;3;2;null;7510;0;1468;0;0;0
18;Y;1;15;2;2;null;5800;0;1522;58;0;0
283;Y;6;2;27;2;null;6000;0;7261;0;0;0
123;Y;5;2;9;2;null;9537;0;4501;0;0;0
235;Y;6;1;47;2;null;3578;0;7297;0;0;0
2;N;1;1;0;1;0;0;0;0;0;0;0
68;N;2;8;0;1;null;5540;0;0;0;0;0
262;Y;6;2;6;2;null;6000;0;3183;0;0;0
264;Y;6;2;8;2;null;6000;0;6812;0;0;0
29;Y;1;17;2;2;null;5800;0;1559;75;0;0
115;N;5;2;1;2;0;0;0;0;0;0;0
205;Y;6;1;17;2;null;3578;0;7234;0;0;0
302;Y;6;2;46;2;null;6000;0;7310;0;0;0
289;Y;6;2;33;2;null;6000;0;7268;0;0;0
345;N;8;0;0;0;null;0;0;0;0;0;0
306;Y;6;2;50;2;null;6000;0;7318;0;0;0
109;N;4;17;0;1;null;7940;0;0;0;0;0
173;Y;5;12;3;2;null;9567;0;8201;0;0;0
45;N;1;21;0;1;null;0;0;0;0;0;0
346;N;8;1;0;1;null;5000;0;0;0;0;0
144;N;5;2;30;2;null;9537;0;0;0;0;0
132;Y;5;2;18;2;null;9537;0;6028;0;0;0
88;N;4;3;0;1;null;7933;0;0;0;0;0
171;N;5;12;1;2;0;0;0;0;0;0;0
143;Y;5;2;29;2;null;9537;0;25040;0;0;0
328;N;6;11;0;1;null;8060;0;0;0;0;0
52;Y;1;21;7;2;null;9996;0;10073;0;0;0
276;Y;6;2;20;2;null;6000;0;7247;0;0;0
279;Y;6;2;23;2;null;6000;0;7256;0;0;0
27;N;1;17;0;1;null;0;0;0;0;0;0
127;Y;5;2;13;2;null;9537;0;5178;0;0;0
136;Y;5;2;22;2;null;9537;0;7035;0;0;0
174;Y;5;12;4;2;null;9567;0;8761;0;0;0
56;Y;2;1;0;1;null;5511;0;250;0;0;0
65;N;2;5;5;2;null;7538;0;0;0;0;0
77;N;3;0;0;0;null;0;0;0;0;0;0
59;Y;2;4;0;1;null;7538;0;251;0;0;0
149;Y;5;3;4;2;null;9987;0;3921;0;0;0
334;N;6;13;4;2;null;9583;27;0;0;0;0
180;Y;5;12;10;2;null;9567;0;20288;0;0;0
223;Y;6;1;35;2;null;3578;0;7267;0;0;0
78;N;3;1;0;1;null;4581;0;0;0;0;0
129;Y;5;2;15;2;null;9537;0;5232;0;0;0
265;Y;6;2;9;2;null;6000;0;7215;0;0;0
343;N;7;2;0;1;null;9992;0;0;0;0;0
13;N;1;12;0;1;null;5800;0;0;50;0;0
331;N;6;13;1;2;0;0;0;0;0;0;0
225;Y;6;1;37;2;null;3578;0;7270;0;0;0
330;N;6;13;0;1;null;0;0;0;0;0;0
284;Y;6;2;28;2;null;6000;0;7263;0;0;0
98;Y;4;9;4;2;null;7011;0;10022;0;0;0
281;Y;6;2;25;2;null;6000;0;7259;0;0;0
292;Y;6;2;36;2;null;6000;0;7280;0;0;0
89;N;4;4;0;1;null;9517;0;0;0;0;0
342;N;7;1;0;1;null;9992;0;0;0;1;0
15;N;1;14;0;1;null;5800;0;0;53;0;0
125;Y;5;2;11;2;null;9537;0;4737;0;0;0
137;Y;5;2;23;2;null;9537;0;8172;0;0;0
191;Y;6;1;3;2;null;3578;0;1165;0;0;0
198;Y;6;1;10;2;null;3578;0;7215;0;0;0
332;N;6;13;2;2;null;9583;23;0;0;0;0
28;N;1;17;1;2;0;0;0;0;0;0;0
74;Y;2;9;5;2;null;7510;0;1975;0;0;0
153;Y;5;3;8;2;null;9987;0;25381;0;0;0
175;Y;5;12;5;2;null;9567;0;9716;0;0;0
163;Y;5;7;5;2;null;5400;0;20291;0;0;0
76;N;2;9;7;2;null;7510;0;0;0;0;0
101;N;4;9;7;2;null;7011;0;0;0;0;0
216;Y;6;1;28;2;null;3578;0;7259;0;0;0
207;Y;6;1;19;2;null;3578;0;7236;0;0;0
61;N;2;5;1;2;0;0;0;0;0;0;0
19;Y;1;15;3;2;null;5800;0;1561;58;0;0
4;N;1;3;0;1;null;5800;0;0;3;0;0
224;Y;6;1;36;2;null;3578;0;7268;0;0;0
190;Y;6;1;2;2;null;3578;0;1106;0;0;0
181;Y;5;12;11;2;null;9567;0;20290;0;0;0
286;Y;6;2;30;2;null;6000;0;7265;0;0;0
21;Y;1;15;5;2;null;5800;0;1582;58;0;0
30;Y;1;17;3;2;null;5800;0;1584;75;0;0
100;Y;4;9;6;2;null;7011;0;10106;0;0;0
185;N;5;13;0;1;null;9568;0;0;0;0;0
10;N;1;9;0;1;null;5800;0;0;28;0;0
199;Y;6;1;11;2;null;3578;0;7225;0;0;0
333;N;6;13;3;2;null;9583;25;0;0;0;0
266;Y;6;2;10;2;null;6000;0;7226;0;0;0
252;Y;6;1;64;2;null;3578;0;7332;0;0;0
295;Y;6;2;39;2;null;6000;0;7290;0;0;0
120;Y;5;2;6;2;null;9537;0;4304;0;0;0
335;N;6;13;5;2;null;9583;0;0;0;0;0
247;Y;6;1;59;2;null;3578;0;7322;0;0;0
244;Y;6;1;56;2;null;3578;0;7317;0;0;0
299;Y;6;2;43;2;null;6000;0;7298;0;0;0
3;N;1;2;0;1;null;5800;0;0;1;0;0
73;Y;2;9;4;2;null;7510;0;1974;0;0;0
312;Y;6;2;56;2;null;6000;0;7332;0;0;0
116;Y;5;2;2;2;null;9537;0;4166;0;0;0
305;Y;6;2;49;2;null;6000;0;7317;0;0;0
99;Y;4;9;5;2;null;7011;0;10034;0;0;0
197;Y;6;1;9;2;null;3578;0;6813;0;0;0
251;Y;6;1;63;2;null;3578;0;7326;0;0;0
17;N;1;15;1;2;0;0;0;0;0;0;0
255;N;6;1;67;2;null;3578;0;0;0;0;0
114;N;5;2;0;1;null;0;0;0;0;0;0
90;N;4;5;0;1;null;7985;0;0;0;0;0
183;Y;5;12;13;2;null;9567;0;20297;0;0;0
31;Y;1;17;4;2;null;5800;0;1884;75;0;0
152;Y;5;3;7;2;null;9987;0;20434;0;0;0
338;N;6;16;0;1;null;9530;0;0;0;0;0
9;N;1;8;0;1;null;5800;0;0;13;0;0
64;N;2;5;4;2;null;7538;5;0;0;0;0
238;Y;6;1;50;2;null;3578;0;7303;0;0;0
55;N;2;0;0;0;null;0;0;0;0;0;0
202;Y;6;1;14;2;null;3578;0;7228;0;0;0
232;Y;6;1;44;2;null;3578;0;7291;0;0;0
245;Y;6;1;57;2;null;3578;0;7318;0;0;0
259;Y;6;2;3;2;null;6000;0;2489;0;0;0
246;Y;6;1;58;2;null;3578;0;7319;0;0;0
41;Y;1;19;5;2;null;5800;0;1921;85;0;0
313;Y;6;2;57;2;null;6000;0;8637;0;0;0
103;N;4;11;0;1;null;4493;0;0;0;0;0
54;N;1;22;0;1;null;5800;0;0;0;0;0
179;Y;5;12;9;2;null;9567;0;9722;0;0;0
344;N;7;3;0;1;null;9591;0;0;0;0;0
107;N;4;15;0;1;null;7012;0;0;0;0;0
282;Y;6;2;26;2;null;6000;0;7260;0;0;0
182;Y;5;12;12;2;null;9567;0;20294;0;0;0
218;Y;6;1;30;2;null;3578;0;7261;0;0;0
203;Y;6;1;15;2;null;3578;0;7230;0;0;0
117;Y;5;2;3;2;null;9537;0;4184;0;0;0
46;N;1;21;1;2;0;0;0;0;0;0;0
267;Y;6;2;11;2;null;6000;0;7227;0;0;0
-1;N;9;0;0;0;1;0;0;0;0;0;0
187;N;6;0;0;0;null;0;0;0;0;0;0
130;Y;5;2;16;2;null;9537;0;5911;0;0;0
69;N;2;9;0;1;null;0;0;0;0;0;0
12;N;1;11;0;1;null;5800;0;0;41;0;0
108;N;4;16;0;1;null;7997;0;0;0;0;0
158;N;5;7;0;1;null;0;0;0;0;0;0
112;N;5;0;0;0;null;0;0;0;0;0;0
269;Y;6;2;13;2;null;6000;0;7230;0;0;0
290;Y;6;2;34;2;null;6000;0;7270;0;0;0
349;N;8;4;0;1;null;9991;0;0;0;0;0
66;N;2;6;0;1;null;7521;0;0;0;0;0
317;Y;6;2;61;2;null;6000;0;20442;0;0;0
35;N;1;18;0;1;null;5800;0;0;76;0;0
126;Y;5;2;12;2;null;9537;0;5086;0;0;0
260;Y;6;2;4;2;null;6000;0;2529;0;0;0
201;Y;6;1;13;2;null;3578;0;7227;0;0;0
128;Y;5;2;14;2;null;9537;0;5228;0;0;0
79;N;3;2;0;1;null;9999;0;0;0;0;0
339;N;6;17;0;1;null;9590;0;0;0;0;0
184;N;5;12;14;2;null;9567;0;0;0;0;0
214;Y;6;1;26;2;null;3578;0;7256;0;0;0
256;N;6;2;0;1;null;0;0;0;0;0;0
51;Y;1;21;6;2;null;9996;0;7344;0;0;0
215;Y;6;1;27;2;null;3578;0;7258;0;0;0
141;Y;5;2;27;2;null;9537;0;20304;0;0;0
213;Y;6;1;25;2;null;3578;0;7253;0;0;0
33;Y;1;17;6;2;null;5800;0;10082;75;0;0
321;N;6;4;0;1;null;7994;0;0;0;0;0
87;N;4;2;0;1;null;9718;0;0;0;0;0
318;Y;6;2;62;2;null;6000;0;22004;0;0;0
315;Y;6;2;59;2;null;6000;0;9178;0;0;0
168;N;5;10;0;1;null;9988;0;0;0;0;0
62;N;2;5;2;2;null;7538;1;0;0;0;0
97;Y;4;9;3;2;null;7011;0;10021;0;0;0
325;N;6;8;0;1;null;9993;0;0;0;0;0
80;N;3;3;0;1;null;4170;0;0;0;0;0
83;N;3;6;0;1;null;9989;0;0;0;0;0
277;Y;6;2;21;2;null;6000;0;7250;0;0;0
261;Y;6;2;5;2;null;6000;0;2945;0;0;0
324;N;6;7;0;1;null;9583;24;0;0;0;0
145;N;5;3;0;1;null;0;0;0;0;0;0
16;N;1;15;0;1;null;0;0;0;0;0;0
192;Y;6;1;4;2;null;3578;0;2489;0;0;0
119;Y;5;2;5;2;null;9537;0;4293;0;0;0
210;Y;6;1;22;2;null;3578;0;7247;0;0;0
250;Y;6;1;62;2;null;3578;0;7325;0;0;0
24;Y;1;15;8;2;null;5800;0;10082;58;0;0
95;N;4;9;1;2;0;0;0;0;0;0;0
300;Y;6;2;44;2;null;6000;0;7303;0;0;0
133;Y;5;2;19;2;null;9537;0;6060;0;0;0
111;N;4;19;0;1;null;7389;0;0;0;0;0
204;Y;6;1;16;2;null;3578;0;7232;0;0;0
32;Y;1;17;5;2;null;5800;0;1885;75;0;0
146;N;5;3;1;2;0;0;0;0;0;0;0
