#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
452;Y;5;10;4;2;null;9988;0;8710;0;0;0
637;Y;6;2;13;2;null;6000;0;3629;0;0;0
762;Y;6;2;138;2;null;6000;0;22366;0;0;0
6;N;1;5;0;1;null;5800;0;0;8;0;0
261;Y;5;2;19;2;null;9537;0;4737;0;0;0
231;Y;5;1;4;2;null;9995;0;8669;0;0;0
494;N;5;20;0;1;null;0;0;0;0;0;9538
630;Y;6;2;6;2;null;6000;0;2493;0;0;0
286;Y;5;2;44;2;null;9537;0;21757;0;0;0
120;Y;1;38;32;2;null;9996;0;22397;0;0;0
7;N;1;6;0;1;null;5800;0;0;9;0;0
779;N;6;4;0;1;null;7994;0;0;0;0;0
851;N;8;14;0;1;null;0;0;0;0;0;9514
638;Y;6;2;14;2;null;6000;0;3630;0;0;0
661;Y;6;2;37;2;null;6000;0;6952;0;0;0
61;N;1;17;0;1;null;5800;0;0;31;0;0
234;Y;5;1;7;2;null;9995;0;21019;0;0;0
707;Y;6;2;83;2;null;6000;0;7431;0;0;0
185;N;4;0;0;0;null;0;0;0;0;0;0
380;Y;5;5;36;2;null;9535;0;21432;0;0;0
177;N;3;3;0;1;null;4100;0;0;0;0;0
573;Y;6;1;77;2;null;3578;0;7438;0;0;0
679;Y;6;2;55;2;null;6000;0;7089;0;0;0
16;Y;1;7;8;2;null;5800;0;3393;10;0;0
496;N;6;1;0;1;null;0;0;0;0;0;0
148;Y;2;8;15;2;null;5540;0;6998;0;0;0
343;N;5;4;26;2;null;0;0;0;0;0;9556
434;N;5;8;0;1;null;0;0;0;0;0;0
810;Y;6;12;17;2;null;9565;0;21433;0;0;0
828;N;7;4;0;1;null;9591;0;0;0;0;0
493;N;5;19;0;1;null;0;0;0;0;0;9566
842;N;8;5;0;1;null;0;0;0;0;0;9500
194;N;4;9;0;1;null;7011;0;0;0;0;0
180;N;3;6;0;1;null;7897;0;0;0;0;0
646;Y;6;2;22;2;null;6000;0;3647;0;0;0
128;Y;2;3;0;1;null;7538;0;250;0;0;0
360;Y;5;5;16;2;null;9535;0;7090;0;0;0
409;N;5;7;1;2;0;0;0;0;0;0;0
569;Y;6;1;73;2;null;3578;0;7432;0;0;0
70;N;1;26;0;1;null;5800;0;0;53;0;0
385;Y;5;5;41;2;null;9535;0;22392;0;0;0
249;Y;5;2;7;2;null;9537;0;4222;0;0;0
695;Y;6;2;71;2;null;6000;0;7412;0;0;0
658;Y;6;2;34;2;null;6000;0;6948;0;0;0
518;Y;6;1;22;2;null;3578;0;3652;0;0;0
709;Y;6;2;85;2;null;6000;0;7433;0;0;0
812;Y;6;12;19;2;null;9565;0;22343;0;0;0
847;N;8;10;0;1;null;0;0;0;0;0;9506
1;N;1;0;0;0;null;0;0;0;0;0;0
289;Y;5;2;47;2;null;9537;0;22372;0;0;0
516;Y;6;1;20;2;null;3578;0;3648;0;0;0
503;Y;6;1;7;2;null;3578;0;2529;0;0;0
156;Y;2;8;23;2;null;5540;0;8673;0;0;0
856;N;8;19;0;1;null;0;0;0;0;0;9515
50;Y;1;15;25;2;null;5800;0;8699;27;0;0
600;Y;6;1;104;2;null;3578;0;8697;0;0;0
116;Y;1;38;28;2;null;9996;0;9094;0;0;0
789;N;6;10;4;2;null;9583;26;0;0;0;0
99;Y;1;38;11;2;null;9996;0;7000;0;0;0
700;Y;6;2;76;2;null;6000;0;7419;0;0;0
145;Y;2;8;12;2;null;5540;0;6515;0;0;0
83;N;1;33;0;1;null;5800;0;0;85;0;0
250;Y;5;2;8;2;null;9537;0;4223;0;0;0
618;Y;6;1;122;2;null;3578;0;23244;0;0;0
277;Y;5;2;35;2;null;9537;0;8676;0;0;0
760;Y;6;2;136;2;null;6000;0;21017;0;0;0
468;Y;5;13;8;2;null;9567;0;9131;0;0;0
641;Y;6;2;17;2;null;6000;0;3638;0;0;0
82;N;1;32;0;1;null;5800;0;0;82;0;0
315;N;5;2;73;2;null;9537;49;0;0;0;0
107;Y;1;38;19;2;null;9996;0;7951;0;0;0
242;N;5;2;0;1;null;0;0;0;0;0;0
