#per_code;is_brand;gen1;gen2;gen3;level;genre_type;org_code;sub_category;brand_name;filename
-1;N;9;0;0;0;1;0;0;0;
1;N;1;0;0;0;;0;0;0;
2;N;1;1;0;1;0;0;0;0;
3;N;1;2;0;1;;7315;7315007;0;
4;N;1;3;0;1;;7315;7315012;0;
5;N;1;4;0;1;;7315;7315017;0;
6;N;1;5;0;1;;7315;7315020;0;
7;N;1;6;0;1;;7315;7315023;0;
8;N;1;7;0;1;;7315;7315025;0;
9;N;1;8;0;1;;7315;7315026;0;
10;N;1;9;0;1;;7315;7315032;0;
11;N;1;10;0;1;;7315;7315033;0;
12;N;1;11;0;1;;7315;7315036;0;
13;N;1;12;0;1;;7315;7315043;0;
14;N;1;13;0;1;;7315;7315045;0;
15;N;1;14;0;1;;7315;7315048;0;
16;N;1;15;0;1;;7315;7315051;0;
17;N;1;16;0;1;;7315;7315060;0;
18;N;1;17;0;1;;7315;7315062;0;
19;N;1;18;0;1;;7315;7315069;0;
20;N;1;19;0;1;;7315;7315086;0;
21;N;1;20;0;1;;0;0;0;
22;N;1;20;1;2;0;0;0;0;
23;Y;1;20;2;2;;7315;7315145;Burger King;
24;Y;1;20;3;2;;7315;7315145;Domino's Pizza;Domino's Pizza
25;Y;1;20;4;2;;7315;7315145;Hungry Jack's;
26;Y;1;20;5;2;;7315;7315145;KFC;
27;Y;1;20;6;2;;7315;7315145;McDonald's;
28;Y;1;20;7;2;;7315;7315145;Nando's;Nando's
29;Y;1;20;8;2;;7315;7315145;Oporto;Oporto
30;Y;1;20;9;2;;7315;7315145;Pizza Hut;
31;Y;1;20;10;2;;7315;7315145;Red Rooster;
32;Y;1;20;11;2;;7315;7315145;SUBWAY;
33;N;1;20;12;2;;7315;0;0;
34;N;1;21;0;1;;9376;0;0;
34;N;1;21;0;1;;9376;9376004;0;
34;N;1;21;0;1;;9376;9376007;0;
34;N;1;21;0;1;;9376;9376006;0;
34;N;1;21;0;1;;9376;9376002;0;
35;N;1;22;0;1;;7315;7315001;0;
35;N;1;22;0;1;;9359;0;0;
36;N;2;0;0;0;;0;0;0;
37;Y;2;1;0;1;;9910;9910002;Lexus;
38;Y;2;2;0;1;;9910;9910002;Toyota;
39;Y;2;3;0;1;;7310;7310004;Lexus;
40;Y;2;4;0;1;;7310;7310004;Toyota;
41;N;2;5;0;1;;7309;0;0;
42;N;2;6;0;1;;0;0;0;
43;N;2;6;1;2;0;0;0;0;
44;N;2;6;2;2;;7310;7310002;0;
45;N;2;6;3;2;;7310;7310003;0;
46;N;2;6;4;2;;7310;7310004;0;
47;N;2;6;5;2;;7310;7310005;0;
48;N;2;6;6;2;;7310;7310006;0;
49;N;2;6;7;2;;7310;7310007;0;
50;N;2;6;8;2;;7310;7310008;0;
51;N;2;6;9;2;;7310;7310009;0;
52;N;2;6;10;2;;7310;0;0;
53;N;2;7;0;1;;0;0;0;
54;N;2;7;1;2;0;0;0;0;
55;Y;2;7;2;2;;7311;0;Woolworths;
56;Y;2;7;3;2;;7311;0;7-Eleven;7-Eleven
57;Y;2;7;4;2;;7311;0;Ampol;
58;Y;2;7;5;2;;7311;0;BP;BP
59;Y;2;7;6;2;;7311;0;Caltex;Caltex
60;Y;2;7;7;2;;7311;0;Challenge;
61;Y;2;7;8;2;;7311;0;Coles Express;Coles Express
62;Y;2;7;9;2;;7311;0;Freedom Fuels;Freedom Fuels
63;Y;2;7;10;2;;7311;0;Gasoline Alley Services;
64;Y;2;7;11;2;;7311;0;Gull;Gull
65;Y;2;7;12;2;;7311;0;Liberty;
66;Y;2;7;13;2;;7311;0;Matilda Fuels;Matilda Fuels
67;Y;2;7;14;2;;7311;0;Metro Petroleum;Metro Petroleum
68;Y;2;7;15;2;;7311;0;Mobil;Mobil
69;Y;2;7;16;2;;7311;0;Neumann Petroleum;Neumann Petroleum
70;Y;2;7;17;2;;7311;0;Shell;Shell
71;Y;2;7;18;2;;7311;0;United Petroleum;United Petroleum
72;Y;2;7;19;2;;7311;0;Z;Z
73;N;2;7;20;2;;7311;0;0;
74;N;2;8;0;1;;0;0;0;
75;N;2;8;1;2;0;0;0;0;
76;Y;2;8;2;2;;7312;0;Avis;Avis
77;Y;2;8;3;2;;7312;0;Budget;
78;Y;2;8;4;2;;7312;0;Europcar;
79;Y;2;8;5;2;;7312;0;Hertz;
80;Y;2;8;6;2;;7312;0;Thrifty;
81;N;2;8;7;2;;7312;0;0;
82;N;2;9;0;1;;7313;0;0;
83;N;2;10;0;1;;7369;0;0;
84;N;2;11;0;1;;9155;9155002;0;
84;N;2;11;0;1;;9155;9155003;0;
84;N;2;11;0;1;;9155;9155001;0;
85;N;2;12;0;1;;0;0;0;
86;N;2;12;1;2;0;0;0;0;
87;N;2;12;2;2;;9910;9910002;0;
88;N;2;12;3;2;;9910;9910003;0;
89;N;2;12;4;2;;9910;9910004;0;
90;N;2;12;5;2;;9910;9910005;0;
91;N;2;12;6;2;;9910;9910007;0;
92;N;2;12;7;2;;9910;0;0;
93;N;3;0;0;0;;0;0;0;
94;N;3;1;0;1;;7352;0;0;
95;N;3;2;0;1;;7380;0;0;
96;N;3;2;1;2;0;0;0;0;
97;N;3;2;2;2;;7380;7380003;0;
98;N;3;2;3;2;;7380;7380004;0;
99;N;3;2;4;2;;7380;7380005;0;
100;N;3;3;0;1;;0;0;0;
101;N;3;3;1;2;0;0;0;0;
102;N;3;3;2;2;;7383;7383002;0;
103;N;3;3;3;2;;7383;7383005;0;
104;N;3;3;4;2;;7383;7383002;0;
105;N;3;3;5;2;;7383;7302001;0;
106;N;3;4;0;1;;7395;0;0;
107;N;3;5;0;1;;7358;0;0;
108;N;3;6;0;1;;9942;0;0;
109;N;3;6;1;2;0;0;0;0;
110;N;3;6;2;2;;9942;9942002;0;
111;N;3;6;3;2;;9942;9942003;0;
112;N;3;6;4;2;;9942;9942004;0;
113;N;3;6;5;2;;9942;9942005;0;
114;N;3;7;0;1;;7359;7359002;0;
114;N;3;7;0;1;;0;0;0;
115;N;4;0;0;0;;0;0;0;
116;N;4;1;0;1;;0;0;0;
117;N;4;1;1;2;0;0;0;0;
118;N;4;1;2;2;;7302;7302002;0;
119;N;4;1;3;2;;7302;7302003;0;
120;N;4;1;4;2;;7302;7302004;0;
121;N;4;1;5;2;;7302;7302005;0;
122;N;4;1;6;2;;7302;7302001;0;
123;N;4;2;0;1;;0;0;0;
124;N;4;2;1;2;0;0;0;0;
125;N;4;2;2;2;;7304;7304002;0;
126;N;4;2;3;2;;7304;7304003;0;
127;N;4;2;4;2;;7304;7304005;0;
128;N;4;2;5;2;;7304;7304007;0;
129;N;4;2;6;2;;7304;7304008;0;
130;N;4;2;7;2;;7304;7304006;0;
131;N;4;2;8;2;;7304;7304004;0;
131;N;4;2;8;2;;7304;7304001;0;
132;N;4;3;0;1;;7360;0;0;
133;N;4;3;1;2;0;0;0;0;
134;Y;4;3;2;2;;7360;0;BIG4;
135;Y;4;3;3;2;;7360;0;Caravan Industry Assoc. WA;
136;Y;4;3;4;2;;7360;0;Family Parks;Family Parks
137;Y;4;3;5;2;;7360;0;Holiday Parks Association of New Zealand;Holiday Parks Association of New Zealand
138;Y;4;3;6;2;;7360;0;SA Caravan Parks Assoc.;SA Caravan Parks Assoc.
139;Y;4;3;7;2;;7360;0;TOP 10 Holiday Park;
140;Y;4;3;8;2;;7360;0;Top Tourist Parks;Top Tourist Parks
141;Y;4;3;9;2;;7360;0;Victorian Caravan Parks Association;
142;N;4;3;10;2;;7360;7360002;0;
142;N;4;3;10;2;;7360;7360003;0;
142;N;4;3;10;2;;7360;0;0;
143;N;4;4;0;1;;7314;0;0;
144;N;4;4;1;2;0;0;0;0;
145;N;4;4;2;2;;7314;7314002;0;
146;N;4;4;3;2;;7314;7314003;0;
147;N;4;4;4;2;;7314;7314004;0;
148;N;4;4;5;2;;7314;7314005;0;
149;N;4;4;6;2;;7314;7314006;0;
150;N;4;4;7;2;;7314;7314001;0;
151;N;4;5;0;1;;7316;0;0;
152;N;4;6;0;1;;7337;0;0;
153;N;4;7;0;1;;7376;0;0;
154;N;4;7;1;2;0;0;0;0;
155;N;4;7;2;2;;7376;7376001;0;
156;N;4;7;3;2;;7376;7376002;0;
157;N;4;7;4;2;;7376;7376003;0;
158;N;4;7;5;2;;7376;7376004;0;
159;N;4;7;6;2;;7376;7376005;0;
160;N;4;7;7;2;;7376;7376006;0;
161;N;4;7;8;2;;7376;7376007;0;
162;N;4;7;9;2;;7376;7376008;0;
163;N;4;7;10;2;;7376;7376009;0;
164;N;4;7;11;2;;7376;7376010;0;
165;N;4;7;12;2;;7376;7376011;0;
166;N;4;7;13;2;;7376;7376012;0;
167;N;4;7;14;2;;7376;7376013;0;
168;N;5;0;0;0;;0;0;0;
169;N;5;1;0;1;;7327;0;0;
170;N;5;2;0;1;;0;0;0;
171;N;5;2;1;2;0;0;0;0;
172;N;5;2;2;2;;0;0;0;
172;N;5;2;2;2;;7332;7332003;0;
172;N;5;2;2;2;;7332;7332001;0;
173;N;5;2;3;2;;7332;7332005;0;
174;N;5;2;4;2;;9361;9361018;0;
175;N;5;2;5;2;;9361;9361019;0;
176;N;5;2;6;2;;9361;9361020;0;
177;N;5;2;7;2;;9361;9361021;0;
178;N;5;2;8;2;;9361;9361022;0;
179;N;5;2;9;2;;9361;9361023;0;
180;N;5;2;10;2;;9361;9361024;0;
181;N;5;2;11;2;;9361;9361025;0;
182;N;5;2;12;2;;9361;9361060;0;
183;N;5;2;13;2;;7315;7315078;0;
184;N;5;3;0;1;;7373;0;0;
185;N;5;4;0;1;;0;0;0;
186;N;5;4;1;2;0;0;0;0;
187;N;5;4;2;2;;9361;9361005;0;
188;N;5;4;3;2;;9361;9361010;0;
189;N;5;4;4;2;;9361;9361027;0;
190;N;5;4;5;2;;9361;9361038;0;
191;N;5;4;6;2;;9361;9361044;0;
192;N;5;4;7;2;;9361;9361045;0;
193;N;5;4;8;2;;9361;9361048;0;
194;N;5;4;9;2;;9361;9361067;0;
195;N;5;4;10;2;;9361;9361015;0;
196;N;5;4;11;2;;9361;9361041;0;
197;N;5;5;0;1;;0;0;0;
198;N;5;5;1;2;0;0;0;0;
199;N;5;5;2;2;;9361;9361013;0;
200;N;5;5;3;2;;9361;9361014;0;
201;N;5;5;4;2;;9361;9361028;0;
202;N;5;5;5;2;;9361;9361029;0;
203;N;5;5;6;2;;9361;9361030;0;
204;N;5;5;7;2;;9361;9361031;0;
205;N;5;5;8;2;;9361;9361032;0;
206;N;5;5;9;2;;9361;9361033;0;
207;N;5;5;10;2;;9361;9361034;0;
208;N;5;5;11;2;;9361;9361035;0;
209;N;5;5;12;2;;9361;9361042;0;
210;N;5;5;13;2;;9361;9361054;0;
211;N;5;5;14;2;;9361;9361055;0;
212;N;5;5;15;2;;9361;9361069;0;
213;N;5;5;16;2;;9361;9361080;0;
214;N;5;6;0;1;;0;0;0;
215;N;5;6;1;2;0;0;0;0;
216;N;5;6;2;2;;9361;9361002;0;
217;N;5;6;3;2;;9361;9361003;0;
218;N;5;6;4;2;;9361;9361004;0;
219;N;5;6;5;2;;9361;9361006;0;
220;N;5;6;6;2;;9361;9361007;0;
221;N;5;6;7;2;;9361;9361008;0;
222;N;5;6;8;2;;9361;9361079;0;
223;N;5;6;9;2;;9361;9361009;0;
224;N;5;6;10;2;;9361;9361011;0;
225;N;5;6;11;2;;9361;9361012;0;
226;N;5;6;12;2;;9361;9361017;0;
227;N;5;6;13;2;;9361;9361026;0;
228;N;5;6;14;2;;9361;9361036;0;
229;N;5;6;15;2;;9361;9361037;0;
230;N;5;6;16;2;;9361;9361039;0;
231;N;5;6;17;2;;9361;9361040;0;
232;N;5;6;18;2;;9361;9361049;0;
233;N;5;6;19;2;;9361;9361050;0;
234;N;5;6;20;2;;9361;9361053;0;
235;N;5;6;21;2;;9361;9361057;0;
236;N;5;6;22;2;;9361;9361058;0;
237;N;5;6;23;2;;9361;9361059;0;
238;N;5;6;24;2;;9361;9361063;0;
239;N;5;6;25;2;;9361;9361064;0;
240;N;5;6;26;2;;9361;9361071;0;
241;N;5;6;27;2;;9361;9361072;0;
242;N;5;6;28;2;;9361;9361075;0;
243;N;5;6;29;2;;9361;9361078;0;
244;N;5;6;30;2;;9361;9361081;0;
245;N;5;6;31;2;;9361;9361082;0;
246;N;5;6;32;2;;9361;9361083;0;
247;N;5;6;33;2;;9361;9361076;0;
247;N;5;6;33;2;;9361;9361074;0;
247;N;5;6;33;2;;9361;9361001;0;
248;N;6;0;0;0;;0;0;0;
249;N;6;1;0;1;;7305;0;0;
250;N;6;2;0;1;;7317;0;0;
251;N;6;3;0;1;;7318;7318003;0;
251;N;6;3;0;1;;7318;7318008;0;
251;N;6;3;0;1;;7318;7318002;0;
251;N;6;3;0;1;;7318;7318007;0;
251;N;6;3;0;1;;7318;0;0;
251;N;6;3;0;1;;7318;7318005;0;
252;N;6;4;0;1;;0;0;0;
253;N;6;4;1;2;0;0;0;0;
254;N;6;4;2;2;;7320;7320004;0;
254;N;6;4;2;2;;7320;7320001;0;
255;N;6;4;3;2;;7320;7320002;0;
256;N;6;4;4;2;;7320;7302005;0;
257;N;6;4;5;2;;7320;7320005;0;
258;N;6;4;6;2;;7320;7320006;0;
259;N;6;4;7;2;;9369;0;0;
260;N;6;4;8;2;;7338;0;0;
261;N;6;4;9;2;;9371;0;0;
262;N;6;5;0;1;;7341;0;0;
263;N;6;6;0;1;;7342;0;0;
264;N;6;7;0;1;;7347;7347002;0;
264;N;6;7;0;1;;7347;7347001;0;
264;N;6;7;0;1;;7347;0;0;
264;N;6;7;0;1;;7347;7347003;0;
265;N;6;8;0;1;;7349;0;0;
266;N;6;9;0;1;;7374;0;0;
267;N;6;9;1;2;0;0;0;0;
268;N;6;9;2;2;;7374;7374001;0;
268;N;6;9;2;2;;7374;7374013;0;
268;N;6;9;2;2;;7374;7374008;0;
268;N;6;9;2;2;;7374;7374009;0;
269;N;6;9;3;2;;7374;7374002;0;
270;N;6;9;4;2;;7374;7374003;0;
271;N;6;9;5;2;;7374;7374004;0;
272;N;6;9;6;2;;7374;7374005;0;
273;N;6;9;7;2;;7374;7374006;0;
274;N;6;9;8;2;;7374;7374007;0;
275;N;6;9;9;2;;7374;7374010;0;
276;N;6;9;10;2;;7374;7374011;0;
277;N;6;9;11;2;;7374;7374012;0;
278;N;6;9;12;2;;7374;7374014;0;
279;N;6;10;0;1;;9357;0;0;
280;N;6;11;0;1;;9360;0;0;
281;N;6;12;0;1;;9362;0;0;
282;N;6;12;1;2;0;0;0;0;
283;N;6;12;2;2;;9362;9362004;0;
284;N;6;12;3;2;;9362;9362005;0;
285;N;6;12;4;2;;9362;9362006;0;
286;N;6;12;5;2;;9362;9362007;0;
287;N;6;12;6;2;;9362;9362008;0;
288;N;6;12;7;2;;9362;9362011;0;
289;N;6;12;8;2;;9362;9362013;0;
290;N;6;12;9;2;;9362;9362014;0;
291;N;6;12;10;2;;9362;9362015;0;
292;N;6;12;11;2;;9362;9362016;0;
293;N;6;12;12;2;;9362;9362017;0;
294;N;6;12;13;2;;9362;9362026;0;
295;N;6;12;14;2;;9362;9362004;0;
296;N;6;12;15;2;;9362;9362032;0;
297;N;6;12;16;2;;9362;9362033;0;
298;N;6;12;17;2;;9362;9362036;0;
299;N;6;12;18;2;;9362;9362001;0;
300;N;6;13;0;1;;9378;0;0;
301;N;6;13;1;2;0;0;0;0;
302;N;6;13;2;2;;9378;9378002;0;
303;N;6;13;3;2;;9378;9378003;0;
304;N;6;13;4;2;;9378;9378005;0;
305;N;6;13;5;2;;9378;9378006;0;
306;N;6;13;6;2;;9378;9378001;0;
307;N;6;14;0;1;;0;0;0;
308;N;6;14;1;2;0;0;0;0;
309;N;6;14;2;2;;9379;9379002;0;
310;N;6;14;3;2;;9379;9379004;0;
311;N;6;14;4;2;;9379;9379007;0;
312;N;6;14;5;2;;9379;0;0;
313;N;6;15;0;1;;9900;0;0;
314;N;6;16;0;1;;9902;9902004;0;
314;N;6;16;0;1;;9902;0;0;
314;N;6;16;0;1;;9902;9902003;0;
314;N;6;16;0;1;;9902;9902002;0;
315;N;6;17;0;1;;9911;0;0;
316;N;6;18;0;1;;0;0;0;
317;N;6;18;1;2;0;0;0;0;
318;N;6;18;2;2;;9927;9927003;0;
318;N;6;18;2;2;;9927;9927005;0;
319;N;6;18;3;2;;9927;9927004;0;
320;N;6;18;4;2;;9927;0;0;
321;N;6;19;0;1;;9927;9927002;0;
322;N;7;0;0;0;;0;0;0;
323;N;7;1;0;1;;7303;7303002;0;
323;N;7;1;0;1;;7303;0;0;
323;N;7;1;0;1;;7303;7303004;0;
323;N;7;1;0;1;;7303;7303006;0;
323;N;7;1;0;1;;7303;7303003;0;
