#per_code;is_brand;gen1;gen2;gen3;level;genre_type;org_code;sub_category;brand_name;filename
-1;N;9;0;0;0;1;0;0;0;
1;N;1;0;0;0;;0;0;0;
2;N;1;1;0;1;0;0;0;0;
3;N;1;2;0;1;;7315;7315007;0;
4;N;1;3;0;1;;7315;7315012;0;
5;N;1;4;0;1;;7315;0;0;
6;N;1;4;1;2;0;0;0;0;
7;Y;1;4;2;2;;7315;7315015;Barcelos;
8;Y;1;4;3;2;;7315;7315015;Bimbo's;
9;Y;1;4;4;2;;7315;7315015;Chicken Licken;
10;Y;1;4;5;2;;7315;7315015;Debonairs;
11;Y;1;4;6;2;;7315;7315015;FishAways;
12;Y;1;4;7;2;;7315;7315015;Hungry Lion;
13;Y;1;4;8;2;;7315;7315015;KFC;
14;Y;1;4;9;2;;7315;7315015;King Pie;
15;Y;1;4;10;2;;7315;7315015;London Pie Co.;
16;Y;1;4;11;2;;7315;7315015;McDonald's;
17;Y;1;4;12;2;;7315;7315015;Mochachos Chicken Villages;
18;Y;1;4;13;2;;7315;7315015;Nando's;Nando's
19;Y;1;4;14;2;;7315;7315015;Pie City;
20;Y;1;4;15;2;;7315;7315015;Scooters Pizza;
21;Y;1;4;16;2;;7315;7315015;Something Fishy;
22;Y;1;4;17;2;;7315;7315015;Steers;
23;Y;1;4;18;2;;7315;7315015;Wimpy;
24;N;1;4;19;2;;7315;7315015;0;
25;N;1;5;0;1;;7315;7315020;0;
26;N;1;6;0;1;;7315;7315025;0;
27;N;1;7;0;1;;7315;7315036;0;
28;N;1;8;0;1;;7315;7315039;0;
29;N;1;9;0;1;;7315;7315042;0;
30;N;1;10;0;1;;7315;7315043;0;
31;N;1;11;0;1;;7315;7315045;0;
32;N;1;12;0;1;;7315;7315073;0;
33;N;1;13;0;1;;9376;0;0;
34;N;1;14;0;1;;9376;9376003;0;
35;N;1;15;0;1;;7315;7315001;0;
36;N;2;0;0;0;;0;0;0;
37;Y;2;1;0;1;;9910;0;Lexus;
38;Y;2;2;0;1;;9910;0;Toyota;
39;Y;2;3;0;1;;7310;0;Lexus;
40;Y;2;4;0;1;;7310;0;Toyota;
41;N;2;5;0;1;;9155;0;0;
42;N;2;6;0;1;;7369;0;0;
43;N;2;7;0;1;;7313;0;0;
44;N;2;8;0;1;;0;0;0;
45;N;2;8;1;2;0;0;0;0;
46;Y;2;8;2;2;;7311;0;BP;BP
47;Y;2;8;3;2;;7311;0;Caltex;Caltex
48;Y;2;8;4;2;;7311;0;Engen;
49;Y;2;8;5;2;;7311;0;Exel;
50;Y;2;8;6;2;;7311;0;Galp;
51;Y;2;8;7;2;;7311;0;Petromoc;
52;Y;2;8;8;2;;7311;0;Puma;
53;Y;2;8;9;2;;7311;0;Sasol;
54;Y;2;8;10;2;;7311;0;Shell;Shell
55;Y;2;8;11;2;;7311;0;Total;
56;Y;2;8;12;2;;7311;0;Zenex;
57;N;2;8;13;2;;7311;0;0;
58;N;2;9;0;1;;0;0;0;
59;N;2;9;1;2;0;0;0;0;
60;Y;2;9;2;2;;7312;0;Avis;Avis
61;Y;2;9;3;2;;7312;0;Budget;
62;Y;2;9;4;2;;7312;0;Europcar;
63;Y;2;9;5;2;;7312;0;Hertz;
64;N;2;9;6;2;;7312;0;0;
65;N;2;10;0;1;;7310;0;0;
66;N;2;10;1;2;0;0;0;0;
67;N;2;10;2;2;;7310;7310002;0;
68;N;2;10;3;2;;7310;7310008;0;
69;N;2;10;4;2;;7310;7310003;0;
70;N;2;10;5;2;;7310;7310006;0;
71;N;2;10;6;2;;7310;7310007;0;
72;N;2;10;7;2;;7310;7310005;0;
73;N;3;0;0;0;;0;0;0;
74;N;3;1;0;1;;7389;0;0;
75;N;3;1;1;2;0;0;0;0;
76;N;3;1;2;2;;7389;7389004;0;
77;N;3;1;3;2;;7389;7389002;0;
78;N;3;1;4;2;;7389;7389001;0;
79;N;3;2;0;1;;7383;0;0;
80;N;3;3;0;1;;7352;0;0;
81;N;3;4;0;1;;7366;0;0;
82;N;3;5;0;1;;7308;0;0;
83;N;3;6;0;1;;9942;0;0;
84;N;3;6;1;2;0;0;0;0;
85;N;3;6;2;2;;9942;9942002;0;
86;N;3;6;3;2;;9942;9942003;0;
87;N;3;7;0;1;;7380;0;0;
88;N;3;8;0;1;;7395;0;0;
89;N;3;9;0;1;;7375;0;0;
90;N;3;10;0;1;;7358;0;0;
91;N;3;11;0;1;;7359;0;0;
92;N;4;0;0;0;;0;0;0;
93;N;4;1;0;1;;0;0;0;
94;N;4;1;1;2;0;0;0;0;
95;N;4;1;2;2;;7314;7314002;0;
96;N;4;1;3;2;;7314;7314004;0;
97;N;4;1;4;2;;7314;7314003;0;
98;N;4;1;5;2;;7314;7314006;0;
99;N;4;1;6;2;;7314;7314007;0;
100;N;4;1;7;2;;7314;7314008;0;
101;N;4;1;8;2;;7314;7314005;0;
102;N;4;1;9;2;;7303;0;0;
102;N;4;1;9;2;;7304;0;0;
102;N;4;1;9;2;;7314;0;0;
103;N;4;2;0;1;;7376;0;0;
104;N;4;2;1;2;0;0;0;0;
105;N;4;2;2;2;;7376;7376010;0;
106;N;4;2;3;2;;7376;7376004;0;
107;N;4;2;4;2;;7376;7376007;0;
108;N;4;2;5;2;;7376;7376003;0;
109;N;4;2;6;2;;7376;7376002;0;
110;N;4;2;7;2;;7376;7376006;0;
111;N;4;2;8;2;;7376;7376008;0;
112;N;4;2;9;2;;7376;7376009;0;
113;N;4;2;10;2;;7376;7376011;0;
114;N;4;2;11;2;;7376;7376013;0;
115;N;4;2;12;2;;7376;7376014;0;
116;N;4;2;13;2;;7376;7376005;0;
117;N;4;2;14;2;;7376;7376001;0;
118;N;4;3;0;1;;9362;0;0;
119;N;4;3;1;2;0;0;0;0;
120;N;4;3;2;2;;9362;9362013;0;
121;N;4;3;3;2;;9362;9362010;0;
122;N;4;3;4;2;;9362;9362009;0;
123;N;4;3;5;2;;9362;9362008;0;
124;N;4;3;6;2;;9362;9362015;0;
125;N;4;3;7;2;;9362;9362032;0;
126;N;4;3;8;2;;9362;9362004;0;
127;N;4;3;9;2;;9362;9362033;0;
128;N;4;3;10;2;;9362;9362016;0;
129;N;4;3;11;2;;9362;9362004;0;
130;N;4;3;12;2;;9362;9362014;0;
131;N;4;3;13;2;;9362;9362003;0;
132;N;4;3;14;2;;9362;9362002;0;
133;N;4;3;15;2;;9362;9362006;0;
134;N;4;3;16;2;;9362;9362007;0;
135;N;4;3;17;2;;9362;9362001;0;
136;N;4;4;0;1;;7337;0;0;
137;N;4;5;0;1;;7316;0;0;
138;N;4;6;0;1;;7302;0;0;
139;N;5;0;0;0;;0;0;0;
140;N;5;1;0;1;;7327;0;0;
141;N;5;2;0;1;;0;0;0;
142;N;5;2;1;2;0;0;0;0;
143;Y;5;2;2;2;;7332;0;Boxer Superstore;
144;Y;5;2;3;2;;7332;0;Buy Rite;
145;Y;5;2;4;2;;7332;0;Checkers;
146;Y;5;2;5;2;;7332;0;Choppies;
147;Y;5;2;6;2;;7332;0;Food Zone;
148;Y;5;2;7;2;;7332;0;Friendly 7 Eleven;
149;Y;5;2;8;2;;7332;0;Friendly Supermarket;
150;Y;5;2;9;2;;7332;0;Kwik Spar;
151;Y;5;2;10;2;;7332;0;Multisave;
152;Y;5;2;11;2;;7332;0;OK;
153;Y;5;2;12;2;;7332;0;Pick 'n Pay;
154;Y;5;2;13;2;;7332;0;Score;
155;Y;5;2;14;2;;7332;0;Shoprite;
156;Y;5;2;15;2;;7332;0;SPAR;
157;Y;5;2;16;2;;7332;0;Super Spar;
158;Y;5;2;17;2;;7332;0;Woolworths Food;
159;N;5;2;18;2;;7332;0;0;
160;N;5;3;0;1;;9361;0;0;
161;N;5;3;1;2;0;0;0;0;
162;N;5;3;2;2;;9361;9361040;0;
163;N;5;3;3;2;;9361;9361047;0;
164;N;5;3;4;2;;9361;9361046;0;
165;N;5;3;5;2;;9361;9361045;0;
166;N;5;3;6;2;;9361;9361044;0;
167;N;5;3;7;2;;9361;9361078;0;
168;N;5;3;8;2;;9361;9361080;0;
169;N;5;3;9;2;;9361;9361043;0;
170;N;5;3;10;2;;9361;9361042;0;
171;N;5;3;11;2;;9361;9361053;0;
172;N;5;3;12;2;;9361;9361083;0;
173;N;5;3;13;2;;9361;9361075;0;
174;N;5;3;14;2;;9361;9361039;0;
175;N;5;3;15;2;;9361;9361038;0;
176;N;5;3;16;2;;9361;9361037;0;
177;N;5;3;17;2;;9361;9361036;0;
178;N;5;3;18;2;;9361;9361035;0;
179;N;5;3;19;2;;9361;9361034;0;
180;N;5;3;20;2;;9361;9361041;0;
181;N;5;3;21;2;;9361;9361050;0;
182;N;5;3;22;2;;9361;9361020;0;
183;N;5;3;23;2;;9361;9361054;0;
184;N;5;3;24;2;;9361;9361055;0;
185;N;5;3;25;2;;9361;9361056;0;
186;N;5;3;26;2;;9361;9361057;0;
187;N;5;3;27;2;;9361;9361059;0;
188;N;5;3;28;2;;9361;9361060;0;
189;N;5;3;29;2;;9361;9361048;0;
190;N;5;3;30;2;;9361;9361063;0;
191;N;5;3;31;2;;9361;9361049;0;
192;N;5;3;32;2;;9361;9361064;0;
193;N;5;3;33;2;;9361;9361066;0;
194;N;5;3;34;2;;9361;9361067;0;
195;N;5;3;35;2;;9361;9361069;0;
196;N;5;3;36;2;;9361;9361070;0;
197;N;5;3;37;2;;9361;9361072;0;
198;N;5;3;38;2;;9361;9361073;0;
199;N;5;3;39;2;;9361;9361033;0;
200;N;5;3;40;2;;9361;9361061;0;
201;N;5;3;41;2;;9361;9361010;0;
202;N;5;3;42;2;;9361;9361023;0;
203;N;5;3;43;2;;9361;9361032;0;
204;N;5;3;44;2;;9361;9361002;0;
205;N;5;3;45;2;;9361;9361003;0;
206;N;5;3;46;2;;9361;9361005;0;
207;N;5;3;47;2;;9361;9361009;0;
208;N;5;3;48;2;;9361;9361011;0;
209;N;5;3;49;2;;9361;9361012;0;
210;N;5;3;50;2;;9361;9361013;0;
211;N;5;3;51;2;;9361;9361014;0;
212;N;5;3;52;2;;9361;9361015;0;
213;N;5;3;53;2;;9361;9361016;0;
214;N;5;3;54;2;;9361;9361026;0;
215;N;5;3;55;2;;9361;9361006;0;
216;N;5;3;56;2;;9361;9361017;0;
217;N;5;3;57;2;;9361;9361028;0;
218;N;5;3;58;2;;9361;9361029;0;
219;N;5;3;59;2;;9361;9361030;0;
220;N;5;3;60;2;;9361;9361025;0;
221;N;5;3;61;2;;9361;9361024;0;
222;N;5;3;62;2;;9361;9361022;0;
223;N;5;3;63;2;;9361;9361019;0;
224;N;5;3;64;2;;9361;9361018;0;
225;N;5;3;65;2;;9361;9361027;0;
226;N;5;3;66;2;;9361;9361001;0;
227;N;5;4;0;1;;7373;0;0;
228;N;6;0;0;0;;0;0;0;
229;N;6;1;0;1;;9902;0;0;
230;N;6;2;0;1;;9357;0;0;
231;N;6;3;0;1;;7360;0;0;
232;N;6;4;0;1;;7341;0;0;
233;N;6;5;0;1;;7342;0;0;
234;N;6;6;0;1;;9900;0;0;
235;N;6;7;0;1;;9911;0;0;
236;N;6;8;0;1;;9371;0;0;
236;N;6;8;0;1;;9378;0;0;
236;N;6;8;0;1;;9360;0;0;
237;N;6;9;0;1;;7347;0;0;
238;N;6;10;0;1;;9935;0;0;
239;N;6;11;0;1;;7317;0;0;
240;N;6;12;0;1;;9379;0;0;
241;N;6;13;0;1;;7320;0;0;
242;N;6;13;1;2;0;0;0;0;
243;N;6;13;2;2;;7320;7320002;0;
244;N;6;13;3;2;;7320;7320004;0;
245;N;6;13;4;2;;7320;7320001;0;
246;N;6;14;0;1;;7374;0;0;
247;N;6;14;1;2;0;0;0;0;
248;N;6;14;2;2;;7374;7374014;0;
249;N;6;14;3;2;;7374;7374012;0;
250;N;6;14;4;2;;7374;7374009;0;
251;N;6;14;5;2;;7374;7374007;0;
252;N;6;14;6;2;;7374;7374006;0;
253;N;6;14;7;2;;7374;7374005;0;
254;N;6;14;8;2;;7374;7374004;0;
255;N;6;14;9;2;;7374;7374003;0;
256;N;6;14;10;2;;7374;7374002;0;
257;N;6;14;11;2;;7374;7374011;0;
258;N;6;14;12;2;;7374;7374001;0;
259;N;6;15;0;1;;7338;0;0;
260;N;6;16;0;1;;9369;0;0;
261;N;6;17;0;1;;7318;0;0;
262;N;6;18;0;1;;7349;0;0;
263;N;6;19;0;1;;9927;0;0;
264;N;6;20;0;1;;9927;9927002;0;
265;N;7;0;0;0;;0;0;0;
266;N;7;1;0;1;;0;0;0;
267;N;7;1;1;2;0;0;0;0;
268;Y;7;1;2;2;;7328;0;ABSA;
269;Y;7;1;3;2;;7328;0;Bank Windhoek;
270;Y;7;1;4;2;;7328;0;Barclays Bank;
271;Y;7;1;5;2;;7328;0;BCI;
272;Y;7;1;6;2;;7328;0;Capitec Bank;
273;Y;7;1;7;2;;7328;0;FNB;
274;Y;7;1;8;2;;7328;0;Millennium Bim;
275;Y;7;1;9;2;;7328;0;Nedbank;
276;Y;7;1;10;2;;7328;0;Standard Bank;
277;Y;7;1;11;2;;7328;0;Standard Chartered Bank;
278;N;7;1;12;2;;7328;0;0;
279;N;7;2;0;1;;0;0;0;
280;N;7;2;1;2;0;0;0;0;
281;Y;7;2;2;2;;7397;0;ABSA;
282;Y;7;2;3;2;;7397;0;Bank Windhoek;
283;Y;7;2;4;2;;7397;0;Barclays Bank;
284;Y;7;2;5;2;;7397;0;BCI;
285;Y;7;2;6;2;;7397;0;Capitec Bank;
286;Y;7;2;7;2;;7397;0;Cash Express ATM;
287;Y;7;2;8;2;;7397;0;FNB;
288;Y;7;2;9;2;;7397;0;Millennium Bim ATM;
289;Y;7;2;10;2;;7397;0;Nedbank;
290;Y;7;2;11;2;;7397;0;Stanbic Bank;
291;Y;7;2;12;2;;7397;0;Standard Bank;
292;N;7;2;13;2;;7397;0;0;
293;N;7;3;0;1;;9374;0;0;
294;N;7;4;0;1;;9373;0;0;
295;N;7;5;0;1;;7365;0;0;
296;N;7;6;0;1;;7391;0;0;
297;N;7;7;0;1;;7392;0;0;
298;N;7;8;0;1;;7367;0;0;
299;N;7;9;0;1;;9663;0;0;
300;N;7;10;0;1;;7321;0;0;
301;N;7;11;0;1;;9913;0;0;
302;N;7;12;0;1;;0;0;0;
303;N;7;12;1;2;0;0;0;0;
304;Y;7;12;2;2;;7326;0;Alpha Pharm;
305;Y;7;12;3;2;;7326;0;Clicks;
306;Y;7;12;4;2;;7326;0;DisChem;
307;Y;7;12;5;2;;7326;0;Discom;
308;Y;7;12;6;2;;7326;0;Link;
309;Y;7;12;7;2;;7326;0;Multicare;
310;Y;7;12;8;2;;7326;0;Netcare;
311;N;7;12;9;2;;7326;0;0;
312;N;7;13;0;1;;7322;0;0;
313;N;7;14;0;1;;7324;0;0;
314;N;7;15;0;1;;9150;0;0;
315;N;7;16;0;1;;9932;9932005;0;
316;N;7;17;0;1;;9932;9932004;0;
317;N;7;18;0;1;;7372;0;0;
318;N;7;18;1;2;0;0;0;0;
319;N;7;18;2;2;;7372;7372004;0;
320;N;7;18;3;2;;7372;7372005;0;
321;N;7;18;4;2;;7372;7372006;0;
322;N;7;18;5;2;;7377;0;0;
323;N;7;18;6;2;;7372;7372012;0;
324;N;7;18;7;2;;7372;7372015;0;
325;N;7;18;8;2;;7372;7372016;0;
326;N;7;18;9;2;;7372;7372013;0;
327;N;7;18;10;2;;7372;7372009;0;
328;N;7;18;11;2;;7372;7372008;0;
329;N;7;18;12;2;;7372;7372002;0;
330;N;7;19;0;1;;7339;0;0;
331;N;7;19;1;2;0;0;0;0;
332;N;7;19;2;2;;7339;7339002;0;
333;N;7;19;3;2;;7339;7339005;0;
334;N;7;19;4;2;;7339;7339004;0;
335;N;7;19;5;2;;7339;7339003;0;
336;N;7;19;6;2;;7339;7339001;0;
337;N;7;20;0;1;;9152;0;0;
337;N;7;20;0;1;;9151;0;0;
337;N;7;20;0;1;;9375;0;0;
337;N;7;20;0;1;;9160;0;0;
337;N;7;20;0;1;;9937;0;0;
337;N;7;20;0;1;;9153;0;0;
337;N;7;20;0;1;;9154;0;0;
337;N;7;20;0;1;;9932;9932002;0;
337;N;7;20;0;1;;7363;0;0;
337;N;7;20;0;1;;9363;0;0;
337;N;7;20;0;1;;9377;0;0;
338;N;8;0;0;0;;0;0;0;
339;N;8;1;0;1;;7335;0;0;
340;N;8;2;0;1;;7378;0;0;
341;N;8;3;0;1;;7379;0;0;
342;N;8;4;0;1;;9382;0;0;
343;N;8;5;0;1;;9352;0;0;
344;N;8;5;1;2;0;0;0;0;
345;N;8;5;2;2;;9352;9352038;0;
346;N;8;5;3;2;;9352;9352008;0;
347;N;8;5;4;2;;9352;9352023;0;
348;N;8;5;5;2;;9352;9352015;0;
