#per_code;is_brand;gen1;gen2;gen3;level;code_name;genre_type;org_code;series;poi_name;filename
-1;N;9;0;0;0;Dummy;1;0;;;
1;N;1;0;0;0;餐廳;;0;;;
2;N;1;1;0;1;中餐餐廳;;0;;;
3;N;1;1;1;2;所有中餐餐廳;0;0;;;
4;N;1;1;2;2;甘泉魚麵;;306500;甘泉魚麵;;TWCP05401A_16A.bmp
5;N;1;1;3;2;五花馬水餃館;;306500;五花馬水餃館;;TWLG00301A_16A.bmp
6;N;1;1;4;2;四海遊龍鍋貼專賣店;;306500;四海遊龍鍋貼專賣店;;TWLG00301A_16A.bmp
7;N;1;1;5;2;春水堂;;306500;春水堂;;TWLG00301A_16A.bmp
8;N;1;1;6;2;大呼過癮;;306500;大呼過癮;;TWLG00301A_16A.bmp
9;N;1;1;7;2;帝王食補紅面薑母鴨;;306500;帝王食補紅面薑母鴨;;TWLG00301A_16A.bmp
10;N;1;1;8;2;田媽媽;;306500;田媽媽;;TWLG00301A_16A.bmp
11;N;1;1;9;2;八方雲集;;306500;八方雲集;;TWLG00301A_16A.bmp
12;N;1;1;10;2;老先覺麻辣窯燒鍋;;306500;老先覺麻辣窯燒鍋;;TWLG00301A_16A.bmp
13;N;1;1;11;2;繼光香香雞;;306500;繼光香香雞;;TWLG00301A_16A.bmp
14;N;1;1;12;2;其它中餐餐廳;;306500;;;TWLG00301A_16A.bmp
15;N;1;2;0;1;家庭餐廳;;0;;;
16;N;1;2;1;2;所有家庭餐廳;0;0;;;
17;N;1;2;2;2;ＡＰＰＬＥ２０３;;306600;ＡＰＰＬＥ２０３;;TWLG00201A_16A.bmp
18;N;1;2;3;2;家禾弁當;;306600;家禾弁當;;TWCP10201A_16A.bmp
19;N;1;2;4;2;吉野家;;306600;吉野家;;TWCP05501A_16A.bmp
20;N;1;2;5;2;悟饕池上飯包;;306600;悟饕池上飯包;;TWLG00201A_16A.bmp
21;N;1;2;6;2;合浦刀切麵食連鎖;;306600;合浦刀切麵食連鎖;;TWLG00201A_16A.bmp
22;N;1;2;7;2;三商巧福;;306600;三商巧福;;TWCP07301A_16A.bmp
23;N;1;2;8;2;太師傅中式便當專賣;;306600;太師傅中式便當專賣;;TWLG00201A_16A.bmp
24;N;1;2;9;2;拉亞漢堡;;306600;拉亞漢堡;;TWLG00201A_16A.bmp
25;N;1;2;10;2;晨間廚房;;306600;晨間廚房;;TWLG00201A_16A.bmp
26;N;1;2;11;2;鬍鬚張;;306600;鬍鬚張;;TWCP07601A_16A.bmp
27;N;1;2;12;2;其它家庭餐廳;;306600;;;TWLG00201A_16A.bmp
28;N;1;3;0;1;速食店;;0;;;
29;N;1;3;1;2;所有速食店;0;0;;;
30;N;1;3;2;2;２１世紀風味館;;306700;２１世紀風味館;;TWLG00101A_16A.bmp
31;N;1;3;3;2;肯德基;;306700;肯德基;;TWCP00102A_16A.bmp
32;N;1;3;4;2;達美樂披薩;;306700;達美樂披薩;;TWCP12401A_16A.bmp
33;N;1;3;5;2;丹丹漢堡;;306700;丹丹漢堡;;TWLG00101A_16A.bmp
34;N;1;3;6;2;頂呱呱;;306700;頂呱呱;;TWCP05701A_16A.bmp
35;N;1;3;7;2;必勝客披薩;;306700;必勝客披薩;;TWCP10701A_16A.bmp
36;N;1;3;8;2;摩斯漢堡;;306700;摩斯漢堡;;TWLG00101A_16A.bmp
37;N;1;3;9;2;拿坡里披薩;;306700;拿坡里披薩;;TWCP05601A_16A.bmp
38;N;1;3;10;2;麥當勞;;306700;麥當勞;;TWCP02401A_16A.bmp
39;N;1;3;11;2;其它速食店;;306700;;;TWLG00101A_16A.bmp
40;N;1;4;0;1;異國餐廳;;0;;;
41;N;1;4;1;2;所有異國餐廳;0;0;;;
42;N;1;4;2;2;Ｈａａｇｅｎ－Ｄａｚｓ;;307500;Ｈａａｇｅｎ－Ｄａｚｓ;;TWCP12301A_16A.bmp
43;N;1;4;3;2;ｎｕ　ＰＡＳＴＡ杯杯麵;;307500;ｎｕ　ＰＡＳＴＡ杯杯麵;;TWLG00201A_16A.bmp
44;N;1;4;4;2;Ｏ２　Ｂｒｕｎｃｈ歐圖早午餐廚房;;307500;Ｏ２　Ｂｒｕｎｃｈ歐圖早午餐廚房;;TWLG00201A_16A.bmp
45;N;1;4;5;2;ＰＵＢ．ＣＬＵＢ;;307500;ＰＵＢ．ＣＬＵＢ;;TWLG00201A_16A.bmp
46;N;1;4;6;2;ＳＵＢＷＡＹ;;307500;ＳＵＢＷＡＹ;;TWCP07902A_16A.bmp
47;N;1;4;7;2;火鍋世家;;307500;火鍋世家;;TWLG00201A_16A.bmp
48;N;1;4;8;2;我家牛排;;307500;我家牛排;;TWCP08301A_16A.bmp
49;N;1;4;9;2;瓦城泰國料理;;307500;瓦城泰國料理;;TWLG00201A_16A.bmp
50;N;1;4;10;2;貴族世家牛排;;307500;貴族世家牛排;;TWCP08501A_16A.bmp
51;N;1;4;11;2;西堤牛排;;307500;西堤牛排;;TWCP11001A_16A.bmp
52;N;1;4;12;2;石二鍋;;307500;石二鍋;;TWCP11701A_16A.bmp
53;N;1;4;13;2;千葉火鍋;;307500;千葉火鍋;;TWLG00201A_16A.bmp
54;N;1;4;14;2;太將鍋;;307500;太將鍋;;TWLG00201A_16A.bmp
55;N;1;4;15;2;陶板屋新和風料理;;307500;陶板屋新和風料理;;TWCP11101A_16A.bmp
56;N;1;4;16;2;福勝亭;;307500;福勝亭;;TWLG00201A_16A.bmp
57;N;1;4;17;2;野宴日式炭火燒肉;;307500;野宴日式炭火燒肉;;TWCP06001A_16A.bmp
58;N;1;4;18;2;爭鮮迴轉壽司;;307500;爭鮮迴轉壽司;;TWCP10302A_16A.bmp
59;N;1;4;19;2;聚北海道昆布鍋;;307500;聚北海道昆布鍋;;TWCP11301A_16A.bmp
60;N;1;4;20;2;錢都日式涮涮鍋;;307500;錢都日式涮涮鍋;;TWLG00201A_16A.bmp
61;N;1;4;21;2;鯊魚咬土司;;307500;鯊魚咬土司;;TWLG00201A_16A.bmp
62;N;1;4;22;2;綠蓋茶．館;;307500;綠蓋茶．館;;TWLG00201A_16A.bmp
63;N;1;4;23;2;其它異國餐廳;;307500;;;TWLG00201A_16A.bmp
64;N;1;5;0;1;咖啡專賣店;;0;;;
65;N;1;5;1;2;所有咖啡專賣店;0;0;;;
66;N;1;5;2;2;８５度Ｃ咖啡;;309200;８５度Ｃ咖啡;;TWCP02501A_16A.bmp
67;N;1;5;3;2;ｃａｍａ　ｃａｆｅ;;309200;ｃａｍａ　ｃａｆｅ;;TWLG00401A_16A.bmp
68;N;1;5;4;2;Ｄｏｎｕｔｅｓ;;309200;Ｄｏｎｕｔｅｓ;;TWLG00401A_16A.bmp
69;N;1;5;5;2;ＬＯＵＩＳＡ　ＣＯＦＦＥＥ;;309200;ＬＯＵＩＳＡ　ＣＯＦＦＥＥ;;TWLG00401A_16A.bmp
70;N;1;5;6;2;ＳＴＡＲＢＵＣＫＳ咖啡;;309200;ＳＴＡＲＢＵＣＫＳ咖啡;;TWLG00401A_16A.bmp
71;N;1;5;7;2;丹堤咖啡;;309200;丹堤咖啡;;TWCP00301A_16A.bmp
72;N;1;5;8;2;伯朗咖啡館;;309200;伯朗咖啡館;;TWCP08201A_16A.bmp
73;N;1;5;9;2;壹咖啡;;309200;壹咖啡;;TWCP08701A_16A.bmp
74;N;1;5;10;2;怡客研磨咖啡;;309200;怡客研磨咖啡;;TWCP06301A_16A.bmp
75;N;1;5;11;2;其它咖啡專賣店;;309200;;;TWLG00401A_16A.bmp
76;N;1;6;0;1;小吃特產;;314200;;;TWLG09401A_16A.bmp
77;N;2;0;0;0;汽車;;0;;;
78;N;2;1;0;1;LEXUS經銷商;;0;;;
79;N;2;2;0;1;TOYOTA經銷商;;0;;;
80;N;2;3;0;1;LEXUS維修商;;306400;ＬＥＸＵＳ;;TWLG01901A_16A.bmp
81;N;2;4;0;1;TOYOTA維修商;;306400;ＴＯＹＯＴＡ;;TWLG01901A_16A.bmp
82;N;2;5;0;1;加油站;;306900;;;TWLG01601A_16A.bmp
83;N;2;6;0;1;２４小時加油站;;0;;;
84;N;2;6;1;2;所有２４小時加油站;0;0;;;
85;N;2;6;2;2;全國加油站;;308400;全國加油站;;TWCP01901A_16A.bmp
86;N;2;6;3;2;台塑加油站;;308400;台塑加油站;;TWCP01801A_16A.bmp
87;N;2;6;4;2;台灣中油;;308400;台灣中油;;TWCP02001A_16A.bmp
88;N;2;6;5;2;統一精工加油站;;308400;統一精工加油站;;TWCP05901A_16A.bmp
89;N;2;6;6;2;其它２４小時加油站;;308400;;;TWLG02001A_16A.bmp
90;N;2;7;0;1;加氣站;;309500;;;TWLG09901A_16A.bmp
91;N;2;8;0;1;２４小時加氣站;;309600;;;TWLG10001A_16A.bmp
92;N;2;9;0;1;停車場;;321300;;;TWLG01701A_16A.bmp
93;N;3;0;0;0;交通;;0;;;
94;N;3;1;0;1;機場;;320100;;;TWLG06001A_16A.bmp
95;N;3;2;0;1;渡輪站;;320200;;;TWLG05901A_16A.bmp
96;N;3;3;0;1;客運總站;;0;;;
97;N;3;3;1;2;所有客運總站;0;0;;;
98;N;3;3;2;2;統聯客運;;320300;統聯客運;;TWLG06301A_16A.bmp
99;N;3;3;3;2;日統國道客運;;320300;日統國道客運;;TWLG06301A_16A.bmp
100;N;3;3;4;2;國光客運;;320300;國光客運;;TWLG06301A_16A.bmp
101;N;3;3;5;2;其它客運總站;;320300;;;TWLG06301A_16A.bmp
102;N;3;4;0;1;火車站;;320800;;;TWLG05801A_16A.bmp
103;N;3;5;0;1;捷運站;;0;;;
104;N;3;5;1;2;所有捷運站;0;0;;;
105;N;3;5;2;2;橘線;;320900;橘線;;TWCP06701A_16A.bmp
106;N;3;5;3;2;紅線;;320900;紅線;;TWCP06701A_16A.bmp
107;N;3;5;4;2;松山線;;320900;松山線;;TWLG06401A_16A.bmp
108;N;3;5;5;2;信義線;;320900;信義線;;TWLG06401A_16A.bmp
109;N;3;5;6;2;淡水－新店線;;320900;淡水－新店線;;TWLG06401A_16A.bmp
110;N;3;5;7;2;中和新蘆線;;320900;中和新蘆線;;TWLG06401A_16A.bmp
