#genre_id;name_id;name_type;name_lang;name;tr_lang;tr_name;ph_flag;phoneme_id
410;306;ON;UKE;Real Estate Agents;;;;
181;185;ON;UKE;Khadi Gramodyog;;;;
313;212;ON;UKE;Markets/Mandis-sabzi mandi, fish mandi etc;;;;
218;250;ON;UKE;Onida;;;;
127;62;ON;UKE;Blue Dart DHL;;;;
252;348;ON;UKE;Spice;;;;
170;151;ON;UKE;Hidesign;;;;
195;204;ON;UKE;Lifestyle;;;;
59;113;ON;UKE;Electric vehicle charging station;;;;
368;119;ON;UKE;Eye hospitals;;;;
386;92;ON;UKE;Commercial complexes/Buildings;;;;
366;24;ON;UKE;All speciality hospitals;;;;
217;249;ON;UKE;One Mobile;;;;
187;193;ON;UKE;Lakme;;;;
233;305;ON;UKE;Raymond;;;;
124;57;ON;UKE;Big TV;;;;
78;157;ON;UKE;Hotels;;;;
189;196;ON;UKE;Lee;;;;
227;290;ON;UKE;Planet Fashion;;;;
61;378;ON;UKE;Transportation;;;;
239;315;ON;UKE;Reliance Digital;;;;
112;3;ON;UKE;Adidas;;;;
341;95;ON;UKE;Corporation Bank;;;;
167;141;ON;UKE;Godrej Interio;;;;
76;154;ON;UKE;Historical Monument Museum;;;;
229;292;ON;UKE;Planet Sports;;;;
232;301;ON;UKE;Puma;;;;
242;319;ON;UKE;Reliance Trends;;;;
116;27;ON;UKE;American Tourister;;;;
331;46;ON;UKE;Banks/Money exchangers;;;;
100;405;ON;UKE;Wildlife/Bird sanctuaries;;;;
158;130;ON;UKE;Flying Machine;;;;
141;98;ON;UKE;Croma;;;;
67;7;ON;UKE;Airport terminals/Airline access;;;;
58;74;ON;UKE;Car Parking lot / Parking lot;;;;
256;357;ON;UKE;Tanishq;;;;
-1;111;ON;UKE;Dummy;;;;
325;20;ON;UKE;All police facilities;;;;
35;70;ON;UKE;Cafe Coffee Day;;;;
298;338;ON;UKE;Shopping Mall / Complex;;;;
62;68;ON;UKE;Bus Stop;;;;
73;198;ON;UKE;Leisure & Tourism;;;;
94;373;ON;UKE;Tourist information centres;;;;
390;215;ON;UKE;Media & Advertising companies;;;;
77;232;ON;UKE;Museums;;;;
254;353;ON;UKE;Style Spa;;;;
238;312;ON;UKE;Reliance;;;;
23;228;ON;UKE;Moti Mahal Delux;;;;
338;71;ON;UKE;Canara Bank;;;;
268;377;ON;UKE;Trackon Couriers;;;;
4;123;ON;UKE;Fast food;;;;
337;45;ON;UKE;Bank of India;;;;
243;326;ON;UKE;Sabka Bazaar;;;;
9;280;ON;UKE;Papa John's;;;;
203;221;ON;UKE;Metro Shoes;;;;
382;178;ON;UKE;Jain temples;;;;
215;246;ON;UKE;Numero Uno;;;;
82;159;ON;UKE;Hotels—Budget;;;;
289;345;ON;UKE;Speciality shops;;;;
1;323;ON;UKE;Restaurants;;;;
86;411;ON;UKE;Zoos;;;;
26;328;ON;UKE;Sagar Ratna;;;;
272;386;ON;UKE;US Polo Assn;;;;
16;169;ON;UKE;Indian/Multicuisine food;;;;
81;158;ON;UKE;Hotels—3 Star;;;;
30;300;ON;UKE;Pubs & Bars;;;;
310;346;ON;UKE;Spencers;;;;
354;356;ON;UKE;Syndicate Bank;;;;
128;63;ON;UKE;Blue Star;;;;
343;149;ON;UKE;HDFC Bank;;;;
375;265;ON;UKE;Other hospital facilities;;;;
314;271;ON;UKE;Other shopping centres;;;;
326;295;ON;UKE;Police stations;;;;
280;399;ON;UKE;Voltas;;;;
197;207;ON;UKE;Loot Mart;;;;
402;274;ON;UKE;Other telecommunication companies;;;;
249;339;ON;UKE;Signature;;;;
397;230;ON;UKE;MTS;;;;
357;382;ON;UKE;United Bank of India;;;;
80;160;ON;UKE;Hotels—Premium;;;;
231;298;ON;UKE;Provogue;;;;
138;87;ON;UKE;Classic Polo;;;;
166;140;ON;UKE;Godrej;;;;
300;23;ON;UKE;All separtment stores;;;;
380;82;ON;UKE;Churches;;;;
250;341;ON;UKE;Sony;;;;
84;322;ON;UKE;Resorts;;;;
401;398;ON;UKE;Vodafone;;;;
89;56;ON;UKE;BIG Cinemas;;;;
148;114;ON;UKE;Electronics Bazaar;;;;
113;8;ON;UKE;Airtel;;;;
146;109;ON;UKE;DTDC;;;;
258;360;ON;UKE;Tata Sky;;;;
49;255;ON;UKE;Other bakeries & Dessert shops;;;;
149;116;ON;UKE;Esprit;;;;
207;229;ON;UKE;Motorola;;;;
171;153;ON;UKE;Hindware;;;;
276;391;ON;UKE;Vijay Sales;;;;
405;4;ON;UKE;Agricultural facilities;;;;
385;270;ON;UKE;Others;;;;
221;278;ON;UKE;Panasonic;;;;
296;404;ON;UKE;Whirlpool;;;;
51;38;ON;UKE;Automobile facilities;;;;
108;211;ON;UKE;Markets;;;;
47;192;ON;UKE;Kwality Walls;;;;
48;236;ON;UKE;Natural Ice Cream;;;;
408;361;ON;UKE;Tea gardens;;;;
336;44;ON;UKE;Bank of Baroda;;;;
339;79;ON;UKE;Central Bank of India;;;;
371;150;ON;UKE;Heart hospitals;;;;
315;93;ON;UKE;Community;;;;
188;194;ON;UKE;Landmark;;;;
201;217;ON;UKE;Meena Bazaar;;;;
208;231;ON;UKE;Mufti;;;;
19;58;ON;UKE;Bikanervala;;;;
137;86;ON;UKE;Citizen;;;;
174;171;ON;UKE;Indian Terrain;;;;
384;267;ON;UKE;Other places of worship;;;;
139;91;ON;UKE;Colorplus;;;;
340;85;ON;UKE;Citi Bank;;;;
335;41;ON;UKE;Axis Bank;;;;
105;275;ON;UKE;Other tourist attractions;;;;
360;115;ON;UKE;Emergency medical care facilities;;;;
79;18;ON;UKE;All hotels;;;;
6;108;ON;UKE;Domino's;;;;
198;208;ON;UKE;Louis Philippe;;;;
60;335;ON;UKE;Second hand Automobile shop;;;;
36;96;ON;UKE;Costa Coffee;;;;
17;19;ON;UKE;All Indian/Multicuisine food;;;;
349;174;ON;UKE;ING Vysya Bank;;;;
130;65;ON;UKE;BPL;;;;
65;334;ON;UKE;Sea ports;;;;
34;49;ON;UKE;Barista;;;;
342;102;ON;UKE;Dena Bank;;;;
404;263;ON;UKE;Other financial companies;;;;
70;6;ON;UKE;Airports;;;;
123;53;ON;UKE;Biba;;;;
363;156;ON;UKE;Hospitals & Nursing homes;;;;
194;202;ON;UKE;Liberty;;;;
10;288;ON;UKE;Pizza Corner;;;;
42;28;ON;UKE;Amul;;;;
2;21;ON;UKE;All restaurants;;;;
95;363;ON;UKE;Theatres;;;;
53;375;ON;UKE;Toyota Repair Garage;;;;
283;403;ON;UKE;Whirlpool;;;;
306;183;ON;UKE;KBs Fair Price;;;;
87;83;ON;UKE;Cinemas;;;;
37;168;ON;UKE;Indian Coffee House;;;;
182;186;ON;UKE;Khadims;;;;
355;380;ON;UKE;UCO Bank;;;;
383;67;ON;UKE;Buddhist temples;;;;
91;176;ON;UKE;INOX;;;;
356;381;ON;UKE;Union Bank of India;;;;
