#genre_id;name_id;name_type;name_lang;name;tr_lang;tr_name;ph_flag;phoneme_id
1081;1079;ON;CHI;星程精品酒店;CHT;星程精品酒店;;
1033;1031;ON;CHI;豪生;CHT;豪生;;
1231;1229;ON;CHI;布丁酒店;CHT;布丁酒店;;
98;99;ON;CHI;美心MX;CHT;美心MX;;
36;37;ON;CHI;苏氏牛肉面;CHT;蘇氏牛肉麵;;
296;297;ON;CHI;潮楼/潮馆;CHT;潮樓/潮館;;
1326;1324;ON;CHI;中安之家酒店连锁;CHT;中安之家酒店連鎖;;
33;34;ON;CHI;知味观;CHT;知味觀;;
359;360;ON;CHI;陶源酒家;CHT;陶源酒家;;
670;671;ON;CHI;东升百货;CHT;東昇百貨;;
1602;1600;ON;CHI;广西北部湾银行;CHT;廣西北部灣銀行;;
1603;1601;ON;CHI;中信银行(国际);CHT;中信銀行(國際);;
521;522;ON;CHI;百货商场／商城;ENG;Department Store / Mall;;
436;437;ON;CHI;蒙自源;CHT;蒙自源;;
828;829;ON;CHI;百信药房;CHT;百信藥房;;
367;368;ON;CHI;小肠陈;CHT;小腸陳;;
827;828;ON;CHI;老百姓大药房;CHT;老百姓大藥房;;
1201;1199;ON;CHI;诺富特;CHT;諾富特;;
22;23;ON;CHI;正鱼鱼丸;CHT;正魚魚丸;;
475;476;ON;CHI;鲜芋仙;CHT;鮮芋仙;;
1447;1445;ON;CHI;交通;CHT;交通;;
997;995;ON;CHI;国际青年旅舍;CHT;國際青年旅舍;;
137;138;ON;CHI;广州酒家;CHT;廣州酒家;;
437;438;ON;CHI;渝乡辣婆婆;CHT;渝鄉辣婆婆;;
1451;1449;ON;CHI;春秋航空;CHT;春秋航空;;
135;136;ON;CHI;全聚德;CHT;全聚德;;
1588;1586;ON;CHI;永隆银行;CHT;永隆銀行;;
1014;1012;ON;CHI;曙光酒店;CHT;曙光酒店;;
218;219;ON;CHI;同庆楼;CHT;同慶樓;;
766;767;ON;CHI;迪卡侬;CHT;迪卡儂;;
693;694;ON;CHI;百老汇;CHT;百老滙;;
959;960;ON;CHI;汽车;ENG;Automobile;;
980;981;ON;CHI;美孚;CHT;美孚;;
868;869;ON;CHI;天梭;CHT;天梭;;
516;517;ON;CHI;全家;CHT;全家;;
1598;1596;ON;CHI;长沙银行;CHT;長沙銀行;;
824;825;ON;CHI;大参林;CHT;大參林;;
952;953;ON;CHI;迪信通;CHT;迪信通;;
1506;1504;ON;CHI;杭州银行;CHT;杭州銀行;;
1139;1137;ON;CHI;瑞亚·臻品酒店;CHT;瑞亞·臻品酒店;;
1190;1188;ON;CHI;希尔顿逸林酒店;CHT;希爾頓逸林酒店;;
1575;1573;ON;CHI;中信银行;CHT;中信銀行;;
447;448;ON;CHI;重庆刘一手火锅;CHT;重慶劉一手火鍋;;
1463;1461;ON;CHI;高速服务区／停车区;ENG;Service Station / Parking Area;;
1656;1654;ON;CHI;火车站;CHT;0;;
419;420;ON;CHI;重庆孔亮火锅;CHT;重慶孔亮火鍋;;
1438;1436;ON;CHI;公园;CHT;公園;;
257;258;ON;CHI;知味观;CHT;知味觀;;
830;831;ON;CHI;昭仪翠屋;CHT;昭儀翠屋;;
1524;1522;ON;CHI;中国农业银行;CHT;中國農業銀行;;
2;3;ON;CHI;餐饮;CHT;餐飲服務;;
133;134;ON;CHI;狗不理;CHT;狗不理;;
287;288;ON;CHI;火宫殿;CHT;火宮殿;;
1426;1424;ON;CHI;公共设施;ENG;Public Facilities;;
485;486;ON;CHI;弹丸滋地;CHT;彈丸滋地;;
1573;1571;ON;CHI;国家开发银行;CHT;國家開發銀行;;
453;454;ON;CHI;正院公馆;CHT;正院公館;;
1485;1483;ON;CHI;东田造型;CHT;東田造型;;
177;178;ON;CHI;权味石锅拌饭;CHT;權味石鍋拌飯;;
1256;1254;ON;CHI;雅诗阁服务公寓;CHT;雅詩閣服務公寓;;
1301;1299;ON;CHI;好如家快捷酒店;CHT;好如家快捷酒店;;
130;131;ON;CHI;得月楼;CHT;得月樓;;
509;510;ON;CHI;VanGO;CHT;VanGO;;
981;982;ON;CHI;中海油;CHT;中海油;;
1236;1234;ON;CHI;城市便捷酒店;CHT;城市便捷酒店;;
1475;1473;ON;CHI;电台／电视台／制片厂;ENG;Radio Staion  / TV Station / Movie Studio;;
1369;1367;ON;CHI;水族馆;ENG;Aquarium;;
1499;1497;ON;CHI;德意志银行;CHT;德意志銀行;;
1468;1466;ON;CHI;陵园／公墓;CHT;陵墓／公墓;;
1549;1547;ON;CHI;渣打银行;CHT;渣打銀行;;
1393;1391;ON;CHI;华谊兄弟影院;CHT;華誼兄弟影院;;
1133;1131;ON;CHI;聚和酒店;CHT;聚和酒店;;
57;58;ON;CHI;哥哥乐;CHT;哥哥樂;;
286;287;ON;CHI;牛太郎;CHT;牛太郎;;
158;159;ON;CHI;印度小厨;CHT;印度小廚;;
1227;1225;ON;CHI;华利佳合;CHT;華利佳合;;
709;710;ON;CHI;Burberry;CHT;Burberry;;
126;127;ON;CHI;东来顺;CHT;東來順;;
1261;1259;ON;CHI;君嘉酒店;CHT;君嘉酒店;;
1003;1001;ON;CHI;华侨城酒店;CHT;華僑城酒店;;
1358;1356;ON;CHI;和颐酒店;CHT;和頤酒店;;
1559;1557;ON;CHI;交通银行;CHT;交通銀行;;
882;883;ON;CHI;依波;CHT;依波;;
1194;1192;ON;CHI;新世界酒店;CHT;新世界酒店;;
1124;1122;ON;CHI;城市客栈;CHT;城市客棧;;
1392;1390;ON;CHI;海上国际影城;CHT;海上國際影城;;
261;262;ON;CHI;丰收日;CHT;豐收日;;
1527;1525;ON;CHI;温州银行;CHT;溫州銀行;;
348;349;ON;CHI;打渔郎火锅坊;CHT;打漁郎火鍋坊;;
769;770;ON;CHI;茶叶／茶具专卖店;CHT;茶葉／茶具專賣店;;
1638;1636;ON;CHI;中国联通;CHT;中國聯通;;
267;268;ON;CHI;万龙洲海鲜;CHT;萬龍洲海鮮;;
559;560;ON;CHI;浦东商场;CHT;浦東商場;;
622;623;ON;CHI;一田;CHT;一田;;
1644;1642;ON;CHI;医疗器械;CHT;0;;
1435;1433;ON;CHI;社区医疗;ENG;Primary Care;;
520;521;ON;CHI;可的便利店;CHT;可的便利店;;
1659;1657;ON;CHI;客运汽车站;CHT;0;;
1276;1274;ON;CHI;佳驿酒店;CHT;佳驛酒店;;
358;359;ON;CHI;重庆小天鹅;CHT;重慶小天鵝;;
1030;1028;ON;CHI;莱佛士;CHT;萊佛士;;
1072;1070;ON;CHI;海逸国际酒店;CHT;海逸國際酒店;;
647;648;ON;CHI;International;CHT;International;;
1629;1627;ON;CHI;大专院校;ENG;Universities and Colleges;;
1655;1653;ON;CHI;机场到达/出发门;CHT;0;;
31;32;ON;CHI;贵族世家牛排;CHT;貴族世家牛排;;
852;853;ON;CHI;英皇珠宝;CHT;英皇珠寶;;
938;939;ON;CHI;音像店;CHT;影音;;
755;756;ON;CHI;阿玛尼;CHT;阿瑪尼;;
1165;1163;ON;CHI;君亭酒店;CHT;君亭酒店;;
1665;1663;ON;CHI;ATM/自助银行;ENG;0;;
121;122;ON;CHI;松鹤楼;CHT;松鶴樓;;
571;572;ON;CHI;重庆百货;CHT;重慶百貨;;
945;946;ON;CHI;苹果;CHT;蘋果;;
1142;1140;ON;CHI;金狮100连锁宾馆;CHT;金獅100連鎖賓館;;
270;271;ON;CHI;佳养记;CHT;佳養記;;
418;419;ON;CHI;陌生人火锅餐厅;CHT;陌生人火鍋餐廳;;
595;596;ON;CHI;新世界百货;CHT;新世界百貨;;
384;385;ON;CHI;丁哥;CHT;丁哥;;
420;421;ON;CHI;迎;CHT;迎;;
895;896;ON;CHI;雅典;CHT;雅典;;
17;18;ON;CHI;老乡鸡;CHT;老鄉雞;;
1649;1647;ON;CHI;公安局;ENG;0;;
632;633;ON;CHI;中百超市（湖北）;CHT;中百超市（湖北）;;
966;967;ON;CHI;安吉汽车租赁;CHT;安吉汽車租賃;;
