#genre_id;name_id;name_type;name_lang;name;tr_lang;tr_name;ph_flag;phoneme_id
164;96;ON;UKE;Galicia;SPA;Galicia;;
40;176;ON;UKE;Petrol stations;SPA;Estaciones de servicio;;
143;174;ON;UKE;Performing arts theatres;POR;Teatros de artes cênicas;;
193;86;ON;UKE;Embassies;POR;Embaixada;;
55;118;ON;UKE;International border crossings;SPA;Pasos fronterizos internacionales;;
123;16;ON;UKE;Aquariums;POR;Aquário;;
119;160;ON;UKE;Other general merchandise;POR;Outras mercadorias em geral;;
15;101;ON;UKE;Grills;POR;Grills;;
22;115;ON;UKE;Ice cream;SPA;Helado;;
138;9;ON;UKE;All parks & recreation areas;SPA;Todos los parques y zonas recreativas;;
231;103;ON;UKE;Hair & beauty salons;SPA;Salones de peluquería y belleza;;
76;145;ON;UKE;Muaa;POR;Muaa;;
147;241;ON;UKE;Wineries;POR;Vinícola;;
113;93;ON;UKE;Food/beverage/liquor shops;POR;Lojas de alimentos/Bebidas;;
216;222;ON;UKE;Synagogues;POR;Sinagoga;;
176;122;ON;UKE;Itaú;POR;Itaú;;
105;126;ON;UKE;La Anónima;POR;La Anónima;;
99;13;ON;UKE;All supermarkets;POR;Todos os supermercados;;
165;36;ON;UKE;Banco Patagonia;SPA;Banco Patagonia;;
90;155;ON;UKE;Other clothing shops;SPA;Otras tiendas de ropa;;
191;90;ON;UKE;Famous landmark buildings;SPA;Edificios de referencia famosos;;
57;186;ON;UKE;Railway stations;POR;Estações ferroviárias;;
1;192;ON;UKE;Restaurants;SPA;Restaurantes;;
197;136;ON;UKE;Medical care facilities;SPA;Instalaciones de atención médica;;
98;216;ON;UKE;Supermarkets;SPA;Supermercados;;
67;110;ON;UKE;Hotels;POR;Hotéis;;
177;197;ON;UKE;Santander Río;POR;Santander Río;;
196;129;ON;UKE;Libraries;POR;Biblioteca;;
228;50;ON;UKE;Business service agencies;POR;Agências de serviços de negócios;;
64;169;ON;UKE;Other transportation;POR;Outros transportes;;
79;239;ON;UKE;Wanama;POR;Wanama;;
214;11;ON;UKE;All places of worship;POR;Todos os locais de culto;;
232;190;ON;UKE;Removal services;POR;Empresa de mudanças;;
239;240;ON;UKE;Waste & sanitation companies;SPA;Empresas de residuos y saneamiento;;
9;6;ON;UKE;All fast food;SPA;Todas las comidas rápidas;;
149;188;ON;UKE;Recreation centres;SPA;Centros recreativos;;
72;46;ON;UKE;Bookshops;POR;Livrarias;;
206;181;ON;UKE;Police stations;SPA;Comisarías;;
61;224;ON;UKE;Taxi stands;POR;Pontos de táxi;;
200;69;ON;UKE;Clinics & medical centres;POR;Centro clínico/Médico;;
83;77;ON;UKE;Crayon;POR;Crayon;;
108;108;ON;UKE;Home improvement & hardware shops;SPA;Bricolage y ferretería;;
203;161;ON;UKE;Other medical care facilities;SPA;Otras instalaciones de atención médica;;
49;206;ON;UKE;Sol;POR;Sol;;
224;54;ON;UKE;Cargo Centres;POR;Centro de carga e descarga;;
240;94;ON;UKE;Funeral directors;POR;Funerárias;;
167;29;ON;UKE;Banco de Córdoba;POR;Banco de Córdoba;;
20;119;ON;UKE;International food;SPA;Comida internacional;;
91;74;ON;UKE;Consumer electronics shops;POR;Loja de eletrônicos;;
233;178;ON;UKE;Photography studios;POR;Estúdios fotográficos;;
194;100;ON;UKE;Government offices;SPA;Oficinas gubernamentales;;
121;15;ON;UKE;Amusement parks;POR;Parque de diversões;;
204;78;ON;UKE;Dentists;SPA;Dentistas;;
47;194;ON;UKE;Rhasa;SPA;Rhasa;;
214;11;ON;UKE;All places of worship;SPA;Todos los lugares de culto;;
215;141;ON;UKE;Mosques;POR;Mesquita;;
213;180;ON;UKE;Places of worship;SPA;Lugares de culto;;
31;237;ON;UKE;Vehicle service & maintenance shops;POR;Oficinas de serviços e manutenção automotiva;;
44;149;ON;UKE;Oil;POR;Oil;;
22;115;ON;UKE;Ice cream;POR;Sorveteria;;
238;184;ON;UKE;Public infrastructure facilities;SPA;Instalaciones de infraestructura pública;;
151;20;ON;UKE;ATMs;POR;Caixa eletrônico;;
38;117;ON;UKE;Indoor car parks;SPA;Párkings cubiertos;;
178;35;ON;UKE;Banco Francés;SPA;Banco Francés;;
104;81;ON;UKE;Disco;POR;Disco;;
59;92;ON;UKE;Ferry terminals;POR;Terminais de balsa;;
162;130;ON;UKE;Macro;POR;Macro;;
16;195;ON;UKE;Sandwiches;SPA;bocadillos;;
23;220;ON;UKE;Sushi;SPA;Sushi;;
153;111;ON;UKE;HSBC;SPA;HSBC;;
202;183;ON;UKE;Psychiatric institutes;POR;Instituto de psiquiatria;;
2;12;ON;UKE;All restaurants;POR;Todos os restaurantes;;
102;76;ON;UKE;Coto;SPA;Coto;;
61;224;ON;UKE;Taxi stands;SPA;Paradas de taxi;;
26;159;ON;UKE;Other foods;SPA;Otras comidas;;
87;127;ON;UKE;Legacy;SPA;Legacy;;
232;190;ON;UKE;Removal services;SPA;Servicios de mudanzas;;
55;118;ON;UKE;International border crossings;POR;Travessias de fronteiras internacionais;;
212;59;ON;UKE;Cemeteries;SPA;Cementerios;;
7;200;ON;UKE;Seafood;SPA;Mariscos;;
24;17;ON;UKE;Argentinian food;SPA;Comida argentina;;
56;51;ON;UKE;Bus stations;SPA;Estaciones de autobuses;;
130;146;ON;UKE;Museums;POR;Museu;;
44;149;ON;UKE;Oil;SPA;Oil;;
31;237;ON;UKE;Vehicle service & maintenance shops;SPA;Talleres de servicio y mantenimiento de vehículos;;
32;14;ON;UKE;All vehicle services & maintenance shops;SPA;Todos los talleres de servicio y mantenimiento de vehículos;;
174;31;ON;UKE;BANCO DE GALICIA;POR;Banco de Galicia;;
185;37;ON;UKE;Banco Patagonia;SPA;Banco Patagonia;;
11;135;ON;UKE;McDonald's;POR;McDonald's;;
18;208;ON;UKE;Southwestern food;POR;Culinária do sudoeste americano;;
146;213;ON;UKE;Sports complexes;POR;Complexo esportivo;;
135;162;ON;UKE;Other museums;POR;Outros museus;;
142;163;ON;UKE;Other parks & recreation areas;POR;Outros parques e áreas de recreação;;
38;117;ON;UKE;Indoor car parks;POR;Estacionamentos internos;;
107;168;ON;UKE;Other supermarkets;SPA;Otros supermercados;;
233;178;ON;UKE;Photography studios;SPA;Estudios fotográficos;;
124;47;ON;UKE;Bowling Alleys;POR;Boliche;;
14;158;ON;UKE;Other fast food;SPA;Otras comidas rápidas;;
202;183;ON;UKE;Psychiatric institutes;SPA;Institutos psiquiátricos;;
114;211;ON;UKE;Sporting goods shops;POR;Loja de artigos esportivos;;
128;116;ON;UKE;Ice skating rinks;SPA;Pistas de patinaje sobre hielo;;
160;23;ON;UKE;Banco Ciudad;POR;Banco Ciudad;;
126;63;ON;UKE;Cinemas;SPA;Cines;;
128;116;ON;UKE;Ice skating rinks;POR;Ringue de patinação no gelo;;
198;7;ON;UKE;All medical care facilities;POR;Todas as instalações médicas;;
119;160;ON;UKE;Other general merchandise;SPA;Otros comercios en general;;
92;5;ON;UKE;All consumer electronics shops;SPA;Todas las tiendas de electrodomésticos;;
