#genre_id;name_id;name_type;name_lang;name;tr_lang;tr_name;ph_flag;phoneme_id
343;51;ON;UKE;Banco de Bogotá;POR;Banco de Bogotá;;
419;430;ON;UKE;Villages;POR;Vilarejos;;
286;433;ON;UKE;Wineries;POR;Vinícola;;
55;107;ON;UKE;Café do Ponto;POR;Café do Ponto;;
175;255;ON;UKE;Lilica & Tigor;POR;Lilica & Tigor;;
113;9;ON;UKE;All car rental facilities;SPA;Todas las oficinas de alquiler de coches;;
268;29;ON;UKE;Aquariums;POR;Aquário;;
425;214;ON;UKE;Hair & beauty salons;SPA;Salones de peluquería y belleza;;
255;321;ON;UKE;óticas carol;POR;óticas carol;;
326;229;ON;UKE;HSBC;SPA;HSBC;;
97;175;ON;UKE;ECOS;POR;ECOS;;
212;117;ON;UKE;Carrefour;SPA;Carrefour;;
90;356;ON;UKE;REPSOL;SPA;REPSOL;;
427;336;ON;UKE;Photography studios;POR;Estúdios fotográficos;;
287;87;ON;UKE;Boating activities & cruises;POR;Atividades e passeios de barco;;
258;317;ON;UKE;Other speciality shops;SPA;Otras tiendas especializadas;;
83;383;ON;UKE;SP;POR;SP;;
280;311;ON;UKE;Other museums;POR;Outros museus;;
417;102;ON;UKE;Business facilities;SPA;Instalaciones de negocios;;
77;375;ON;UKE;Shell;POR;Shell;;
16;14;ON;UKE;All fast food;POR;Todas as redes de fast food;;
313;67;ON;UKE;BANCO REPUBLICA;SPA;BANCO REPUBLICA;;
129;419;ON;UKE;Transportation services;SPA;Servicios de transporte;;
383;171;ON;UKE;Drogaria São Paulo;SPA;Drogaria São Paulo;;
306;53;ON;UKE;Banco do Brasil;POR;Banco do Brasil;;
302;65;ON;UKE;BANCO POPULAR;SPA;BANCO POPULAR;;
331;367;ON;UKE;Santander;SPA;Santander;;
434;201;ON;UKE;Funeral directors;SPA;Directores de funerarias;;
75;18;ON;UKE;All petrol stations;POR;Todos postos de combustível;;
211;23;ON;UKE;All supermarkets;SPA;Todos los supermercados;;
420;276;ON;UKE;Military facilities;POR;Instalações militares;;
130;319;ON;UKE;Other transportation;POR;Outros transportes;;
51;216;ON;UKE;Havanna;SPA;Havanna;;
291;40;ON;UKE;ATMs;SPA;Cajeros automáticos;;
390;184;ON;UKE;Extra Farma;POR;Extra Farma;;
257;4;ON;UKE;Água de Cheiro;SPA;Água de Cheiro;;
221;327;ON;UKE;Pão de Açúcar;SPA;Pão de Açúcar;;
11;423;ON;UKE;Vegetarian food;POR;Culinária vegetariana;;
355;240;ON;UKE;Itaú Personnalité;POR;Itaú Personnalité;;
126;282;ON;UKE;Motorway rest areas;SPA;Áreas de descanso de autopistas;;
158;77;ON;UKE;Barred's;POR;Barred's;;
26;249;ON;UKE;Latin American food;POR;Culinária latino-americana;;
121;5;ON;UKE;Airports;SPA;Aeropuertos;;
118;283;ON;UKE;Movida;SPA;Movida;;
5;200;ON;UKE;French food;SPA;Comida francesa;;
8;241;ON;UKE;Japanese food;POR;Culinária japonesa;;
288;217;ON;UKE;Health clubs;POR;Academia;;
30;31;ON;UKE;Argentinian food;POR;Culinária sul-americana;;
365;185;ON;UKE;Family/general practices;POR;Consultório geral;;
260;387;ON;UKE;Sporting goods shops;POR;Loja de artigos esportivos;;
322;143;ON;UKE;Colmena;POR;Colmena;;
419;430;ON;UKE;Villages;SPA;Aldeas;;
11;423;ON;UKE;Vegetarian food;SPA;Comida vegetariana;;
216;181;ON;UKE;Exito;SPA;Exito;;
435;324;ON;UKE;Painting services;SPA;Servicios de pintura;;
3;25;ON;UKE;American food;POR;Culinária americana;;
104;124;ON;UKE;Charrua;SPA;Charrua;;
56;199;ON;UKE;Fran's Café;SPA;Fran's Café;;
279;34;ON;UKE;Art;SPA;Arte;;
181;215;ON;UKE;Havaianas;SPA;Havaianas;;
93;1;ON;UKE;ACCEL;SPA;ACCEL;;
311;47;ON;UKE;Banco 24horas;SPA;Banco 24horas;;
391;191;ON;UKE;Farmácias São João;SPA;Farmácias São João;;
39;95;ON;UKE;Brazilian food;POR;Culinária brasileira;;
422;103;ON;UKE;Business service agencies;POR;Agências de serviços de negócios;;
238;225;ON;UKE;Home improvement & hardware shops;POR;Lojas de utensílios domésticos e ferramentas;;
318;71;ON;UKE;Banks;SPA;Bancos;;
166;178;ON;UKE;Enjoy;SPA;Enjoy;;
58;306;ON;UKE;Other foods;SPA;Otras comidas;;
105;273;ON;UKE;Megapetro;SPA;Megapetro;;
61;415;ON;UKE;Toyota dealerships;SPA;Concesionarios de Toyota;;
141;288;ON;UKE;NIKE;SPA;NIKE;;
248;385;ON;UKE;Speciality shops;POR;Loja especializada;;
88;425;ON;UKE;Via Brasil;POR;Via Brasil;;
179;129;ON;UKE;Cia do Terno;SPA;Cia do Terno;;
340;363;ON;UKE;Safra;SPA;Safra;;
231;119;ON;UKE;Carulla;POR;Carulla;;
421;133;ON;UKE;City centre;POR;Centros urbanos;;
214;292;ON;UKE;OLIMPICA;SPA;OLIMPICA;;
74;332;ON;UKE;Petrol stations;SPA;Estaciones de servicio;;
371;335;ON;UKE;Pharmacies/chemists' shops;POR;Farmácias;;
249;22;ON;UKE;All speciality shops;POR;Todas as lojas especializadas;;
9;274;ON;UKE;Mexican food;POR;Culinária mexicana;;
403;357;ON;UKE;Residential areas;SPA;Zonas residenciales;;
152;417;ON;UKE;Track & Field;POR;Track & Field;;
424;135;ON;UKE;Cleaning & laundry;SPA;Limpieza y lavandería;;
7;237;ON;UKE;Italian food;POR;Culinária italiana;;
84;405;ON;UKE;Terpel;SPA;Terpel;;
346;81;ON;UKE;BCR;SPA;BCR;;
65;424;ON;UKE;Vehicle service & maintenance shops;POR;Oficinas de serviços e manutenção automotiva;;
224;89;ON;UKE;Bom Preço;POR;Bom Preço;;
190;12;ON;UKE;All consumer electronics shops;POR;Todas as lojas de eletrônicos;;
304;78;ON;UKE;BBVA;POR;BBVA;;
202;259;ON;UKE;Lojas Benoit;SPA;Lojas Benoit;;
99;333;ON;UKE;Petromil;SPA;Petromil;;
386;172;ON;UKE;Drogarias Pacheco;POR;Drogarias Pacheco;;
52;121;ON;UKE;Casa do Pão de Queijo;SPA;Casa do Pão de Queijo;;
70;320;ON;UKE;Other vehicle services & maintenance shops;POR;Outras oficinas de serviços e manutenção automotiva;;
300;228;ON;UKE;HSBC;POR;HSBC;;
136;414;ON;UKE;Tourist information centres;SPA;Centros de información turística;;
397;188;ON;UKE;Farmacia Pasteur;SPA;Farmacia Pasteur;;
347;63;ON;UKE;Banco Nacional;POR;Banco Nacional;;
12;75;ON;UKE;Barbecue/Southern food;SPA;Asado/comida sureña;;
147;162;ON;UKE;Crocs;SPA;Crocs;;
427;336;ON;UKE;Photography studios;SPA;Estudios fotográficos;;
279;34;ON;UKE;Art;POR;Arte;;
181;215;ON;UKE;Havaianas;POR;Havaianas;;
409;281;ON;UKE;Mosques;SPA;Mezquitas;;
93;1;ON;UKE;ACCEL;POR;ACCEL;;
311;47;ON;UKE;Banco 24horas;POR;Banco 24horas;;
391;191;ON;UKE;Farmácias São João;POR;Farmácias São João;;
5;200;ON;UKE;French food;POR;Culinária francesa;;
249;22;ON;UKE;All speciality shops;SPA;Todas las tiendas especializadas;;
322;143;ON;UKE;Colmena;SPA;Colmena;;
57;301;ON;UKE;Other coffee shops;SPA;Otras cafeterías;;
426;352;ON;UKE;Removal services;POR;Empresa de mudanças;;
403;357;ON;UKE;Residential areas;POR;Áreas residenciais;;
216;181;ON;UKE;Exito;POR;Exito;;
267;437;ON;UKE;Zoos;SPA;Zoológicos;;
104;124;ON;UKE;Charrua;POR;Charrua;;
56;199;ON;UKE;Fran's Café;POR;Fran's Café;;
141;288;ON;UKE;NIKE;POR;NIKE;;
369;310;ON;UKE;Other medical care facilities;POR;Outras instalações médicas;;
410;400;ON;UKE;Synagogues;SPA;Sinagogas;;
263;307;ON;UKE;Other general merchandise shops;SPA;Otros comercios en general;;
432;344;ON;UKE;Public infrastructure facilities;SPA;Instalaciones de infraestructura pública;;
88;425;ON;UKE;Via Brasil;SPA;Via Brasil;;
179;129;ON;UKE;Cia do Terno;POR;Cia do Terno;;
340;363;ON;UKE;Safra;POR;Safra;;
166;178;ON;UKE;Enjoy;POR;Enjoy;;
113;9;ON;UKE;All car rental facilities;POR;Todas locadoras de automóveis;;
105;273;ON;UKE;Megapetro;POR;Megapetro;;
152;417;ON;UKE;Track & Field;SPA;Track & Field;;
84;405;ON;UKE;Terpel;POR;Terpel;;
2;21;ON;UKE;All restaurants;SPA;Todos los restaurantes;;
231;119;ON;UKE;Carulla;SPA;Carulla;;
421;133;ON;UKE;City centre;SPA;Centros urbanos;;
191;279;ON;UKE;Mobile phone retailers;SPA;Tiendas de móviles;;
214;292;ON;UKE;OLIMPICA;POR;OLIMPICA;;
248;385;ON;UKE;Speciality shops;SPA;Tiendas especializadas;;
273;231;ON;UKE;Ice skating rinks;POR;Ringue de patinação no gelo;;
368;343;ON;UKE;Psychiatric institutes;SPA;Institutos psiquiátricos;;
136;414;ON;UKE;Tourist information centres;POR;Postos de informações turísticas;;
400;339;ON;UKE;Police stations;SPA;Comisarías;;
367;359;ON;UKE;Retirement/nursing homes;SPA;Centros de mayores/Residencias de ancianos;;
63;416;ON;UKE;Toyota repair facilities;POR;Oficinas Toyota;;
52;121;ON;UKE;Casa do Pão de Queijo;POR;Casa do Pão de Queijo;;
397;188;ON;UKE;Farmacia Pasteur;POR;Farmacia Pasteur;;
300;228;ON;UKE;HSBC;SPA;HSBC;;
347;63;ON;UKE;Banco Nacional;SPA;Banco Nacional;;
147;162;ON;UKE;Crocs;POR;Crocs;;
43;329;ON;UKE;Pastries;POR;Pastelarias;;
224;89;ON;UKE;Bom Preço;SPA;Bom Preço;;
346;81;ON;UKE;BCR;POR;BCR;;
304;78;ON;UKE;BBVA;SPA;BBVA;;
202;259;ON;UKE;Lojas Benoit;POR;Lojas Benoit;;
99;333;ON;UKE;Petromil;POR;Petromil;;
386;172;ON;UKE;Drogarias Pacheco;SPA;Drogarias Pacheco;;
435;324;ON;UKE;Painting services;POR;Serviços de pintura;;
274;268;ON;UKE;Marina;POR;Doca;;
10;373;ON;UKE;Seafood;POR;Frutos do mar;;
239;224;ON;UKE;Home furnishings & supplies shops;POR;Lojas de artigos domésticos;;
285;389;ON;UKE;Sports complexes;SPA;Complejos deportivos;;
326;229;ON;UKE;HSBC;POR;HSBC;;
255;321;ON;UKE;óticas carol;SPA;óticas carol;;
139;137;ON;UKE;Clothing shops;SPA;Tiendas de ropa;;
343;51;ON;UKE;Banco de Bogotá;SPA;Banco de Bogotá;;
372;19;ON;UKE;All pharmacies/chemists' shops;POR;Todas as farmácias;;
134;295;ON;UKE;Other accommodations;SPA;Otros alojamientos;;
55;107;ON;UKE;Café do Ponto;SPA;Café do Ponto;;
415;302;ON;UKE;Other community facilities;POR;Outras instalações comunitárias;;
175;255;ON;UKE;Lilica & Tigor;SPA;Lilica & Tigor;;
77;375;ON;UKE;Shell;SPA;Shell;;
313;67;ON;UKE;BANCO REPUBLICA;POR;BANCO REPUBLICA;;
383;171;ON;UKE;Drogaria São Paulo;POR;Drogaria São Paulo;;
306;53;ON;UKE;Banco do Brasil;SPA;Banco do Brasil;;
280;311;ON;UKE;Other museums;SPA;Otros museos;;
97;175;ON;UKE;ECOS;SPA;ECOS;;
72;233;ON;UKE;Indoor car parks;POR;Estacionamentos internos;;
212;117;ON;UKE;Carrefour;POR;Carrefour;;
90;356;ON;UKE;REPSOL;POR;REPSOL;;
192;280;ON;UKE;Mobile phone service centres;POR;Centros de atendimento para celulares;;
357;186;ON;UKE;Famous landmark buildings;POR;Edifícios famosos de referência;;
265;250;ON;UKE;Leisure;POR;Lazer;;
83;383;ON;UKE;SP;SPA;SP;;
261;202;ON;UKE;Furniture shops;POR;Loja de móveis;;
366;136;ON;UKE;Clinics & medical centres;SPA;Centros médicos y clínicas;;
364;16;ON;UKE;All medical care facilities;POR;Todas as instalações médicas;;
268;29;ON;UKE;Aquariums;SPA;Acuarios;;
51;216;ON;UKE;Havanna;POR;Havanna;;
390;184;ON;UKE;Extra Farma;SPA;Extra Farma;;
302;65;ON;UKE;BANCO POPULAR;POR;BANCO POPULAR;;
67;120;ON;UKE;Car washes;POR;Lava-rápidos;;
407;338;ON;UKE;Places of worship;SPA;Lugares de culto;;
28;340;ON;UKE;Portuguese food;SPA;Comida portuguesa;;
32;392;ON;UKE;Steak houses;POR;Churrascaria;;
331;367;ON;UKE;Santander;POR;Santander;;
140;10;ON;UKE;All clothing shops;SPA;Todas las tiendas de ropa;;
14;97;ON;UKE;Brewpubs;POR;Brewpubs;;
125;195;ON;UKE;Ferry terminals;POR;Terminais de balsa;;
258;317;ON;UKE;Other speciality shops;POR;Outras lojas especializadas;;
130;319;ON;UKE;Other transportation;SPA;Otros transportes;;
7;237;ON;UKE;Italian food;SPA;Comida italiana;;
429;393;ON;UKE;Storage;POR;Armazém;;
118;283;ON;UKE;Movida;POR;Movida;;
221;327;ON;UKE;Pão de Açúcar;POR;Pão de Açúcar;;
257;4;ON;UKE;Água de Cheiro;POR;Água de Cheiro;;
355;240;ON;UKE;Itaú Personnalité;SPA;Itaú Personnalité;;
158;77;ON;UKE;Barred's;SPA;Barred's;;
60;252;ON;UKE;Lexus dealerships;SPA;Concesionarios de Lexus;;
165;269;ON;UKE;Marisa;SPA;Marisa;;
49;391;ON;UKE;Starbucks;SPA;Starbucks;;
292;7;ON;UKE;All ATMs;POR;Todos os caixas eletrônicos;;
364;16;ON;UKE;All medical care facilities;SPA;Todas las instalaciones de atención médica;;
39;95;ON;UKE;Brazilian food;SPA;Comida brasileña;;
31;384;ON;UKE;Spanish food;SPA;Comida española;;
108;157;ON;UKE;Copetrol;POR;Copetrol;;
362;254;ON;UKE;Libraries;POR;Biblioteca;;
107;156;ON;UKE;COPEG;POR;COPEG;;
358;134;ON;UKE;Civic/community centres;POR;Centro cívico/Comunitário;;
228;325;ON;UKE;Pali;POR;Pali;;
149;426;ON;UKE;Via Uno;POR;Via Uno;;
384;192;ON;UKE;Farmais;POR;Farmais;;
262;150;ON;UKE;Computer & software shops;POR;Lojas de computadores e software;;
217;183;ON;UKE;Extra;SPA;Extra;;
180;41;ON;UKE;Authentic Feet;SPA;Authentic Feet;;
315;62;ON;UKE;Banco Nacional;POR;Banco Nacional;;
330;79;ON;UKE;BBVA;SPA;BBVA;;
274;268;ON;UKE;Marina;SPA;Puertos;;
46;11;ON;UKE;All coffee shops;POR;Todas as Cafeterias;;
204;364;ON;UKE;Salfer;POR;Salfer;;
271;130;ON;UKE;Cinemas;SPA;Cines;;
173;394;ON;UKE;Studio F;SPA;Studio F;;
168;33;ON;UKE;ARMI;POR;ARMI;;
85;330;ON;UKE;Petrobras;POR;Petrobras;;
205;261;ON;UKE;Lojas MM;POR;Lojas MM;;
4;127;ON;UKE;Chinese food;POR;Culinária chinesa;;
12;75;ON;UKE;Barbecue/Southern food;POR;Churrasco/Culinária do sul dos EUA;;
297;144;ON;UKE;Colpatria;POR;Colpatria;;
178;163;ON;UKE;DAMYLLER;SPA;DAMYLLER;;
278;223;ON;UKE;History;SPA;Historia;;
69;420;ON;UKE;Tyre repairs;SPA;Talleres de reparación de llantas;;
433;432;ON;UKE;Waste & sanitation companies;POR;Empresas de saneamento;;
424;135;ON;UKE;Cleaning & laundry;POR;Limpeza e lavanderia;;
6;205;ON;UKE;German food;POR;Culinária alemã;;
283;349;ON;UKE;Recreation facilities;SPA;Instalaciones recreativas;;
124;348;ON;UKE;Railway stations;SPA;Estaciones ferroviarias;;
185;379;ON;UKE;Siberian;SPA;Siberian;;
111;312;ON;UKE;Other petrol stations;SPA;Otras estaciones de servicio;;
298;164;ON;UKE;Davivienda;POR;Davivienda;;
174;404;ON;UKE;tennis;POR;tennis;;
148;407;ON;UKE;Tip Top;SPA;Tip Top;;
318;71;ON;UKE;Banks;POR;Banco;;
78;406;ON;UKE;TEXACO;POR;TEXACO;;
82;98;ON;UKE;Brio;SPA;Brio;;
15;194;ON;UKE;Fast food;POR;Fast Food;;
143;436;ON;UKE;ZARA;POR;ZARA;;
287;87;ON;UKE;Boating activities & cruises;SPA;Actividades de navegación y cruceros;;
396;189;ON;UKE;Farmácias Associadas;SPA;Farmácias Associadas;;
237;318;ON;UKE;Other supermarkets;POR;Outros supermercados;;
48;294;ON;UKE;Oma;SPA;Oma;;
101;176;ON;UKE;Eds;SPA;Eds;;
169;35;ON;UKE;ARTURO CALLE;SPA;ARTURO CALLE;;
191;279;ON;UKE;Mobile phone retailers;POR;Revendedores de celulares;;
241;410;ON;UKE;Tok&Stok;SPA;Tok&Stok;;
328;66;ON;UKE;BANCO POPULAR;POR;BANCO POPULAR;;
213;155;ON;UKE;Cooratiendas;SPA;Cooratiendas;;
54;210;ON;UKE;GRÃO ESPRESSO;POR;GRÃO ESPRESSO;;
162;361;ON;UKE;Richards;SPA;Richards;;
375;2;ON;UKE;Acuña;POR;Acuña;;
200;262;ON;UKE;Lojas Pernambucanas;SPA;Lojas Pernambucanas;;
24;305;ON;UKE;Other fast food;SPA;Otras comidas rápidas;;
184;211;ON;UKE;GREGORY;SPA;GREGORY;;
404;369;ON;UKE;Schools;POR;Escola;;
177;139;ON;UKE;Colcci;POR;Colcci;;
132;222;ON;UKE;Historical monuments;POR;Monumentos históricos;;
399;313;ON;UKE;Other pharmacies/chemists' shops;SPA;Otras farmacias;;
429;393;ON;UKE;Storage;SPA;Almacenamiento/Depósito;;
61;415;ON;UKE;Toyota dealerships;POR;Concessionárias Toyota;;
408;20;ON;UKE;All places of worship;POR;Todos os locais de culto;;
189;152;ON;UKE;Consumer electronics shops;POR;Loja de eletrônicos;;
312;69;ON;UKE;Banco Santander;SPA;Banco Santander;;
32;392;ON;UKE;Steak houses;SPA;asadores;;
395;264;ON;UKE;Mais Econômica;POR;Mais Econômica;;
408;20;ON;UKE;All places of worship;SPA;Todos los lugares de culto;;
370;166;ON;UKE;Dentists;POR;Dentista;;
339;289;ON;UKE;Nossa Caixa;SPA;Nossa Caixa;;
414;403;ON;UKE;Temples;SPA;Templos;;
156;28;ON;UKE;Andarella;SPA;Andarella;;
139;137;ON;UKE;Clothing shops;POR;Lojas de roupas;;
239;224;ON;UKE;Home furnishings & supplies shops;SPA;Tiendas de muebles y artículos para el hogar;;
129;419;ON;UKE;Transportation services;POR;Serviços de transporte;;
348;64;ON;UKE;Banco Nacional de Panamá;POR;Banco Nacional de Panamá;;
254;244;ON;UKE;Kopenhagen;SPA;Kopenhagen;;
394;285;ON;UKE;Multidrogas;SPA;Multidrogas;;
251;232;ON;UKE;Imaginarium;POR;Imaginarium;;
235;204;ON;UKE;GBarbosa;SPA;GBarbosa;;
431;382;ON;UKE;Social service facilities;POR;Instalações de serviços sociais;;
16;14;ON;UKE;All fast food;SPA;Todas las comidas rápidas;;
2;21;ON;UKE;All restaurants;POR;Todos os restaurantes;;
341;70;ON;UKE;BANESTES;POR;BANESTES;;
71;116;ON;UKE;Car park for park & rides;POR;Estacionamentos de intercâmbio;;
172;390;ON;UKE;Spring Step;SPA;Spring Step;;
76;179;ON;UKE;Esso;SPA;Esso;;
115;220;ON;UKE;Hertz;POR;Hertz;;
338;61;ON;UKE;Banco Mercantil;SPA;Banco Mercantil;;
398;158;ON;UKE;Copifam;POR;Copifam;;
250;290;ON;UKE;O Boticário;POR;O Boticário;;
358;134;ON;UKE;Civic/community centres;SPA;Centros cívicos/comunitarios;;
17;100;ON;UKE;BURGER KING;POR;BURGER KING;;
183;346;ON;UKE;PUC;POR;PUC;;
3;25;ON;UKE;American food;SPA;Comida americana;;
411;36;ON;UKE;Ashrams;POR;Ashram;;
22;207;ON;UKE;Giraffas;SPA;Giraffas;;
345;68;ON;UKE;BANCO REPUBLICA;SPA;BANCO REPUBLICA;;
378;187;ON;UKE;FarmaCenter;POR;FarmaCenter;;
335;109;ON;UKE;Caixa;POR;Caixa;;
393;193;ON;UKE;farmashop;SPA;farmashop;;
80;411;ON;UKE;TOTAL;POR;TOTAL;;
303;371;ON;UKE;Scotiabank;SPA;Scotiabank;;
323;145;ON;UKE;Colpatria;POR;Colpatria;;
428;428;ON;UKE;Video & game rental shops;SPA;Tiendas de alquiler de vídeos y juegos;;
6;205;ON;UKE;German food;SPA;Comida alemana;;
374;247;ON;UKE;La Rebaja;SPA;La Rebaja;;
337;74;ON;UKE;Banrisul;SPA;Banrisul;;
9;274;ON;UKE;Mexican food;SPA;Comida mexicana;;
373;293;ON;UKE;OLIMPICA;POR;OLIMPICA;;
218;168;ON;UKE;Dia;SPA;Dia;;
201;258;ON;UKE;Lojas Becker;SPA;Lojas Becker;;
420;276;ON;UKE;Military facilities;SPA;Instalaciones militares;;
234;96;ON;UKE;Bretas;POR;Bretas;;
188;300;ON;UKE;Other clothing shops;POR;Outras lojas de roupas;;
117;421;ON;UKE;Unidas;SPA;Unidas;;
288;217;ON;UKE;Health clubs;SPA;Gimnasios;;
418;114;ON;UKE;Cargo centre;POR;Centro de carga e descarga;;
57;301;ON;UKE;Other coffee shops;POR;Outras cafeterias;;
127;401;ON;UKE;Taxi Stands;POR;Pontos de táxi;;
382;170;ON;UKE;Droga Raia;SPA;Droga Raia;;
132;222;ON;UKE;Historical monuments;SPA;Monumentos históricos;;
