#genre_id;name_id;name_type;name_lang;name;tr_lang;tr_name;ph_flag;phoneme_id
80;92;ON;UKE;Bus stations;ARA;محطة الحافلات;;
206;145;ON;UKE;EMIRATES ISLAMIC BANK;ARA;بنك الإمارات الإسلامي;;
157;157;ON;UKE;Food/beverage/liquor shops;ARA;محل مأكولات ومشروبات;;
124;203;ON;UKE;La Senza;ARA;لاسينزا;;
234;122;ON;UKE;Commercial Bank of Qatar;ARA;البنك التجاري القطري;;
1;293;ON;UKE;Restaurants;ARA;مطعم;;
236;285;ON;UKE;QATAR ISLAMIC BANK;ARA;بنك قطر الإسلامي;;
187;123;ON;UKE;Community facilities;ARA;مرافق المجتمع;;
294;61;ON;UKE;Bank Dhofar;ARA;بنك ظفار;;
13;339;ON;UKE;Turkish food;ARA;المأكولات التركية;;
240;194;ON;UKE;Jordan Islamic Bank;ARA;البنك الإسلامي الأردني;;
330;216;ON;UKE;Medical care facilities;ARA;مرافق الرعاية الطبية;;
20;269;ON;UKE;Papa John's;ARA;بابا جونز;;
203;133;ON;UKE;DOHA BANK;ARA;بنك الدوحة;;
216;302;ON;UKE;Saudi Hollandi Bank;ARA;البنك السعودي الهولندي;;
160;99;ON;UKE;Carrefour;ARA;كارفور;;
133;223;ON;UKE;Monsoon;ARA;مونسون;;
82;226;ON;UKE;Motorway rest areas;ARA;مناطق استراحة على الطريق السريع;;
348;345;ON;UKE;Villages;ARA;قرية;;
144;255;ON;UKE;Other clothing shops;ARA;محلات الملابس الأخرى;;
90;103;ON;UKE;Casinos;ARA;كازينو;;
31;17;ON;UKE;Al Baik;ARA;البيك;;
73;39;ON;UKE;Al Rehily;ARA;الرحيلي;;
344;104;ON;UKE;Cemeteries;ARA;مقبرة;;
285;57;ON;UKE;BANK ALJAZIRA;ARA;بنك الجزيرة;;
6;185;ON;UKE;Indian food;ARA;المأكولات الهندية;;
319;251;ON;UKE;Other banks;ARA;البنوك الأخرى;;
83;330;ON;UKE;Taxi stands;ARA;موقف سيارات الأجرة;;
208;228;ON;UKE;NATIONAL BANK OF ABU DHABI;ARA;بنك أبوظبي الوطني;;
289;298;ON;UKE;SABB;ARA;ساب;;
46;27;ON;UKE;All coffee shops;ARA;جميع المقاهي;;
219;54;ON;UKE;BANK ALBILAD;ARA;بنك البلاد;;
9;305;ON;UKE;Seafood;ARA;المأكولات البحرية;;
81;154;ON;UKE;Ferry terminals;ARA;ميناء العبارات;;
334;283;ON;UKE;Psychiatric institutes;ARA;معهد الطب النفسي;;
189;21;ON;UKE;All ATMs;ARA;جميع أجهزة الصراف الآلي;;
39;169;ON;UKE;Hardee's;ARA;هارديز;;
2;32;ON;UKE;All restaurants;ARA;جميع المطاعم;;
321;112;ON;UKE;Civic/community centres;ARA;المركز المجتمعي/المدني;;
250;158;ON;UKE;FRANSABANK;ARA;فرنسبنك;;
28;25;ON;UKE;All chicken;ARA;جميع أنواع الدجاج;;
178;219;ON;UKE;Mikyajy;ARA;مكياجي;;
16;276;ON;UKE;Pizza;ARA;بيتزا;;
168;243;ON;UKE;Office supplies & services;ARA;متجر المستلزمات والخدمات المكتبية;;
201;93;ON;UKE;BYBLOS BANK;ARA;بنك بيبلوس;;
304;313;ON;UKE;SOCIETE GENERALE DE BANQUE;ARA;بنك سوسيته جنرال;;
158;327;ON;UKE;Supermarkets;ARA;سوق مركزي;;
104;227;ON;UKE;Museums;ARA;متحف;;
102;249;ON;UKE;Other accommodations;ARA;أماكن إقامة أخرى;;
159;34;ON;UKE;All supermarkets;ARA;جميع الأسواق المركزية;;
270;139;ON;UKE;Dubai Islamic Bank;ARA;بنك دبي الإسلامي;;
103;212;ON;UKE;Marinas;ARA;مرسى القوارب;;
163;268;ON;UKE;Panda;ARA;باندا;;
222;37;ON;UKE;Al Rajhi Bank;ARA;مصرف الراجحي;;
152;349;ON;UKE;Zain;ARA;زين;;
333;115;ON;UKE;Clinics & medical centres;ARA;العيادة/المركز الطبي;;
268;119;ON;UKE;Commercial Bank of Dubai;ARA;بنك دبي التجاري;;
209;232;ON;UKE;National Bank of Oman;ARA;بنك عمان الوطني;;
106;270;ON;UKE;Parks & recreation areas;ARA;حديقة / منطقة استجمام;;
217;332;ON;UKE;The Saudi Investment Bank;ARA;بنك الاستثمار السعودي;;
286;167;ON;UKE;GULF BANK;ARA;بنك الخليج;;
99;209;ON;UKE;LOUVRE HOTELS;ARA;فنادق لوفر;;
128;275;ON;UKE;pierre cardin;ARA;بيير كاردان;;
177;151;ON;UKE;Faces;ARA;وجوه "Faces";;
198;3;ON;UKE;Abu Dhabi Islamic Bank;ARA;بنك أبوظبي الإسلامي;;
32;41;ON;UKE;Al Tazaj;ARA;الطازج;;
162;100;ON;UKE;Carrefour;ARA;كارفور;;
335;260;ON;UKE;Other medical care facilities;ARA;مرافق الرعاية الطبية الأخرى;;
