#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id;name
10;0;0;1;N;;1;;;;-1;Dummy
1;0;0;0;N;;null;;;;1;饮食
1;1;0;1;N;;null;;;;2;餐饮
1;2;0;1;N;;null;1080;;;3;快餐
1;2;1;2;Y;;null;1080;;310C;4;拉芳舍
1;2;2;2;Y;;null;1080;;3348;5;来必堡
1;2;3;2;Y;;null;1080;;3431;6;永和豆浆
1;2;4;2;Y;;null;1080;;312D;7;正鱼鱼丸
1;2;5;2;Y;;null;1080;;3037;8;狗不理
1;2;6;2;Y;;null;1080;;3433;9;老娘舅
1;2;7;2;Y;;null;1080;;341B;10;家乐缘
1;2;8;2;Y;;null;1080;;3369;11;哥哥乐
1;2;9;2;Y;;null;1080;;311A;12;韩林炭烤
1;2;10;2;Y;;null;1080;;3432;13;美满家
1;2;11;2;Y;;null;1080;;3604;14;鸿福堂
1;2;12;2;Y;;null;1080;;3430;15;弹丸滋地
1;2;13;2;Y;;null;1080;;3429;16;外婆烧
1;2;14;2;Y;;null;1080;;2FB8;17;鼎泰丰
1;2;15;2;Y;;null;1080;;3109;18;一茶一坐
1;2;16;2;Y;;null;1080;;3052;19;真功夫
1;2;17;2;Y;;null;1080;;3126;20;好一家牛肉粉
1;2;18;2;Y;;null;1080;;4128;21;庆丰包子铺
1;2;19;2;Y;;null;1080;;3099;22;集集小镇
1;2;20;2;Y;;null;1080;;3034;23;米斯特比萨
1;2;21;2;Y;;null;1080;;2F9F;24;避风塘
1;2;22;2;Y;;null;1080;;333F;25;知味观
1;2;23;2;Y;;null;1080;;414B;26;老乡鸡
1;2;24;2;Y;;null;1080;;3419;27;周记茗点居
1;2;25;2;Y;;null;1080;;3491;28;半亩园
1;2;26;2;Y;;null;1080;;3054;29;吉祥馄饨
1;2;27;2;Y;;null;1080;;3424;30;麦肯基
1;2;28;2;Y;;null;1080;;3128;31;大快活
1;2;29;2;Y;;null;1080;;3114;32;汉堡王
1;2;30;2;Y;;null;1080;;3086;33;港丽餐厅
1;2;31;2;Y;;null;1080;;412A;34;宏状元
1;2;32;2;Y;;null;1080;;34CA;35;大食代
1;2;33;2;Y;;null;1080;;3416;36;丰裕
1;2;34;2;Y;;null;1080;;3116;37;多美丽
1;2;35;2;Y;;null;1080;;303C;38;护国寺小吃
1;2;36;2;Y;;null;1080;;333E;39;南城香
1;2;37;2;Y;;null;1080;;3412;40;盛世经典牛排
1;2;38;2;Y;;null;1080;;3131;41;乡村基
1;2;39;2;Y;;null;1080;;3089;42;阿牛嫂
1;2;40;2;Y;;null;1080;;3423;43;圆缘园时尚餐厅
1;2;41;2;Y;;null;1080;;3101;44;百富烤霸
1;2;42;2;Y;;null;1080;;334F;45;大西豪
1;2;43;2;Y;;null;1080;;311B;46;元气寿司
