#per_code;category_pri
438632448;1
439091200;2
440664064;3
440598528;4
436797440;5
436469760;5
441581568;6
438697984;6
439943168;6
437649408;6
437846016;6
441384960;6
438239232;6
440401920;7
437714944;9
444006400;9
441253888;9
436731909;11
436731910;11
436731911;11
436862976;11
436928512;11
436994048;11
437059584;11
437125120;11
437190656;11
437256192;11
437256193;11
437256194;11
437256195;11
437321728;11
437387264;11
437387265;11
437387266;11
437452800;11
437518336;11
437583872;11
437649409;11
437649410;11
437649410;11
437649411;11
437649411;11
437649412;11
437649412;11
437780480;11
437780481;11
437780482;11
437846017;11
437846018;11
437977088;11
438042624;11
438108160;11
438173696;11
438304768;11
438370304;11
438435840;11
438435841;11
438435842;11
438501376;11
438566912;11
438697985;11
438697986;11
438763520;11
438829056;11
438894592;11
438960128;11
438960129;11
439025664;11
439156736;11
439156737;11
439156738;11
439222272;11
439287808;11
439353344;11
439418880;11
439484416;11
439549953;11
439549954;11
439549955;11
439549955;11
439549956;11
439549957;11
439549958;11
439549959;11
439615488;11
439681024;11
439746560;11
439746561;11
439746562;11
439746563;11
439746564;11
439812096;11
439877632;11
439877633;11
439877634;11
439877635;11
439877636;11
439877637;11
439877638;11
439877639;11
439877640;11
440008704;11
440008705;11
440008706;11
440008707;11
440008708;11
440008709;11
440074240;11
440139776;11
440139777;11
440205312;11
440205313;11
440205314;11
440205315;11
440205316;11
440205317;11
440270848;11
440336384;11
440467457;11
440467458;11
440532992;11
440532993;11
440532994;11
440532995;11
440532996;11
440532997;11
440532998;11
440729600;11
440795136;11
440860672;11
440926208;11
440991744;11
441057280;11
441057280;11
441057281;11
441057282;11
441122816;11
441188352;11
441319424;11
441319425;11
446300160;11
436273152;11
436338688;11
436404224;11
436404225;11
436404226;11
436404227;11
436404228;11
436535296;11
436600832;11
436666368;11
436731904;11
436731905;11
436731905;11
436731906;11
436731907;11
436731908;11
446169088;11
446234624;11
436207616;11
441450496;11
441516032;11
441581569;11
441581570;11
441581571;11
441581572;11
441581573;11
441581574;11
441581575;11
441581576;11
441647104;11
441712640;11
441712641;11
441712642;11
441712643;11
441712644;11
441712645;11
441712646;11
441712647;11
441712648;11
441712649;11
441712650;11
441712651;11
441712652;11
441712653;11
441712654;11
441778176;11
441843712;11
441909248;11
441974784;11
441974785;11
442040320;11
442105856;11
442105857;11
442105858;11
442105859;11
442171392;11
442236928;11
442302464;11
442368000;11
442433536;11
442499072;11
442564608;11
442630144;11
442695680;11
442761216;11
442826752;11
442892288;11
442957824;11
443023360;11
443088896;11
443154432;11
443219968;11
443285504;11
443351040;11
443416576;11
443482112;11
443547648;11
443613184;11
443678720;11
443744256;11
443809792;11
443875328;11
443940864;11
444071936;11
444137472;11
444203008;11
444268544;11
444334080;11
444399616;11
444465152;11
444530688;11
444596224;11
444661760;11
444727296;11
444792832;11
444858368;11
444923904;11
444989440;11
445054976;11
445120512;11
445186048;11
445251584;11
445317120;11
445382656;11
445448192;11
445513728;11
445579264;11
445644800;11
445710336;11
445775872;11
445841408;11
445906944;11
445972480;11
446038016;11
446103552;11
437911552;12
440467456;13
439549952;13
