#ucode;category_pri
67239936;1
67305472;1
67371008;1
67436544;1
67502080;1
67633152;1
68026368;1
68157440;1
68354048;1
84148224;2
67895296;3
67829760;4
33685504;5
33816576;5
151060480;6
151257088;6
17235968;7
151126016;8
50397184;9
50462720;9
33947648;10
16777216;11
16842752;11
16842753;11
16842754;11
16842755;11
16842756;11
16842757;11
16842758;11
16842759;11
16842760;11
16842761;11
16908288;11
16908289;11
16908290;11
16908291;11
16973824;11
17039360;11
17104896;11
17170432;11
17301504;11
17367040;11
17432576;11
17432577;11
17432578;11
17432579;11
17432580;11
17432581;11
17432582;11
17432583;11
17432584;11
17432585;11
17498112;11
17563648;11
17629184;11
17694720;11
17694721;11
17694722;11
17694723;11
33554432;11
33619968;11
33619969;11
33619970;11
33619971;11
33619972;11
33751040;11
33882112;11
33947649;11
33947650;11
33947651;11
33947652;11
33947653;11
33947654;11
33947655;11
33947656;11
33947657;11
33947658;11
33947659;11
33947660;11
33947661;11
33947662;11
33947663;11
33947664;11
33947665;11
33947666;11
33947667;11
33947668;11
33947669;11
33947670;11
33947671;11
33947672;11
33947673;11
33947674;11
33947675;11
33947676;11
33947677;11
33947678;11
33947679;11
33947680;11
33947681;11
33947682;11
33947683;11
33947684;11
33947685;11
33947686;11
33947687;11
33947688;11
33947689;11
33947690;11
33947691;11
33947692;11
33947693;11
33947694;11
34013184;11
34078720;11
34144256;11
34144257;11
34144258;11
34144259;11
34144260;11
34209792;11
34275328;11
34340864;11
34406400;11
34471936;11
50331648;11
50397185;11
50397186;11
50397187;11
50397188;11
50397189;11
50397190;11
50397191;11
50462721;11
50462722;11
50462723;11
50462724;11
50462725;11
50462726;11
50462727;11
50462728;11
50462729;11
50462730;11
50462731;11
50462732;11
50462733;11
50462734;11
50462735;11
50462736;11
50462737;11
50462738;11
50462739;11
50462740;11
50462741;11
50462742;11
50462743;11
50462744;11
50462745;11
50462746;11
50462747;11
50462748;11
50462749;11
50462750;11
50462751;11
50462752;11
50462753;11
50462754;11
50462755;11
50462756;11
50462757;11
50462758;11
50462759;11
50462760;11
50462761;11
50462762;11
50462763;11
50462764;11
50462765;11
50462766;11
50462767;11
50462768;11
50462769;11
50462770;11
50462771;11
50462772;11
50462773;11
50462774;11
50462775;11
50462776;11
50462777;11
50462778;11
50462779;11
50462780;11
50462781;11
50462782;11
50462783;11
50462784;11
50462785;11
50462786;11
50462787;11
50462788;11
50462789;11
50462790;11
50462791;11
50462792;11
50462793;11
50462794;11
50462795;11
50462796;11
50462797;11
50462798;11
50462799;11
50462800;11
50462801;11
50462802;11
50462803;11
50462804;11
50462805;11
50462806;11
50462807;11
50462808;11
50462809;11
50462810;11
50462811;11
50462812;11
50462813;11
50462814;11
50462815;11
50462816;11
50462817;11
50462818;11
50462819;11
50462820;11
50462821;11
50462822;11
50462823;11
50462824;11
50462825;11
50462826;11
50462827;11
50462828;11
50462829;11
50462830;11
50462831;11
50462832;11
50462833;11
50462834;11
50462835;11
50462836;11
50462837;11
50462838;11
50462839;11
50462840;11
50462841;11
50462842;11
50462843;11
50462844;11
50462845;11
50462846;11
50462847;11
50462848;11
50462849;11
50462850;11
50462851;11
50462852;11
50462853;11
50462854;11
