#per_code;is_brand;gen1;gen2;gen3;level;name;genre_type;org_code;sub;chain;cuisine;building;three;lang;filename
436207616;;26;0;0;1;dummy;;0;;;;;0;;
436273152;;26;1;0;2;Airport;;4581;;;;;0;;
436338688;;26;2;0;2;Amusement Park;;7996;;;;;0;;
436404224;;26;3;0;2;Animal Park;;9718;;;;;0;;
436469760;;26;4;0;2;ATM;;3578;;;;;0;;
436535296;;26;5;0;2;Auto Dealerships;;5511;;;;;0;;
436600832;;26;6;0;2;Auto Dealership-Used Cars;;5512;;;;;0;;
436666368;;26;7;0;2;Automobile Club;;8699;;;;;0;;
436731904;;26;8;0;2;Auto Service & Maintenance;;7538;;;;;0;;
436797440;;26;9;0;2;Bank;;6000;;;;;0;;
436862976;;26;10;0;2;Book Store;;9995;;;;;0;;
436928512;;26;11;0;2;Border Crossing;;9999;;;;;0;;
436994048;;26;12;0;2;Bowling Centre;;7933;;;;;0;;
437059584;;26;13;0;2;Business Facility;;5000;;;;;0;;
437125120;;26;14;0;2;Bus Station;;4170;;;;;0;;
437190656;;26;15;0;2;Campground;;9517;;;;;0;;
437256192;;26;16;0;2;Cargo Centre;;9714;;;;;0;;
437321728;;26;17;0;2;Casino;;7985;;;;;0;;
437387264;;26;18;0;2;Cemetery;;9591;;;;;0;;
437452800;;26;19;0;2;Cinema;;7832;;;;;0;;
437518336;;26;20;0;2;City Hall;;9121;;;;;0;;
437583872;;26;21;0;2;Civic/Community Centre;;7994;;;;;0;;
437649408;;26;22;0;2;Clothing Store;;9537;;;;;0;;
437714944;;26;23;0;2;Coffee Shop;;9996;;;;;0;;
437780480;;26;24;0;2;Commuter Rail Station;;4100;;;;;0;;
437846016;;26;25;0;2;Consumer Electronics Store;;9987;;;;;0;;
437911552;;26;26;0;2;Convenience Store;;9535;;;;;0;;
437977088;;26;27;0;2;Convention/Exhibition Centre;;7990;;;;;0;;
438042624;;26;28;0;2;County Council;;9994;;;;;0;;
438108160;;26;29;0;2;Court House;;9211;;;;;0;;
438173696;;26;30;0;2;Delivery Entrance;;9722;;;;;0;;
438239232;;26;31;0;2;Department Store;;9545;;;;;0;;
438304768;;26;32;0;2;Dock;;9723;;;;;0;;
438370304;;26;33;0;2;Embassy;;9993;;;;;0;;
438435840;;26;34;0;2;Ferry Terminal;;4482;;;;;0;;
438501376;;26;35;0;2;Golf Course;;7992;;;;;0;;
438566912;;26;36;0;2;Golf Practice Range;;9573;;;;;0;;
438632448;;26;37;0;2;Government Office;;9525;;;;;0;;
438697984;;26;38;0;2;Grocery Store;;5400;;;;;0;;
438763520;;26;39;0;2;Higher Education;;8200;;;;;0;;
438829056;;26;40;0;2;Highway Exit;;9592;;;;;0;;
