#per_code;is_brand;gen1;gen2;gen3;level;name;genre_type;org_code;sub;chain;cuisine;building;three;lang;filename
1;N;1;0;0;0;Restaurant;;0;0;0;0;0;0;;
2;N;1;1;0;1;All Restaurant  ;;5800;0;0;0;0;0;;
3;N;1;2;0;1;Chinese Food;;5800;0;0;3;0;0;;
4;N;1;3;0;1;Italian Food;;5800;0;0;9;0;0;;
5;N;1;4;0;1;Japanese Food;;5800;0;0;10;0;0;;
6;N;1;5;0;1;Mexican Food;;5800;0;0;11;0;0;;
7;N;1;6;0;1;Seafood;;5800;0;0;13;0;0;;
8;N;1;7;0;1;Fast Food;;0;0;0;0;0;0;;
9;N;1;7;1;2;All Fast Food;;5800;0;0;0;0;0;;
10;Y;1;7;2;2;BURGER KING;;5800;0;1498;0;0;0;;
11;Y;1;7;3;2;McDonald's;;5800;0;1566;0;0;0;;
12;Y;1;7;4;2;Viena;;5800;0;2376;0;0;0;;
13;Y;1;7;5;2;Bob's;;5800;0;4067;0;0;0;;
14;Y;1;7;6;2;Habib's;;5800;0;5500;0;0;0;;
15;Y;1;7;7;2;Giraffas;;5800;0;9084;0;0;0;;
16;Y;1;7;8;2;Big X Picanha;;5800;0;22855;0;0;0;;
17;Y;1;7;9;2;Mostaza;;5800;0;23009;0;0;0;;
18;Y;1;7;10;2;Betos;;5800;0;23010;0;0;0;;
19;N;1;7;11;2;Other Fast Food;;5800;0;0;0;0;0;;
20;N;1;8;0;1;Grill;;5800;0;0;28;0;0;;
21;N;1;9;0;1;Sandwich;;5800;0;0;41;0;0;;
22;N;1;10;0;1;South American Food;;5800;0;0;43;0;0;;
23;N;1;11;0;1;South-western Food;;5800;0;0;45;0;0;;
24;N;1;12;0;1;Spanish Food;;5800;0;0;47;0;0;;
25;N;1;13;0;1;International Food;;5800;0;0;53;0;0;;
26;N;1;14;0;1;Pizza;;5800;0;0;58;0;0;;
27;N;1;15;0;1;Ice Cream;;5800;0;0;76;0;0;;
28;N;1;16;0;1;Sushi;;5800;0;0;88;0;0;;
