#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three;lang;file_name
1;N;1;0;0;0;Restaurant;null;0;0;0;0;0;0;ENG;
2;N;1;1;0;1;All Restaurant;0;0;0;0;0;0;0;ENG;
3;N;1;2;0;1;American Food;null;5800;0;0;1;0;0;ENG;
4;N;1;3;0;1;Chinese Food;null;5800;0;0;3;0;0;ENG;
5;N;1;4;0;1;French Food;null;5800;0;0;5;0;0;ENG;
6;N;1;5;0;1;German Food;null;5800;0;0;6;0;0;ENG;
7;N;1;6;0;1;Italian Food;null;5800;0;0;9;0;0;ENG;
8;N;1;7;0;1;Japanese Food;null;5800;0;0;10;0;0;ENG;
9;N;1;8;0;1;Mexican Food;null;5800;0;0;11;0;0;ENG;
10;N;1;9;0;1;Seafood;null;5800;0;0;13;0;0;ENG;
11;N;1;10;0;1;Vegetarian Food;null;5800;0;0;15;0;0;ENG;
12;N;1;11;0;1;Barbecue/Southern;null;5800;0;0;19;0;0;ENG;
13;N;1;12;0;1;Bistro;null;5800;0;0;21;0;0;ENG;
14;N;1;13;0;1;Brewpub;null;5800;0;0;22;0;0;ENG;
15;N;1;14;0;1;Fast Food;null;0;0;0;0;0;0;ENG;
16;N;1;14;1;2;All Fast Food;0;0;0;0;0;0;0;ENG;
17;Y;1;14;2;2;BURGER KING;null;5800;0;1498;27;0;0;ENG;
18;Y;1;14;3;2;McDonald's;null;5800;0;1566;27;0;0;ENG;
19;Y;1;14;4;2;Viena;null;5800;0;2376;27;0;0;ENG;
20;Y;1;14;5;2;Bob's;null;5800;0;4067;27;0;0;ENG;
21;Y;1;14;6;2;Habib's;null;5800;0;5500;27;0;0;ENG;
22;Y;1;14;7;2;Giraffas;null;5800;0;9084;27;0;0;ENG;
23;Y;1;14;8;2;Big X Picanha;null;5800;0;22855;27;0;0;ENG;
24;Y;1;14;9;2;Mostaza;null;5800;0;23009;27;0;0;ENG;
25;Y;1;14;10;2;Betos;null;5800;0;23010;27;0;0;ENG;
26;N;1;14;11;2;Other Fast Food;null;5800;0;0;27;0;0;ENG;
27;N;1;15;0;1;Grill;null;5800;0;0;28;0;0;ENG;
28;N;1;16;0;1;Latin American Food;null;5800;0;0;34;0;0;ENG;
29;N;1;17;0;1;Middle Eastern Food;null;5800;0;0;36;0;0;ENG;
30;N;1;18;0;1;Portuguese Food;null;5800;0;0;39;0;0;ENG;
31;N;1;19;0;1;Sandwich;null;5800;0;0;41;0;0;ENG;
32;N;1;20;0;1;South American Food;null;5800;0;0;43;0;0;ENG;
33;N;1;21;0;1;Spanish Food;null;5800;0;0;47;0;0;ENG;
34;N;1;22;0;1;Steak House;null;5800;0;0;48;0;0;ENG;
35;N;1;23;0;1;International Food;null;5800;0;0;53;0;0;ENG;
36;N;1;24;0;1;Pizza;null;5800;0;0;58;0;0;ENG;
37;N;1;25;0;1;Snacks & Beverages;null;5800;0;0;73;0;0;ENG;
38;N;1;26;0;1;Chicken;null;5800;0;0;75;0;0;ENG;
39;N;1;27;0;1;Ice Cream;null;5800;0;0;76;0;0;ENG;
40;N;1;28;0;1;Fusion;null;5800;0;0;82;0;0;ENG;
41;N;1;29;0;1;Brazilian Food;null;5800;0;0;83;0;0;ENG;
42;N;1;30;0;1;Creole Food;null;5800;0;0;84;0;0;ENG;
43;N;1;31;0;1;Burgers;null;5800;0;0;85;0;0;ENG;
44;N;1;32;0;1;Creperie;null;5800;0;0;86;0;0;ENG;
45;N;1;33;0;1;Pastries;null;5800;0;0;87;0;0;ENG;
46;N;1;34;0;1;Sushi;null;5800;0;0;88;0;0;ENG;
47;N;1;35;0;1;Coffee Shop;null;0;0;0;0;0;0;ENG;
48;N;1;35;1;2;All Coffee Shop;0;0;0;0;0;0;0;ENG;
49;Y;1;35;2;2;Juan Valdez Café;null;9996;0;117;0;0;0;ENG;
50;Y;1;35;3;2;Oma;null;9996;0;118;0;0;0;ENG;
51;Y;1;35;4;2;Starbucks;null;9996;0;1396;0;0;0;ENG;
52;Y;1;35;5;2;McCafé;null;9996;0;5314;0;0;0;ENG;
53;Y;1;35;6;2;Havanna;null;9996;0;5501;0;0;0;ENG;
54;Y;1;35;7;2;Casa do Pão de Queijo;null;9996;0;8934;0;0;0;ENG;
55;Y;1;35;8;2;Rei do Mate;null;9996;0;9082;0;0;0;ENG;
56;Y;1;35;9;2;GRÃO ESPRESSO;null;9996;0;22834;0;0;0;ENG;
57;Y;1;35;10;2;Café do Ponto;null;9996;0;23692;0;0;0;ENG;
58;Y;1;35;11;2;Fran's Café;null;9996;0;23693;0;0;0;ENG;
59;N;1;35;12;2;Other Coffee Shop;null;9996;0;0;0;0;0;ENG;
60;N;1;36;0;1;Others;null;5800;0;0;0;0;0;ENG;
61;N;2;0;0;0;Automotive Facility;null;0;0;0;0;0;0;ENG;
62;Y;2;1;0;1;Lexus dealership;null;5511;0;250;0;0;0;ENG;
63;Y;2;2;0;1;Toyota dealership;null;5511;0;251;0;0;0;ENG;
64;Y;2;3;0;1;Lexus Repair;null;7538;0;250;0;0;0;ENG;
65;Y;2;4;0;1;Toyota Repair;null;7538;0;251;0;0;0;ENG;
66;N;2;5;0;1;Auto Dealership-Used Cars;null;5512;0;0;0;0;0;ENG;
67;N;2;6;0;1;Auto Service & Maintenance;null;0;0;0;0;0;0;ENG;
68;N;2;6;1;2;All  Auto Service & Maintenance;0;0;0;0;0;0;0;ENG;
69;N;2;6;2;2;Car Wash;null;7538;1;0;0;0;0;ENG;
69;N;2;6;2;2;Car Wash;null;0;0;0;0;0;9519;ENG;
70;N;2;6;3;2;Auto Parts;null;7538;2;0;0;0;0;ENG;
71;N;2;6;4;2;Tire Repair;null;7538;5;0;0;0;0;ENG;
72;N;2;6;5;2;Other Auto Service & Maintenance;null;7538;0;0;0;0;0;ENG;
73;N;2;7;0;1;Park & Ride;null;7522;0;0;0;0;0;ENG;
74;N;2;8;0;1;Parking Garage/House;null;7521;0;0;0;0;0;ENG;
75;N;2;9;0;1;Parking Lot;null;7520;0;0;0;0;0;ENG;
76;N;2;10;0;1;Petrol/Gasoline Station;null;0;0;0;0;0;0;ENG;
77;N;2;10;1;2;All Petrol/Gasoline Station;0;0;0;0;0;0;0;ENG;
78;Y;2;10;2;2;Esso;null;5540;0;8;0;0;0;ENG;
79;Y;2;10;3;2;Shell;null;5540;0;10;0;0;0;ENG;
79;Y;2;10;3;2;Shell;null;5540;0;10101;0;0;0;ENG;
80;Y;2;10;4;2;TEXACO;null;5540;0;11;0;0;0;ENG;
81;Y;2;10;5;2;Mobil;null;5540;0;33;0;0;0;ENG;
82;Y;2;10;6;2;TOTAL;null;5540;0;35;0;0;0;ENG;
83;Y;2;10;7;2;REPSOL;null;5540;0;94;0;0;0;ENG;
84;Y;2;10;8;2;Brio;null;5540;0;157;0;0;0;ENG;
85;Y;2;10;9;2;SP;null;5540;0;891;0;0;0;ENG;
86;Y;2;10;10;2;Terpel;null;5540;0;4002;0;0;0;ENG;
87;Y;2;10;11;2;Petrobras;null;5540;0;4017;0;0;0;ENG;
88;Y;2;10;12;2;Ipiranga;null;5540;0;4059;0;0;0;ENG;
89;Y;2;10;13;2;Ale;null;5540;0;4060;0;0;0;ENG;
90;Y;2;10;14;2;Via Brasil;null;5540;0;5507;0;0;0;ENG;
91;Y;2;10;15;2;ANCAP;null;5540;0;9963;0;0;0;ENG;
92;Y;2;10;16;2;REPSOL;null;5540;0;10055;0;0;0;ENG;
93;Y;2;10;17;2;Extra;null;5540;0;10134;0;0;0;ENG;
94;Y;2;10;18;2;Petrodelta;null;5540;0;20511;0;0;0;ENG;
95;Y;2;10;19;2;ACCEL;null;5540;0;20512;0;0;0;ENG;
96;Y;2;10;20;2;Atem;null;5540;0;21138;0;0;0;ENG;
97;Y;2;10;21;2;Latina;null;5540;0;21142;0;0;0;ENG;
98;Y;2;10;22;2;Mime;null;5540;0;21143;0;0;0;ENG;
99;Y;2;10;23;2;ECOS;null;5540;0;21641;0;0;0;ENG;
100;Y;2;10;24;2;Oilcorp;null;5540;0;21643;0;0;0;ENG;
101;Y;2;10;25;2;Petromil;null;5540;0;21644;0;0;0;ENG;
102;Y;2;10;26;2;BIOMAX;null;5540;0;21734;0;0;0;ENG;
103;Y;2;10;27;2;Eds;null;5540;0;21828;0;0;0;ENG;
104;Y;2;10;28;2;PUMA Energy;null;5540;0;22001;0;0;0;ENG;
105;Y;2;10;29;2;RUFF;null;5540;0;22827;0;0;0;ENG;
106;Y;2;10;30;2;Charrua;null;5540;0;22828;0;0;0;ENG;
107;Y;2;10;31;2;Megapetro;null;5540;0;22829;0;0;0;ENG;
108;Y;2;10;32;2;Posto Extra;null;5540;0;23696;0;0;0;ENG;
109;Y;2;10;33;2;COPEG;null;5540;0;24450;0;0;0;ENG;
110;Y;2;10;34;2;Copetrol;null;5540;0;24458;0;0;0;ENG;
