#per_code;is_brand;gen1;gen2;gen3;level;name;genre_type;org_code;sub_category;brand_name;lang;filename
1;N;1;0;0;0;Restaurant;;0;0;0;ENG;
2;N;1;1;0;1;All Restaurant;0;0;0;0;ENG;
3;N;1;2;0;1;Bistro;;7315;7315007;0;ENG;
4;N;1;3;0;1;Chinese;;7315;7315012;0;ENG;
5;N;1;4;0;1;French;;7315;7315017;0;ENG;
6;N;1;5;0;1;Grill;;7315;7315020;0;ENG;
7;N;1;6;0;1;Indian;;7315;7315023;0;ENG;
8;N;1;7;0;1;Italian;;7315;7315025;0;ENG;
9;N;1;8;0;1;Japanese;;7315;7315026;0;ENG;
10;N;1;9;0;1;Mediterranean;;7315;7315032;0;ENG;
11;N;1;10;0;1;Mexican;;7315;7315033;0;ENG;
12;N;1;11;0;1;Pizza;;7315;7315036;0;ENG;
13;N;1;12;0;1;Seafood;;7315;7315043;0;ENG;
14;N;1;13;0;1;Steak House;;7315;7315045;0;ENG;
15;N;1;14;0;1;Thai;;7315;7315048;0;ENG;
16;N;1;15;0;1;Vietnamese;;7315;7315051;0;ENG;
17;N;1;16;0;1;Western & Continental;;7315;7315060;0;ENG;
18;N;1;17;0;1;Asian (other);;7315;7315062;0;ENG;
19;N;1;18;0;1;Hamburgers;;7315;7315069;0;ENG;
20;N;1;19;0;1;Australian;;7315;7315086;0;ENG;
21;N;1;20;0;1;Fast Food;;0;0;0;ENG;
22;N;1;20;1;2;All Fast Food;0;0;0;0;ENG;
23;Y;1;20;2;2;Burger King;;7315;7315145;Burger King;ENG;
24;Y;1;20;3;2;Domino's Pizza;;7315;7315145;Domino's Pizza;ENG;Domino's Pizza
25;Y;1;20;4;2;Hungry Jack's;;7315;7315145;Hungry Jack's;ENG;
26;Y;1;20;5;2;KFC;;7315;7315145;KFC;ENG;
27;Y;1;20;6;2;McDonald's;;7315;7315145;McDonald's;ENG;
28;Y;1;20;7;2;Nando's;;7315;7315145;Nando's;ENG;Nando's
29;Y;1;20;8;2;Oporto;;7315;7315145;Oporto;ENG;Oporto
30;Y;1;20;9;2;Pizza Hut;;7315;7315145;Pizza Hut;ENG;
31;Y;1;20;10;2;Red Rooster;;7315;7315145;Red Rooster;ENG;
32;Y;1;20;11;2;SUBWAY;;7315;7315145;SUBWAY;ENG;
33;N;1;20;12;2;Unspecified;;7315;0;0;ENG;
34;N;1;21;0;1;Café/Pub;;9376;0;0;ENG;
35;N;1;22;0;1;Unspecified;;7315;7315001;0;ENG;
35;N;1;22;0;1;Unspecified;;9359;0;0;ENG;
36;N;2;0;0;0;Automotive Facility;;0;0;0;ENG;
37;Y;2;1;0;1;Lexus dealership;;9910;9910002;Lexus;ENG;
38;Y;2;2;0;1;Toyota dealership;;9910;9910002;Toyota;ENG;
39;Y;2;3;0;1;Lexus Repair;;7310;7310004;Lexus;ENG;
40;Y;2;4;0;1;Toyota Repair;;7310;7310004;Toyota;ENG;
