#per_code;is_brand;gen1;gen2;gen3;level;name;genre_type;org_code;sub_category;brand_name;lang;filename
1;N;1;0;0;0;Restaurant;;7315;0;0;ENG;
2;N;1;1;0;1;All Restaurant;0;0;0;0;ENG;
3;N;1;2;0;1;Bistro;;7315;7315007;0;ENG;
4;N;1;3;0;1;Chinese;;7315;7315012;0;ENG;
5;N;1;4;0;1;Fast Food;;0;0;0;ENG;
6;N;1;4;1;2;All Fast Food;0;0;0;0;ENG;
7;Y;1;4;2;2;Barcelos;;7315;7315015;Barcelos;ENG;
8;Y;1;4;3;2;Bimbo's;;7315;7315015;Bimbo's;ENG;
9;Y;1;4;4;2;Chicken Licken;;7315;7315015;Chicken Licken;ENG;
10;Y;1;4;5;2;Debonairs;;7315;7315015;Debonairs;ENG;
11;Y;1;4;6;2;FishAways;;7315;7315015;FishAways;ENG;
12;Y;1;4;7;2;Hungry Lion;;7315;7315015;Hungry Lion;ENG;
13;Y;1;4;8;2;KFC;;7315;7315015;KFC;ENG;
14;Y;1;4;9;2;King Pie;;7315;7315015;King Pie;ENG;
15;Y;1;4;10;2;London Pie Co.;;7315;7315015;London Pie Co.;ENG;
16;Y;1;4;11;2;McDonald's;;7315;7315015;McDonald's;ENG;
17;Y;1;4;12;2;Mochachos Chicken Villages;;7315;7315015;Mochachos Chicken Villages;ENG;
18;Y;1;4;13;2;Nando's;;7315;7315015;Nando's;ENG;Nando's
19;Y;1;4;14;2;Pie City;;7315;7315015;Pie City;ENG;
20;Y;1;4;15;2;Scooters Pizza;;7315;7315015;Scooters Pizza;ENG;
21;Y;1;4;16;2;Something Fishy;;7315;7315015;Something Fishy;ENG;
22;Y;1;4;17;2;Steers;;7315;7315015;Steers;ENG;
23;Y;1;4;18;2;Wimpy;;7315;7315015;Wimpy;ENG;
24;N;1;4;19;2;Other Fast Food;;7315;7315015;0;ENG;
25;N;1;5;0;1;Grill;;7315;7315020;0;ENG;
26;N;1;6;0;1;Italian;;7315;7315025;0;ENG;
27;N;1;7;0;1;Pizza;;7315;7315036;0;ENG;
28;N;1;8;0;1;Pub Food;;7315;7315039;0;ENG;
29;N;1;9;0;1;Sandwich;;7315;7315042;0;ENG;
30;N;1;10;0;1;Seafood;;7315;7315043;0;ENG;
31;N;1;11;0;1;Steak House;;7315;7315045;0;ENG;
32;N;1;12;0;1;International;;7315;7315073;0;ENG;
33;N;1;13;0;1;Café;;9376;0;0;ENG;
34;N;1;14;0;1;Pub;;9376;9376003;0;ENG;
35;N;1;15;0;1;Unspecified;;7315;7315001;0;ENG;
36;N;2;0;0;0;Automotive Facility;;0;0;0;ENG;
37;Y;2;1;0;1;Lexus dealership;;9910;0;Lexus;ENG;
38;Y;2;2;0;1;Toyota dealership;;9910;0;Toyota;ENG;
39;Y;2;3;0;1;Lexus Repair;;7310;0;Lexus;ENG;
40;Y;2;4;0;1;Toyota Repair;;7310;0;Toyota;ENG;
41;N;2;5;0;1;Car Wash;;9155;0;0;ENG;
42;N;2;6;0;1;Open Parking Area;;7369;0;0;ENG;
43;N;2;7;0;1;Parking Garage;;7313;0;0;ENG;
44;N;2;8;0;1;Petrol Station;;0;0;0;ENG;
45;N;2;8;1;2;All Petrol Station;0;0;0;0;ENG;
46;Y;2;8;2;2;BP;;7311;0;BP;ENG;BP
47;Y;2;8;3;2;Caltex;;7311;0;Caltex;ENG;Caltex
48;Y;2;8;4;2;Engen;;7311;0;Engen;ENG;
49;Y;2;8;5;2;Exel;;7311;0;Exel;ENG;
50;Y;2;8;6;2;Galp;;7311;0;Galp;ENG;
51;Y;2;8;7;2;Petromoc;;7311;0;Petromoc;ENG;
52;Y;2;8;8;2;Puma;;7311;0;Puma;ENG;
53;Y;2;8;9;2;Sasol;;7311;0;Sasol;ENG;
54;Y;2;8;10;2;Shell;;7311;0;Shell;ENG;Shell
55;Y;2;8;11;2;Total;;7311;0;Total;ENG;
56;Y;2;8;12;2;Zenex;;7311;0;Zenex;ENG;
57;N;2;8;13;2;Unspecified;;7311;0;0;ENG;
58;N;2;9;0;1;Rent-a-Car Facility;;0;0;0;ENG;
59;N;2;9;1;2;All Rent-a-Car Facility;0;0;0;0;ENG;
60;Y;2;9;2;2;Avis;;7312;0;Avis;ENG;Avis
61;Y;2;9;3;2;Budget;;7312;0;Budget;ENG;
62;Y;2;9;4;2;Europcar;;7312;0;Europcar;ENG;
63;Y;2;9;5;2;Hertz;;7312;0;Hertz;ENG;
64;N;2;9;6;2;Unspecified;;7312;0;0;ENG;
65;N;2;10;0;1;Repair Facility;;0;0;0;ENG;
66;N;2;10;1;2;All Repair Facility;0;0;0;0;ENG;
67;N;2;10;2;2;Bodyshops;;7310;7310002;0;ENG;
68;N;2;10;3;2;Motorcycle Repair;;7310;7310008;0;ENG;
69;N;2;10;4;2;Car Glass Replacement Shops;;7310;7310003;0;ENG;
70;N;2;10;5;2;Sale & Installation of Car Accessories;;7310;7310006;0;ENG;
71;N;2;10;6;2;Tyre (Tire) Services;;7310;7310007;0;ENG;
72;N;2;10;7;2;Other Repair Shops;;7310;0;0;ENG;
73;N;3;0;0;0;Transportation;;0;0;0;ENG;
74;N;3;1;0;1;Access Gateway;;7389;0;0;ENG;
75;N;3;1;1;2;All Access Gateway;0;0;0;0;ENG;
76;N;3;1;2;2;Security Gate;;7389;7389004;0;ENG;
77;N;3;1;3;2;Airline Access;;7389;7389002;0;ENG;
78;N;3;1;4;2;Unspecified;;7389;7383001;0;ENG;
79;N;3;2;0;1;Airport;;7383;0;0;ENG;
80;N;3;3;0;1;Ferry Terminal;;7352;0;0;ENG;
81;N;3;4;0;1;Frontier Crossing;;7366;0;0;ENG;
82;N;3;5;0;1;Helipad/Helicopter Landing;;7308;0;0;ENG;
83;N;3;6;0;1;Public Transport Stop;;9942;0;0;ENG;
84;N;3;6;1;2;All Transport Stop;0;0;0;0;ENG;
85;N;3;6;2;2;Bus Stop;;9942;9942002;0;ENG;
86;N;3;6;3;2;Taxi Stand;;9942;9942003;0;ENG;
87;N;3;7;0;1;Railway Station;;7380;0;0;ENG;
88;N;3;8;0;1;Rest Area;;7395;0;0;ENG;
89;N;3;9;0;1;Toll Gate;;7375;0;0;ENG;
90;N;3;10;0;1;Truck Stop;;7358;0;0;ENG;
91;N;3;11;0;1;Weigh Station;;7359;0;0;ENG;
92;N;4;0;0;0;Tourism;;0;0;0;ENG;
93;N;4;1;0;1;Geographic Feature;;8099;0;0;ENG;
94;N;4;1;1;2;All Geographic Feature;0;0;0;0;ENG;
95;N;4;1;2;2;Cove;;8099;8099017;0;ENG;
96;N;4;1;3;2;Bay;;8099;8099016;0;ENG;
97;N;4;1;4;2;Well;;8099;8099010;0;ENG;
98;N;4;1;5;2;Rocks;;8099;8099012;0;ENG;
99;N;4;1;6;2;Pan;;8099;8099009;0;ENG;
100;N;4;1;7;2;Reservoir;;8099;8099013;0;ENG;
101;N;4;1;8;2;Hill;;8099;8099025;0;ENG;
102;N;4;1;9;2;Reef;;8099;8099014;0;ENG;
103;N;4;1;10;2;Rapids;;8099;8099015;0;ENG;
104;N;4;1;11;2;Locale;;8099;8099027;0;ENG;
105;N;4;1;12;2;Harbor;;8099;8099018;0;ENG;
106;N;4;1;13;2;Lagoon;;8099;8099019;0;ENG;
107;N;4;1;14;2;Mountain Peak;;8099;8099002;0;ENG;
108;N;4;1;15;2;Cave;;8099;8099003;0;ENG;
109;N;4;1;16;2;Marsh/Swamp/Vlei;;8099;8099023;0;ENG;
110;N;4;1;17;2;Island;;8099;8099022;0;ENG;
111;N;4;1;18;2;Plateau;;8099;8099008;0;ENG;
112;N;4;1;19;2;Cape;;8099;8099020;0;ENG;
113;N;4;1;20;2;River Crossing;;8099;8099024;0;ENG;
114;N;4;1;21;2;Ridge;;8099;8099004;0;ENG;
115;N;4;1;22;2;Dune;;8099;8099005;0;ENG;
116;N;4;1;23;2;Valley;;8099;8099006;0;ENG;
117;N;4;1;24;2;Plain/Flat;;8099;8099007;0;ENG;
118;N;4;1;25;2;Mineral/Hot Springs;;8099;8099021;0;ENG;
119;N;4;1;26;2;Unspecified;;8099;8099001;0;ENG;
120;N;4;2;0;1;Accomodiation;;0;0;0;ENG;
121;N;4;2;1;2;All Accomodiation;0;0;0;0;ENG;
122;N;4;2;2;2;Bed & Breakfast & Guest Houses;;7314;7314002;0;ENG;
123;N;4;2;3;2;Hostel;;7314;7314004;0;ENG;
124;N;4;2;4;2;Hotel;;7314;7314003;0;ENG;
125;N;4;2;5;2;Motel;;7314;7314006;0;ENG;
126;N;4;2;6;2;Cabins & Lodges;;7314;7314007;0;ENG;
127;N;4;2;7;2;Rest Camps;;7314;7314008;0;ENG;
128;N;4;2;8;2;Resort;;7314;7314005;0;ENG;
129;N;4;2;9;2;Unspecified;;7314;0;0;ENG;
129;N;4;2;9;2;Unspecified;;7304;0;0;ENG;
129;N;4;2;9;2;Unspecified;;7303;0;0;ENG;
130;N;4;3;0;1;Important Tourist Attraction;;7376;0;0;ENG;
131;N;4;3;1;2;All Important Tourist Attraction;0;0;0;0;ENG;
132;N;4;3;2;2;Bridge;;7376;7376010;0;ENG;
133;N;4;3;3;2;Natural Attraction;;7376;7376004;0;ENG;
134;N;4;3;4;2;Dam;;7376;7376007;0;ENG;
135;N;4;3;5;2;Monument;;7376;7376003;0;ENG;
136;N;4;3;6;2;Building;;7376;7376002;0;ENG;
137;N;4;3;7;2;Planetarium;;7376;7376006;0;ENG;
138;N;4;3;8;2;Tunnel;;7376;7376008;0;ENG;
139;N;4;3;9;2;Tower;;7376;7376009;0;ENG;
140;N;4;3;10;2;Mausoleum/Grave;;7376;7376011;0;ENG;
141;N;4;3;11;2;Statue;;7376;7376013;0;ENG;
142;N;4;3;12;2;Water Hole;;7376;7376014;0;ENG;
143;N;4;3;13;2;Observatory;;7376;7376005;0;ENG;
144;N;4;3;14;2;Unspecified;;7376;7376001;0;ENG;
145;N;4;4;0;1;Park and Recreation Area;;0;0;0;ENG;
146;N;4;4;1;2;All Park and Recreation Area;0;0;0;0;ENG;
147;N;4;4;2;2;Seashore;;9362;9362013;0;ENG;
