#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;series;lang;filename
1;N;1;0;0;0;餐廳;null;0;;CHT;
2;N;1;1;0;1;中餐餐廳;null;0;;CHT;
3;N;1;1;1;2;所有中餐餐廳;0;0;;CHT;
4;Y;1;1;2;2;甘泉魚麵;null;306500;甘泉魚麵;CHT;
5;Y;1;1;3;2;五花馬水餃館;null;306500;五花馬水餃館;CHT;
6;Y;1;1;4;2;四海遊龍鍋貼專賣店;null;306500;四海遊龍鍋貼專賣店;CHT;
7;Y;1;1;5;2;春水堂;null;306500;春水堂;CHT;
8;Y;1;1;6;2;大呼過癮;null;306500;大呼過癮;CHT;
9;Y;1;1;7;2;帝王食補紅面薑母鴨;null;306500;帝王食補紅面薑母鴨;CHT;
10;Y;1;1;8;2;田媽媽;null;306500;田媽媽;CHT;
11;Y;1;1;9;2;八方雲集;null;306500;八方雲集;CHT;
12;Y;1;1;10;2;老先覺麻辣窯燒鍋;null;306500;老先覺麻辣窯燒鍋;CHT;
13;Y;1;1;11;2;繼光香香雞;null;306500;繼光香香雞;CHT;
14;N;1;1;12;2;其它中餐餐廳;null;306500;;CHT;
15;N;1;2;0;1;家庭餐廳;null;0;;CHT;
16;N;1;2;1;2;所有家庭餐廳;0;0;;CHT;
17;Y;1;2;2;2;ＡＰＰＬＥ２０３;null;306600;ＡＰＰＬＥ２０３;CHT;
18;Y;1;2;3;2;家禾弁當;null;306600;家禾弁當;CHT;
19;Y;1;2;4;2;吉野家;null;306600;吉野家;CHT;
20;Y;1;2;5;2;悟饕池上飯包;null;306600;悟饕池上飯包;CHT;
21;Y;1;2;6;2;合浦刀切麵食連鎖;null;306600;合浦刀切麵食連鎖;CHT;
22;Y;1;2;7;2;三商巧福;null;306600;三商巧福;CHT;
23;Y;1;2;8;2;太師傅中式便當專賣;null;306600;太師傅中式便當專賣;CHT;
24;Y;1;2;9;2;拉亞漢堡;null;306600;拉亞漢堡;CHT;
25;Y;1;2;10;2;晨間廚房;null;306600;晨間廚房;CHT;
26;Y;1;2;11;2;鬍鬚張;null;306600;鬍鬚張;CHT;
27;N;1;2;12;2;其它家庭餐廳;null;306600;;CHT;
28;N;1;3;0;1;速食店;null;0;;CHT;
29;N;1;3;1;2;所有速食店;0;0;;CHT;
30;Y;1;3;2;2;２１世紀風味館;null;306700;２１世紀風味館;CHT;
31;Y;1;3;3;2;肯德基;null;306700;肯德基;CHT;
32;Y;1;3;4;2;達美樂披薩;null;306700;達美樂披薩;CHT;
33;Y;1;3;5;2;丹丹漢堡;null;306700;丹丹漢堡;CHT;
34;Y;1;3;6;2;頂呱呱;null;306700;頂呱呱;CHT;
35;Y;1;3;7;2;必勝客披薩;null;306700;必勝客披薩;CHT;
36;Y;1;3;8;2;摩斯漢堡;null;306700;摩斯漢堡;CHT;
37;Y;1;3;9;2;拿坡里披薩;null;306700;拿坡里披薩;CHT;
38;Y;1;3;10;2;麥當勞;null;306700;麥當勞;CHT;
39;N;1;3;11;2;其它速食店;null;306700;;CHT;
40;N;1;4;0;1;異國餐廳;null;0;;CHT;
41;N;1;4;1;2;所有異國餐廳;0;0;;CHT;
42;Y;1;4;2;2;Ｈａａｇｅｎ－Ｄａｚｓ;null;307500;Ｈａａｇｅｎ－Ｄａｚｓ;CHT;
43;Y;1;4;3;2;ｎｕ　ＰＡＳＴＡ杯杯麵;null;307500;ｎｕ　ＰＡＳＴＡ杯杯麵;CHT;
44;Y;1;4;4;2;Ｏ２　Ｂｒｕｎｃｈ歐圖早午餐廚房;null;307500;Ｏ２　Ｂｒｕｎｃｈ歐圖早午餐廚房;CHT;
45;Y;1;4;5;2;ＰＵＢ．ＣＬＵＢ;null;307500;ＰＵＢ．ＣＬＵＢ;CHT;
46;Y;1;4;6;2;ＳＵＢＷＡＹ;null;307500;ＳＵＢＷＡＹ;CHT;
47;Y;1;4;7;2;火鍋世家;null;307500;火鍋世家;CHT;
48;Y;1;4;8;2;我家牛排;null;307500;我家牛排;CHT;
49;Y;1;4;9;2;瓦城泰國料理;null;307500;瓦城泰國料理;CHT;
50;Y;1;4;10;2;貴族世家牛排;null;307500;貴族世家牛排;CHT;
51;Y;1;4;11;2;西堤牛排;null;307500;西堤牛排;CHT;
52;Y;1;4;12;2;石二鍋;null;307500;石二鍋;CHT;
53;Y;1;4;13;2;千葉火鍋;null;307500;千葉火鍋;CHT;
54;Y;1;4;14;2;太將鍋;null;307500;太將鍋;CHT;
55;Y;1;4;15;2;陶板屋新和風料理;null;307500;陶板屋新和風料理;CHT;
56;Y;1;4;16;2;福勝亭;null;307500;福勝亭;CHT;
57;Y;1;4;17;2;野宴日式炭火燒肉;null;307500;野宴日式炭火燒肉;CHT;
58;Y;1;4;18;2;爭鮮迴轉壽司;null;307500;爭鮮迴轉壽司;CHT;
59;Y;1;4;19;2;聚北海道昆布鍋;null;307500;聚北海道昆布鍋;CHT;
60;Y;1;4;20;2;錢都日式涮涮鍋;null;307500;錢都日式涮涮鍋;CHT;
61;Y;1;4;21;2;鯊魚咬土司;null;307500;鯊魚咬土司;CHT;
62;Y;1;4;22;2;綠蓋茶．館;null;307500;綠蓋茶．館;CHT;
63;N;1;4;23;2;其它異國餐廳;null;307500;;CHT;
64;N;1;5;0;1;咖啡專賣店;null;0;;CHT;
65;N;1;5;1;2;所有咖啡專賣店;0;0;;CHT;
66;Y;1;5;2;2;８５度Ｃ咖啡;null;309200;８５度Ｃ咖啡;CHT;
67;Y;1;5;3;2;ｃａｍａ　ｃａｆｅ;null;309200;ｃａｍａ　ｃａｆｅ;CHT;
68;Y;1;5;4;2;Ｄｏｎｕｔｅｓ;null;309200;Ｄｏｎｕｔｅｓ;CHT;
69;Y;1;5;5;2;ＬＯＵＩＳＡ　ＣＯＦＦＥＥ;null;309200;ＬＯＵＩＳＡ　ＣＯＦＦＥＥ;CHT;
70;Y;1;5;6;2;ＳＴＡＲＢＵＣＫＳ咖啡;null;309200;ＳＴＡＲＢＵＣＫＳ咖啡;CHT;
71;Y;1;5;7;2;丹堤咖啡;null;309200;丹堤咖啡;CHT;
72;Y;1;5;8;2;伯朗咖啡館;null;309200;伯朗咖啡館;CHT;
73;Y;1;5;9;2;壹咖啡;null;309200;壹咖啡;CHT;
74;Y;1;5;10;2;怡客研磨咖啡;null;309200;怡客研磨咖啡;CHT;
75;N;1;5;11;2;其它咖啡專賣店;null;309200;;CHT;
76;N;1;6;0;1;小吃特產;null;314200;;CHT;
77;N;2;0;0;0;汽車;null;0;;CHT;
78;Y;2;1;0;1;LEXUS經銷商;null;306300;ＬＥＸＵＳ;CHT;
79;Y;2;2;0;1;TOYOTA經銷商;null;306300;ＴＯＹＯＴＡ;CHT;
80;Y;2;3;0;1;LEXUS維修商;null;306400;ＬＥＸＵＳ;CHT;
81;Y;2;4;0;1;TOYOTA維修商;null;306400;ＴＯＹＯＴＡ;CHT;
82;N;2;5;0;1;加油站;null;306900;;CHT;
83;N;2;6;0;1;２４小時加油站;null;0;;CHT;
84;N;2;6;1;2;所有２４小時加油站;0;0;;CHT;
85;Y;2;6;2;2;全國加油站;null;308400;全國加油站;CHT;
86;Y;2;6;3;2;台塑加油站;null;308400;台塑加油站;CHT;
87;Y;2;6;4;2;台灣中油;null;308400;台灣中油;CHT;
88;Y;2;6;5;2;統一精工加油站;null;308400;統一精工加油站;CHT;
89;N;2;6;6;2;其它２４小時加油站;null;308400;;CHT;
90;N;2;7;0;1;加氣站;null;309500;;CHT;
91;N;2;8;0;1;２４小時加氣站;null;309600;;CHT;
92;N;2;9;0;1;停車場;null;321300;;CHT;
93;N;3;0;0;0;交通;null;0;;CHT;
94;N;3;1;0;1;機場;null;320100;;CHT;
95;N;3;2;0;1;渡輪站;null;320200;;CHT;
96;N;3;3;0;1;客運總站;null;0;;CHT;
97;N;3;3;1;2;所有客運總站;0;0;;CHT;
98;Y;3;3;2;2;統聯客運;null;320300;統聯客運;CHT;
99;Y;3;3;3;2;日統國道客運;null;320300;日統國道客運;CHT;
100;Y;3;3;4;2;國光客運;null;320300;國光客運;CHT;
101;N;3;3;5;2;其它客運總站;null;320300;;CHT;
102;N;3;4;0;1;火車站;null;320800;;CHT;
103;N;3;5;0;1;捷運站;null;0;;CHT;
104;N;3;5;1;2;所有捷運站;0;0;;CHT;
105;Y;3;5;2;2;橘線;null;320900;橘線;CHT;
106;Y;3;5;3;2;紅線;null;320900;紅線;CHT;
107;Y;3;5;4;2;松山線;null;320900;松山線;CHT;
108;Y;3;5;5;2;信義線;null;320900;信義線;CHT;
109;Y;3;5;6;2;淡水－新店線;null;320900;淡水－新店線;CHT;
110;Y;3;5;7;2;中和新蘆線;null;320900;中和新蘆線;CHT;
111;Y;3;5;8;2;南港－板橋－土城線;null;320900;南港－板橋－土城線;CHT;
112;Y;3;5;9;2;文山內湖線;null;320900;文山內湖線;CHT;
113;N;3;5;10;2;其它捷運站;null;320900;;CHT;
114;N;3;6;0;1;高速公路交流道(IC);null;321000;;CHT;
115;N;3;7;0;1;高速公路系統交流道(JCT);null;321100;;CHT;
116;N;3;8;0;1;高速公路休息站;null;321200;;CHT;
117;N;3;9;0;1;高鐵車站;null;321500;;CHT;
118;N;3;10;0;1;其它交通設施;null;322000;;CHT;
119;N;4;0;0;0;休閒&旅遊;null;0;;CHT;
120;N;4;1;0;1;公園綠地;null;310100;;CHT;
121;N;4;2;0;1;觀光農園農場;null;310200;;CHT;
122;N;4;3;0;1;動植物園;null;310300;;CHT;
123;N;4;4;0;1;熱門景點;null;0;;CHT;
124;N;4;4;1;2;所有熱門景點;0;0;;CHT;
125;Y;4;4;2;2;阿里山國家風景區;null;312000;阿里山國家風景區;CHT;
126;Y;4;4;3;2;墾丁國家公園;null;312000;墾丁國家公園;CHT;
127;Y;4;4;4;2;太魯閣國家公園;null;312000;太魯閣國家公園;CHT;
128;Y;4;4;5;2;登山步道;null;312000;登山步道;CHT;
129;Y;4;4;6;2;東部海岸國家風景區;null;312000;東部海岸國家風景區;CHT;
130;Y;4;4;7;2;東北角暨宜蘭海岸國家風景區;null;312000;東北角暨宜蘭海岸國家風景區;CHT;
131;Y;4;4;8;2;馬祖國家風景區;null;312000;馬祖國家風景區;CHT;
132;Y;4;4;9;2;北觀國家風景區;null;312000;北觀國家風景區;CHT;
133;Y;4;4;10;2;陽明山國家公園;null;312000;陽明山國家公園;CHT;
134;Y;4;4;11;2;澎湖國家風景區;null;312000;澎湖國家風景區;CHT;
135;N;4;4;12;2;其它熱門景點;null;312000;;CHT;
136;N;4;5;0;1;博物館．美術館;null;312100;;CHT;
137;N;4;6;0;1;古蹟;null;312800;;CHT;
138;N;4;7;0;1;水族館;null;312900;;CHT;
139;N;4;8;0;1;觀光名勝;null;314000;;CHT;
140;N;4;9;0;1;主題樂園;null;314100;;CHT;
141;N;4;10;0;1;飯店旅館;null;314400;;CHT;
142;N;4;11;0;1;保齡球館;null;315100;;CHT;
143;N;4;12;0;1;ＫＴＶ;null;315200;;CHT;
144;N;4;13;0;1;電影院;null;315900;;CHT;
145;N;4;14;0;1;其它休閒設施;null;316000;;CHT;
145;N;4;14;0;1;其它休閒設施;null;314800;;CHT;
146;N;4;15;0;1;棒球場;null;316300;;CHT;
147;N;4;16;0;1;體育館運動場;null;316600;;CHT;
148;N;4;17;0;1;游泳池;null;316800;;CHT;
149;N;4;18;0;1;其它運動設施;null;318000;;CHT;
149;N;4;18;0;1;其它運動設施;null;312700;;CHT;
150;N;4;19;0;1;高爾夫球場;null;320000;;CHT;
151;N;4;20;0;1;其它文化設施;null;313900;;CHT;
151;N;4;20;0;1;其它文化設施;null;312300;;CHT;
