#gen_0;gen_1;gen_2;level;genre_is_brand;importance;org_code1;org_code2;chaincode;genre_id
1;0;0;0;N;;;;;1
1;1;0;1;N;;;;;2
1;2;0;1;N;;1080;;;3
1;2;1;2;Y;;1080;;303A;4
1;2;2;2;Y;;1080;;3301;5
1;2;3;2;Y;;1080;;2FD9;6
1;2;4;2;Y;;1080;;3412;7
1;2;5;2;Y;;1080;;330F;8
1;2;6;2;Y;;1080;;2FC7;9
1;2;7;2;Y;;1080;;3435;10
1;2;8;2;Y;;1080;;4128;11
1;2;9;2;Y;;1080;;333F;12
1;2;10;2;Y;;1080;;3037;13
1;2;11;2;Y;;1080;;310E;14
1;2;12;2;Y;;1080;;3052;15
1;2;13;2;Y;;1080;;304B;16
1;2;14;2;Y;;1080;;311F;17
1;2;15;2;Y;;1080;;3124;18
1;2;16;2;Y;;1080;;3048;19
1;2;17;2;Y;;1080;;3423;20
1;2;18;2;Y;;1080;;3419;21
1;2;19;2;Y;;1080;;3099;22
1;2;20;2;Y;;1080;;312B;23
1;2;21;2;Y;;1080;;3604;24
1;2;22;2;Y;;1080;;3131;25
1;2;23;2;Y;;1080;;3109;26
1;2;24;2;Y;;1080;;2FB8;27
1;2;25;2;Y;;1080;;3432;28
1;2;26;2;Y;;1080;;3054;29
1;2;27;2;Y;;1080;;3101;30
1;2;28;2;Y;;1080;;3338;31
1;2;29;2;Y;;1080;;307A;32
1;2;30;2;Y;;1080;;334C;33
1;2;31;2;Y;;1080;;3034;34
1;2;32;2;Y;;1080;;3437;35
1;2;33;2;Y;;1080;;334B;36
1;2;34;2;Y;;1080;;3119;37
1;2;35;2;Y;;1080;;3429;38
1;2;36;2;Y;;1080;;3040;39
1;2;37;2;Y;;1080;;3110;40
1;2;38;2;Y;;1080;;3410;41
1;2;39;2;Y;;1080;;302C;42
1;2;40;2;Y;;1080;;3045;43
1;2;41;2;Y;;1080;;3430;44
1;2;42;2;Y;;1080;;3434;45
1;2;43;2;Y;;1080;;3438;46
1;2;44;2;Y;;1080;;3436;47
1;2;45;2;Y;;1080;;3369;48
1;2;46;2;Y;;1080;;3128;49
1;2;47;2;Y;;1080;;3123;50
1;2;48;2;Y;;1080;;3417;51
1;2;49;2;Y;;1080;;2FDD;52
1;2;50;2;Y;;1080;;3325;53
1;2;51;2;Y;;1080;;311B;54
1;2;52;2;Y;;1080;;3352;55
1;2;53;2;Y;;1080;;3348;56
1;2;54;2;Y;;1080;;2FDB;57
1;2;55;2;Y;;1080;;303C;58
1;2;56;2;Y;;1080;;3431;59
1;2;57;2;Y;;1080;;330C;60
1;2;58;2;Y;;1080;;2F9F;61
1;2;59;2;Y;;1080;;412A;62
1;2;60;2;Y;;1080;;3111;63
1;2;61;2;Y;;1080;;3107;64
1;2;62;2;Y;;1080;;3329;65
1;2;63;2;Y;;1080;;310C;66
1;2;64;2;Y;;1080;;311A;67
1;2;65;2;Y;;1080;;4127;68
1;2;66;2;Y;;1080;;334F;69
1;2;67;2;Y;;1080;;3421;70
1;2;68;2;Y;;1080;;3415;71
1;2;69;2;Y;;1080;;3089;72
1;2;70;2;Y;;1080;;3491;73
1;2;71;2;Y;;1080;;3428;74
1;2;72;2;Y;;1080;;341A;75
1;2;73;2;Y;;1080;;311D;76
1;2;74;2;Y;;1080;;303E;77
1;2;75;2;Y;;1080;;3086;78
1;2;76;2;Y;;1080;;312D;79
1;2;77;2;Y;;1080;;3117;80
1;2;78;2;Y;;1080;;3114;81
1;2;79;2;Y;;1080;;311C;82
1;2;80;2;Y;;1080;;3106;83
1;2;81;2;Y;;1080;;3310;84
1;2;82;2;Y;;1080;;34CA;85
1;2;83;2;Y;;1080;;3433;86
1;2;84;2;Y;;1080;;3403;87
1;2;85;2;Y;;1080;;3414;88
1;2;86;2;Y;;1080;;335B;89
1;2;87;2;Y;;1080;;333E;90
1;2;88;2;Y;;1080;;3407;91
1;2;89;2;Y;;1080;;341B;92
1;2;90;2;Y;;1080;;3332;93
1;2;91;2;Y;;1080;;3416;94
1;2;92;2;Y;;1080;;303D;95
1;2;93;2;Y;;1080;;3090;96
1;2;94;2;Y;;1080;;3116;97
1;2;95;2;Y;;1080;;3126;98
1;2;96;2;Y;;1080;;2FCC;99
1;2;97;2;Y;;1080;;412C;100
1;2;98;2;Y;;1080;;3092;101
1;2;99;2;Y;;1080;;3331;102
1;2;100;2;Y;;1080;;3127;103
1;2;101;2;Y;;1080;;333A;104
1;2;102;2;Y;;1080;;342F;105
1;2;103;2;Y;;1080;;3300;106
1;2;104;2;Y;;1080;;307C;107
1;2;105;2;Y;;1080;;414B;108
1;2;106;2;Y;;1080;;3424;109
1;3;0;1;N;;1980;;;110
1;3;1;2;Y;;1980;;305E;111
1;3;2;2;Y;;1980;;3300;112
1;3;3;2;Y;;1980;;3038;113
1;3;4;2;Y;;1980;;303B;114
1;3;5;2;Y;;1980;;3032;115
1;3;6;2;Y;;1980;;330D;116
1;3;7;2;Y;;1980;;302C;117
1;3;8;2;Y;;1980;;4129;118
1;3;9;2;Y;;1980;;3037;119
1;3;10;2;Y;;1980;;333F;120
1;3;11;2;Y;;1980;;3049;121
1;3;12;2;Y;;1980;;3031;122
1;3;13;2;Y;;1980;;3358;123
