#org_code;ucode;gen1;gen2;gen3;level;ALL;brand;imp;lang;nametype;table;condition;name;logmark
0;16777216;1;0;0;1;0;N;9999;ENG;ON;;;Restaurant;
7315;16777472;1;1;0;2;0;N;9999;ENG;ON;;;Restaurant;Y
0;33554432;2;0;0;1;0;N;9999;ENG;ON;;;Car;
9910;33554688;2;1;0;2;0;Y;9999;ENG;ON;org_pi;"Sub-Category (NS)=9910002& brandname= 'Lexus'";Lexus dealership;Y
9910;33554944;2;2;0;2;0;Y;9999;ENG;ON;org_pi;"Sub-Category (NS)=9910002& brandname= 'Toyota'";Toyota dealership;
0;33555200;2;3;0;2;0;N;9999;ENG;ON;;;Petrol;
7311;33555201;2;3;1;3;1;N;9999;ENG;ON;;;Petrol(ALL);Y
7311;33555202;2;3;2;3;0;Y;9999;ENG;ON;org_pi;brandname = '7-Eleven';7-Eleven;Y
7311;33555203;2;3;3;3;0;Y;9999;ENG;ON;org_pi;brandname = 'AFD';AFD;
7311;33555204;2;3;4;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Allied Petroleum';Allied Petroleum;
7311;33555205;2;3;5;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Ampol';Ampol;
7311;33555206;2;3;6;3;0;Y;9999;ENG;ON;org_pi;brandname = 'APCO';APCO;
7311;33555207;2;3;7;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Astron';Astron;
7311;33555208;2;3;8;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Better Choice';Better Choice;
7311;33555209;2;3;9;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Blue Star';Blue Star;
7311;33555210;2;3;10;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Bogas';Bogas;
7311;33555211;2;3;11;3;0;Y;9999;ENG;ON;org_pi;brandname = 'BP';BP;
7311;33555212;2;3;12;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Branbac';Branbac;
7311;33555213;2;3;13;3;0;Y;9999;ENG;ON;org_pi;brandname = 'Budget';Budget;
