2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 1090140048,outlink = 981446015 pathlink is null
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 807489803,outlink = 807489804 pathlink is null
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 1061759800,outlink = 821625151 pathlink is null
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 781516282,outlink = 783975435 pathlink is null
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 775900727,outlink = 976226787 pathlink is null
2016-01-21 10:46:01,391 - WARNING: spotguide_tbl----inlink = 751894694,outlink = 752177412 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 914679885,outlink = 844726821 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 983454016,outlink = 927437843 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 116166704,outlink = 116173427 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 797944950,outlink = 877159512 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 751907428,outlink = 752232417 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 820901269,outlink = 810116865 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 1056363455,outlink = 1056363456 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 759437707,outlink = 759437710 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 1075638801,outlink = 931749634 pathlink is null
2016-01-21 10:46:01,407 - WARNING: spotguide_tbl----inlink = 776850560,outlink = 988722457 pathlink is null
2016-01-21 10:46:01,424 - WARNING: spotguide_tbl----inlink = 979329429,outlink = 861387492 pathlink is null
2016-01-21 10:46:01,424 - WARNING: spotguide_tbl----inlink = 781599669,outlink = 116167117 pathlink is null
2016-01-21 10:46:01,424 - WARNING: spotguide_tbl----inlink = 1052050000,outlink = 1051782039 pathlink is null
2016-01-21 10:46:01,424 - WARNING: spotguide_tbl----inlink = 726784109,outlink = 735008660 pathlink is null
2016-01-21 10:46:01,424 - WARNING: spotguide_tbl----inlink = 777552214,outlink = 776896963 pathlink is null
